simulation_mode,simulation_id,config_id,plan,challenge_strategy,challenge_source_variant_name,challenge_leverage_factor,funded_strategy,funded_source_variant_name,funded_leverage_factor,attempts,first_attempt_pass,eventual_pass,avg_attempt_pass_proxy,resets,challenge_days_to_pass,challenge_days_total,challenge_timeout_count,last_challenge_status,last_challenge_failure_reason,funded_status,funded_failure_reason,funded_days,payouts,at_least_one_payout,realized_payout_value_usd,funded_profit_usd,subscription_cost_usd,reset_cost_usd,activation_fee_usd,total_cost_usd,net_profit_usd,total_days,net_profit_per_day
block_bootstrap_business,9,standard__nominal__nominal,standard,nominal,nominal,1.0,nominal,nominal,1.0,2,False,True,0.5,1,39.0,39,0,pass,,breach,trailing_drawdown,12,1,True,1000.0,-693.5,63.7,49.0,149.0,261.7,738.3,51,14.476470588235292
block_bootstrap_business,0,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,4,False,True,0.25,3,44.0,44,0,pass,,survived,,60,10,True,10000.0,10217.5,71.86666666666666,147.0,149.0,367.8666666666667,9632.133333333333,104,92.61666666666666
block_bootstrap_business,1,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,6.0,6,0,pass,,survived,,60,3,True,3000.0,3373.0,9.8,0.0,149.0,158.8,2841.2,66,43.04848484848485
block_bootstrap_business,2,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,3,False,True,0.3333333333333333,2,47.0,47,0,pass,,survived,,60,7,True,7000.0,7938.0,76.76666666666667,98.0,149.0,323.76666666666665,6676.233333333334,107,62.394704049844236
block_bootstrap_business,3,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,2,False,True,0.5,1,23.0,23,0,pass,,breach,trailing_drawdown,57,6,True,6000.0,3712.0,37.56666666666666,49.0,149.0,235.56666666666666,5764.433333333333,80,72.05541666666667
block_bootstrap_business,4,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,7.0,7,0,pass,,survived,,60,3,True,3000.0,3786.5,11.433333333333334,0.0,149.0,160.43333333333334,2839.5666666666666,67,42.38159203980099
block_bootstrap_business,5,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,12.0,12,0,pass,,survived,,60,3,True,3000.0,3882.5,19.6,0.0,149.0,168.6,2831.4,72,39.325
block_bootstrap_business,6,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,23.0,23,0,pass,,breach,trailing_drawdown,37,0,False,0.0,-1591.5,37.56666666666666,0.0,149.0,186.56666666666666,-186.56666666666666,60,-3.1094444444444442
block_bootstrap_business,7,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,10.0,10,0,pass,,breach,trailing_drawdown,34,1,True,1000.0,-626.0,16.333333333333332,0.0,149.0,165.33333333333334,834.6666666666666,44,18.96969696969697
block_bootstrap_business,8,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,15.0,15,0,pass,,survived,,60,3,True,3000.0,2723.5,24.5,0.0,149.0,173.5,2826.5,75,37.68666666666667
block_bootstrap_business,9,standard__nominal_x1.2__sizing_3state,standard,nominal_x1.2,nominal,1.2,sizing_3state,sizing_3state_realized_vol_ratio_15_60,1.0,1,True,True,1.0,0,13.0,13,0,pass,,survived,,60,4,True,4000.0,4424.5,21.233333333333334,0.0,149.0,170.23333333333335,3829.7666666666664,73,52.46255707762557
block_bootstrap_business,0,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,23.0,23,0,pass,,breach,trailing_drawdown,35,5,True,5000.0,2513.9999999999927,37.56666666666666,0.0,149.0,186.56666666666666,4813.433333333333,58,82.99022988505747
block_bootstrap_business,1,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,10.0,10,0,pass,,breach,trailing_drawdown,29,2,True,2000.0,210.59999999999854,16.333333333333332,0.0,149.0,165.33333333333334,1834.6666666666667,39,47.042735042735046
block_bootstrap_business,2,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,3,False,True,0.3333333333333333,2,68.0,68,0,pass,,breach,trailing_drawdown,22,0,False,0.0,-2076.599999999984,111.06666666666666,98.0,149.0,358.06666666666666,-358.06666666666666,90,-3.9785185185185186
block_bootstrap_business,3,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,5.0,5,0,pass,,breach,trailing_drawdown,40,7,True,7000.0,5351.4000000000015,8.166666666666666,0.0,149.0,157.16666666666666,6842.833333333333,45,152.06296296296296
block_bootstrap_business,4,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,1,True,True,1.0,0,10.0,10,0,pass,,survived,,60,8,True,8000.0,8794.799999999996,16.333333333333332,0.0,149.0,165.33333333333334,7834.666666666667,70,111.92380952380952
block_bootstrap_business,5,standard__nominal_x1.2__sizing_3state_x1.2,standard,nominal_x1.2,nominal,1.2,sizing_3state_x1.2,sizing_3state_realized_vol_ratio_15_60,1.2,2,False,True,0.5,1,33.0,33,0,pass,,breach,trailing_drawdown,28,1,True,1000.0,-484.8000000000029,53.9,49.0,149.0,251.9,748.1,61,12.26393442622951
