variant_name,risk_profile,stress_profile,followup_path_count,followup_started_rate,followup_breach_rate,followup_complete_rate,followup_expected_profit_per_trading_day,followup_expected_net_pnl,followup_median_max_drawdown_usd,followup_big_negative_day_rate,followup_daily_loss_hit_rate,followup_median_risk_intensity_ratio_post_vs_pre
baseline_3state_vvix_modulator,base,slippage_nominal,148,1.0,0.6756756756756757,0.32432432432432434,35.27339117547635,2105.114864864865,-2068.5,0.0,0.0,1.1341028023368276
baseline_3state_vvix_modulator,base,slippage_x2,147,1.0,0.6802721088435374,0.3197278911564626,30.998010082711108,2007.9591836734694,-2081.5,0.0,0.0,1.1497817251241909
baseline_3state_vvix_modulator,base,slippage_x3,144,1.0,0.6736111111111112,0.3263888888888889,30.806998093085788,2000.1770833333333,-2094.5,0.0,0.0,1.117255952093743
baseline_3state_vvix_modulator,conservative,slippage_nominal,129,1.0,0.49612403100775193,0.5038759689922481,44.81868579474064,2667.1017441860463,-1705.125,0.0,0.0,1.0249218959207356
baseline_3state_vvix_modulator,conservative,slippage_x2,128,1.0,0.5,0.5,41.38889837730641,2536.1689453125,-1873.875,0.0,0.0,1.0226911933629315
baseline_3state_vvix_modulator,conservative,slippage_x3,128,1.0,0.5,0.5,39.5591210198824,2477.677734375,-1884.375,0.0,0.0,1.0228453637934005
baseline_nominal,assertive,slippage_nominal,78,1.0,0.7948717948717948,0.20512820512820512,-14.725681758601322,1017.3769230769234,-2051.9999999999927,0.0,0.0,1.0406695808102029
baseline_nominal,assertive,slippage_x2,75,1.0,0.8133333333333334,0.18666666666666668,-16.037746400281357,983.0320000000003,-2064.0000000000073,0.0,0.0,1.0403745027978153
baseline_nominal,assertive,slippage_x3,73,1.0,0.8082191780821918,0.1917808219178082,-18.421242999974044,931.906849315069,-2076.0,0.0,0.0,1.0424815339278197
baseline_nominal,base,slippage_nominal,47,1.0,0.723404255319149,0.2765957446808511,-12.775222391152772,599.2340425531914,-2040.5,0.0,0.0,1.0082795789003378
baseline_nominal,base,slippage_x2,47,1.0,0.723404255319149,0.2765957446808511,-14.1298010311194,548.968085106383,-2056.5,0.0,0.0,1.010310864881502
baseline_nominal,base,slippage_x3,46,1.0,0.717391304347826,0.2826086956521739,-15.801373337034024,500.0326086956522,-2072.5,0.0,0.0,1.00951039096502
baseline_nominal,conservative,slippage_nominal,6,1.0,0.0,1.0,24.026041666666668,1441.5625,-1530.375,0.0,0.0,1.0288088273165896
baseline_nominal,conservative,slippage_x2,6,1.0,0.0,1.0,23.276041666666668,1396.5625,-1542.375,0.0,0.0,1.0309708128329658
baseline_nominal,conservative,slippage_x3,5,1.0,0.0,1.0,21.22,1273.2,-1554.375,0.0,0.0,1.0245866391451117
baseline_vvix_modulator,assertive,slippage_nominal,140,1.0,1.0,0.0,13.624109727707115,3054.557142857144,-2176.2000000000044,0.2438513176260772,0.0,1.050848063268731
baseline_vvix_modulator,assertive,slippage_x2,140,1.0,1.0,0.0,8.328908901729443,2978.862857142857,-2191.199999999997,0.24478669177573706,0.0,1.055183990624145
baseline_vvix_modulator,assertive,slippage_x3,139,1.0,1.0,0.0,4.757096536772315,2926.6446043165465,-2239.2000000000044,0.27651245846783906,0.0,1.0400990099009901
baseline_vvix_modulator,base,slippage_nominal,134,1.0,0.9402985074626866,0.05970149253731343,-0.9001261956934571,2331.7276119402986,-2458.0,0.0,0.0,1.0763866329849616
baseline_vvix_modulator,base,slippage_x2,133,1.0,1.0,0.0,-8.366696078313087,2147.6804511278197,-2487.5,0.0,0.0,1.0773933427097984
baseline_vvix_modulator,base,slippage_x3,130,1.0,1.0,0.0,-12.373899089392273,1970.4192307692308,-2530.5,0.0,0.0,1.0483291186651247
baseline_vvix_modulator,conservative,slippage_nominal,124,1.0,0.6532258064516129,0.3467741935483871,53.37299442853241,4476.145161290323,-2217.375,0.0,0.0,0.9718155906190946
baseline_vvix_modulator,conservative,slippage_x2,123,1.0,0.6504065040650406,0.34959349593495936,52.04665747005218,4418.317073170731,-2230.125,0.0,0.0,0.9656661158104208
baseline_vvix_modulator,conservative,slippage_x3,122,1.0,0.6475409836065574,0.3524590163934426,49.42891823310081,4370.01024590164,-2242.875,0.0,0.0,0.9541443934449086
