scope,config_name,policy_family,strategy_bucket,symbols_used_primary,m2k_comparison_available,net_pnl_primary,sharpe_primary,max_drawdown_primary,profit_factor_primary,avg_trade_primary,mean_symbol_sharpe_primary,min_symbol_sharpe_primary,profitable_symbols_primary,mnq_net_pnl,mes_net_pnl,mnq_sharpe,mes_sharpe,m2k_net_pnl,m2k_sharpe,quick_robust_score,rank_within_bucket
MNQ+MES,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,reclaim_strict,reclaim,"MNQ,MES",True,6382.0,0.193928265067041,-8037.25,1.0265495193047705,2.693963697762769,0.17529622885236765,-0.3098995137068638,1,14199.5,-7817.5,0.6604919714115991,-0.3098995137068638,-6654.999999997079,-0.3087522172889653,0.02291175505982579,10
MNQ+MES,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_2,reclaim_strict,reclaim,"MNQ,MES",True,6349.0,0.19292236121843134,-8037.25,1.0264086118112923,2.678902953586498,0.1745241039063363,-0.3098995137068638,1,14166.5,-7817.5,0.6589477215195364,-0.3098995137068638,-6782.499999997077,-0.3146229516101557,0.020076382942377236,11
MNQ+MES,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,reclaim_conservative,reclaim,"MNQ,MES",True,6249.25,0.18976962738353406,-8037.25,1.0259688855413864,2.6345910623946036,0.17221375408371242,-0.3100739009579522,1,14073.0,-7823.75,0.654501409125377,-0.3100739009579522,-6654.999999997079,-0.3087522172889653,0.011294482474450585,12
MNQ+MES,allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,reclaim_strict,reclaim,"MNQ,MES",True,6249.25,0.18976962738353406,-8037.25,1.0259688855413864,2.6345910623946036,0.17221375408371242,-0.3100739009579522,1,14073.0,-7823.75,0.654501409125377,-0.3100739009579522,-6654.999999997079,-0.3087522172889653,0.011294482474450585,13
MNQ+MES,allow_reclaim_after_opposite_breakout_conservative__buffer_2__require_vwap_true,reclaim_conservative,reclaim,"MNQ,MES",True,6216.25,0.18876445521026636,-8037.25,1.025828211491139,2.619574378423936,0.1714418091110586,-0.3100739009579522,1,14040.0,-7823.75,0.6529575191800694,-0.3100739009579522,-6782.499999997077,-0.3146229516101557,0.008389435941680679,14
MNQ+MES,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,reclaim_strict,reclaim,"MNQ,MES",True,6216.25,0.18876445521026636,-8037.25,1.025828211491139,2.619574378423936,0.1714418091110586,-0.3100739009579522,1,14040.0,-7823.75,0.6529575191800694,-0.3100739009579522,-6782.499999997077,-0.3146229516101557,0.008389435941680679,15
MNQ+MES,invalidate_on_opposite_touch__buffer_0,invalidate_for_day,simple_invalidation,"MNQ,MES",True,25137.5,1.1480666142254068,-4985.0,1.1722557711251018,17.34817115251898,0.678429119437087,0.3194772876014375,2,18677.5,6460.0,1.0373809512727363,0.3194772876014375,-5137.49999999801,-0.2848173753495047,1.468096569370606,1
MNQ+MES,invalidate_on_opposite_touch__buffer_4,invalidate_for_day,simple_invalidation,"MNQ,MES",True,24367.0,1.0802119397082133,-6037.25,1.1606304714692544,16.288101604278076,0.6527786427959029,0.2956575179172553,2,18209.5,6157.5,1.0098997676745505,0.2956575179172553,-6560.499999997949,-0.3586947772072151,1.3814657582846464,2
MNQ+MES,invalidate_on_opposite_touch__buffer_1,invalidate_for_day,simple_invalidation,"MNQ,MES",True,23601.5,1.0671814752018212,-5044.75,1.1588027304259478,16.09924965893588,0.6382387396966942,0.2506487999929231,2,18481.5,5120.0,1.0258286794004654,0.2506487999929231,-5364.999999998001,-0.295841732193361,1.3733044082246326,3
MNQ+MES,invalidate_on_opposite_touch__buffer_2,invalidate_for_day,simple_invalidation,"MNQ,MES",True,23104.75,1.03863015243175,-5428.5,1.1544143569145533,15.664237288135594,0.6255272809665706,0.227079806605612,2,18448.5,4656.25,1.0239747553275294,0.227079806605612,-5545.999999997989,-0.3051666578176192,1.3362740508174973,4
MNQ+MES,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,invalidate_for_day,simple_invalidation,"MNQ,MES",True,24579.75,0.9783024515076229,-5313.25,1.1442685253118121,14.648241954707986,0.6263561930579229,0.2381956908893729,2,19378.5,5201.25,1.0145166952264728,0.2381956908893729,-6052.49999999782,-0.3181469504962948,1.280850571772429,5
MNQ+MES,invalidate_on_opposite_close_1m__buffer_0,invalidate_for_day,simple_invalidation,"MNQ,MES",True,23088.25,0.9774709365954447,-5205.75,1.144359306222489,14.68718193384224,0.6035372097145688,0.2857254334687567,2,17029.5,6058.75,0.9213489859603808,0.2857254334687567,-6117.499999997916,-0.3276628564220533,1.2719872812966715,6
MNQ+MES,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_2,invalidate_for_day,simple_invalidation,"MNQ,MES",True,23530.0,0.9214802306500018,-5784.5,1.134811118336432,13.760233918128655,0.5997415925930264,0.172351435298999,2,19712.5,3817.5,1.0271317498870538,0.172351435298999,-6552.499999997794,-0.3436454055998623,1.2099568527676592,7
MNQ+MES,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,invalidate_for_day,simple_invalidation,"MNQ,MES",True,23143.0,0.9128104632030577,-5350.75,1.1336040861155492,13.64563679245283,0.5916424121807676,0.1653475751937567,2,19503.0,3640.0,1.0179372491677785,0.1653475751937567,-6238.499999997817,-0.3276716078374412,1.2029201113158725,8
MNQ+MES,invalidate_on_opposite_close_1m__buffer_1,invalidate_for_day,simple_invalidation,"MNQ,MES",True,21781.75,0.9116619301430698,-6025.75,1.1340137048459167,13.699213836477988,0.5703376816884216,0.2357716533221593,2,16735.5,5046.25,0.904903710054684,0.2357716533221593,-5373.9999999979045,-0.2869975109078191,1.1850858147955514,9
MNQ+MES,invalidate_on_opposite_close_5m__buffer_0,invalidate_for_day,simple_invalidation,"MNQ,MES",True,22425.0,0.871466189787312,-5386.25,1.1276299670040253,13.022648083623693,0.5669998832399733,0.2226183243807254,2,17487.5,4937.5,0.9113814420992212,0.2226183243807254,-6228.4999999977945,-0.3247973905057724,1.1531687804412294,10
MNQ+MES,invalidate_on_opposite_close_1m__buffer_2,invalidate_for_day,simple_invalidation,"MNQ,MES",True,21332.25,0.8846049004142383,-6240.75,1.1295792913677587,13.299407730673316,0.5565524385146083,0.2329481667230202,2,16298.5,5033.75,0.8801567103061965,0.2329481667230202,-5745.499999997876,-0.3048612072259885,1.1506055069665622,11
MNQ+MES,invalidate_on_opposite_close_5m__buffer_1,invalidate_for_day,simple_invalidation,"MNQ,MES",True,22268.75,0.8618979557201443,-5386.25,1.1259833276287838,12.85724595842956,0.5632586966473166,0.2111470407707286,2,17565.0,4703.75,0.9153703525239046,0.2111470407707286,-5908.499999997789,-0.3075903980389406,1.1422439237354678,12
MNQ+MES,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_3,invalidate_for_day,simple_invalidation,"MNQ,MES",True,21741.75,0.8374714267674875,-5248.75,1.1223047584759827,12.50963751438435,0.5478126516524245,0.1932111483557159,2,17450.5,4291.25,0.9024141549491332,0.1932111483557159,-7588.499999997727,-0.394043972698776,1.1140712372595603,13
MNQ+MES,invalidate_on_opposite_close_1m__buffer_4,invalidate_for_day,simple_invalidation,"MNQ,MES",True,20343.0,0.8272866481451655,-5477.0,1.1203200965257816,12.396709323583181,0.5317411369973304,0.170495080429326,2,16600.5,3742.5,0.8929871935653348,0.170495080429326,-5292.999999997875,-0.279338724017717,1.0929137674237464,14
MNQ+MES,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_3,invalidate_for_day,simple_invalidation,"MNQ,MES",True,21010.5,0.8027689081064492,-5262.0,1.1167950770462278,11.985453508271535,0.5319657119632482,0.127754836390176,2,18155.5,2855.0,0.9361765875363204,0.127754836390176,-7677.499999997715,-0.3972008981311903,1.0731487847300878,15
MNQ+MES,invalidate_on_opposite_close_5m__buffer_2,invalidate_for_day,simple_invalidation,"MNQ,MES",True,20618.25,0.7934401111900786,-5503.25,1.1150917197541115,11.80208929593589,0.5224940641053142,0.1669029085643311,2,16882.0,3736.25,0.8780852196462972,0.1669029085643311,-6903.4999999977545,-0.3584730119786185,1.057335728388912,16
MNQ+MES,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_3,invalidate_for_day,simple_invalidation,"MNQ,MES",True,20820.25,0.7883816197204404,-5585.75,1.1146727912878365,11.762853107344633,0.5261774196859176,0.1297866739885085,2,17901.5,2918.75,0.9225681653833268,0.1297866739885085,-7440.499999997706,-0.3842358118077288,1.052854853978143,17
MNQ+MES,invalidate_on_opposite_close_5m__buffer_4,invalidate_for_day,simple_invalidation,"MNQ,MES",True,18531.25,0.7010357026188279,-5348.25,1.1008451263744188,10.399130190796857,0.47135845041261953,0.1055858380190507,2,16137.5,2393.75,0.8371310628061883,0.1055858380190507,-7794.999999997739,-0.4025630515508235,0.9467235445643098,18
MNQ+MES,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,invalidate_for_day,simple_invalidation,"MNQ,MES",True,18802.0,0.6848106605480859,-5914.75,1.0984993543215924,10.092324208266238,0.46660383692833085,0.1175136519599202,2,16107.0,2695.0,0.8156940218967416,0.1175136519599202,-8800.9999999976,-0.4468056249054653,0.9228163958678189,19
MNQ+MES,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_5,invalidate_for_day,simple_invalidation,"MNQ,MES",True,17866.75,0.6575375079172562,-5844.75,1.094723769281543,9.726047904191617,0.4462849009978139,0.0936268591298185,2,15743.0,2123.75,0.7989429428658094,0.0936268591298185,-8073.499999997653,-0.4106437124602023,0.8873262321522555,20
MNQ+MES,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_5,invalidate_for_day,simple_invalidation,"MNQ,MES",True,17846.25,0.6534191879553664,-6082.25,1.0940318089251513,9.651838831800973,0.4459581042781843,0.0871410499920965,2,15860.0,1986.25,0.8047751585642721,0.0871410499920965,-8609.499999997612,-0.437290061471865,0.8797052399056997,21
