symbol,variant_name,ema_fast,ema_slow,slope_lookback,pullback_lookback,pb_min_atr,target_r,year,oos_sessions,n_trades,net_pnl,profit_factor,sharpe_ratio,win_rate,average_trade,max_drawdown
M2K,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2025,253,195,-678.5697916665049,0.7413681115414477,-1.6652900490837523,0.35384615384615387,-3.4798450854692557,-698.2078124998429
M2K,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2026,55,53,-644.7093749999499,0.4276224526410681,-5.195298299844123,0.2830188679245283,-12.164327830187734,-667.949479166632
MES,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2024,217,168,-1210.5859375000227,0.6632401360470238,-2.2274609800168634,0.34523809523809523,-7.205868675595373,-1216.317708333363
MES,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2025,253,240,-1159.3359375000045,0.8105893965630939,-1.0041121625617297,0.3541666666666667,-4.830566406250019,-1966.5338541666642
MES,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2026,55,48,-481.07421875,0.611404440611296,-2.8631902307326773,0.4166666666666667,-10.022379557291666,-548.2734375000018
MGC,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2021,15,3,-27.120833333326573,0.08440005626679373,-5.8924759570316905,0.3333333333333333,-9.040277777775524,-17.870833333331575
MGC,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2022,207,124,-787.2104166664462,0.571136882629959,-2.3133819430076614,0.3709677419354839,-6.34847110214876,-1032.5229166664872
MGC,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2023,214,123,-686.2989583331705,0.5902825281770071,-2.713030660046603,0.2764227642276423,-5.579666327911955,-702.58749999987
MGC,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2024,222,124,-694.3833333331577,0.6279483040764031,-2.416731677494748,0.3629032258064516,-5.599865591396433,-761.4749999998344
MGC,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2025,227,123,-362.11145833318824,0.8625546713944265,-0.7426914270335125,0.43089430894308944,-2.9439955962047826,-795.3802083332721
MGC,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2026,54,33,-1568.310416666909,0.2417126584866391,-6.281019480143403,0.21212121212121213,-47.524558080815424,-1520.5208333335668
MNQ,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2024,217,169,969.4390625000742,1.1873641820239864,0.9633325806182761,0.46153846153846156,5.7363258136099065,-552.8453124999724
MNQ,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2025,253,226,-1896.8656250000276,0.8127286719168001,-1.1255908473649312,0.3495575221238938,-8.393210730088619,-2447.985416666663
MNQ,impc_ef8_es21_sl3_pb3_pm0p3_tr2p5,8,21,3,3,0.3,2.5,2026,55,45,-852.546875,0.5542129300554769,-3.435148914573815,0.28888888888888886,-18.945486111111112,-762.3041666666686
M2K,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2024,217,186,-846.2177083331665,0.6479790304668007,-2.508254384953374,0.34408602150537637,-4.549557571683691,-863.9807291665431
M2K,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2025,253,193,-643.7302083331747,0.7513451114073042,-1.5646799799207358,0.35751295336787564,-3.3353896804827703,-663.3682291665127
M2K,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2026,55,51,-612.216666666618,0.44032460959337993,-5.011556074210227,0.29411764705882354,-12.004248366012119,-660.7416666666381
MES,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2024,217,167,-1215.6875000000218,0.6623002335130198,-2.232760067203753,0.3473053892215569,-7.279565868263604,-1221.4192708333621
MES,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2025,253,236,-1146.2942708333367,0.8103406377403071,-0.9916759080509878,0.3516949152542373,-4.857179113700579,-1905.9921874999964
MES,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2026,55,48,-476.07421875,0.615443272295089,-2.831385846046193,0.4166666666666667,-9.918212890625,-548.2734375000018
MGC,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2021,15,2,-15.370833333329301,0.13989274889265674,-3.579028830680115,0.5,-7.685416666664651,-17.870833333331575
MGC,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2022,207,121,-742.1916666664538,0.5802216888368134,-2.240606309292755,0.371900826446281,-6.133815426995485,-987.5041666664947
MGC,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2023,214,118,-609.3093749998434,0.6187204313551766,-2.4190835556425503,0.288135593220339,-5.163638771185114,-625.5979166665429
MGC,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2024,222,116,-522.2489583331617,0.6877306864881901,-1.850549490506616,0.3793103448275862,-4.502146192527256,-597.4010416665237
MGC,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2025,227,119,-315.59270833319715,0.8767077520099588,-0.6548301945743146,0.4369747899159664,-2.652039565825186,-798.9406249999456
MGC,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2026,54,30,-1521.345833333553,0.2338732183061066,-6.114606505078959,0.2,-50.7115277777851,-1456.7770833335453
MNQ,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2024,217,167,908.8026041667326,1.176385467681532,0.9056731890615815,0.46107784431137727,5.4419317614774405,-552.8453124999724
MNQ,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2025,253,223,-1928.4880208333634,0.8087434287945087,-1.1458985415125806,0.34977578475336324,-8.64792834454423,-2513.008854166663
MNQ,impc_ef8_es21_sl3_pb3_pm0p5_tr2p5,8,21,3,3,0.5,2.5,2026,55,45,-852.546875,0.5542129300554769,-3.435148914573815,0.28888888888888886,-18.945486111111112,-762.3041666666686
