phase,symbol,config_name,detail,seconds
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_1,checkpoint,6.70483100018464
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_2,,19.809324899921194
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_2,checkpoint,5.618426800007001
backtest/evaluation,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_3,,12.22038169996813
writing_exports,MNQ,allow_reclaim_after_opposite_breakout_strict__buffer_2__reclaim_3,checkpoint,4.783078100066632
backtest/evaluation,MES,invalidate_on_opposite_touch__buffer_1,,15.955331600038335
writing_exports,MES,invalidate_on_opposite_touch__buffer_1,checkpoint,5.040005299961194
backtest/evaluation,MES,invalidate_on_opposite_touch__buffer_4,,7.750455500092357
writing_exports,MES,invalidate_on_opposite_touch__buffer_4,checkpoint,4.802960900124162
backtest/evaluation,MES,invalidate_on_opposite_close_1m__buffer_1,,7.613944899989292
writing_exports,MES,invalidate_on_opposite_close_1m__buffer_1,checkpoint,5.016640800051391
backtest/evaluation,MES,invalidate_on_opposite_close_1m__buffer_4,,7.83101429999806
writing_exports,MES,invalidate_on_opposite_close_1m__buffer_4,checkpoint,5.44563139998354
backtest/evaluation,MES,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,,7.516952299978584
writing_exports,MES,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_2,checkpoint,5.004952999996021
backtest/evaluation,MES,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_3,,7.436908300034702
writing_exports,MES,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_3,checkpoint,5.137431300012395
backtest/evaluation,MES,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_5,,7.3446378000080585
writing_exports,MES,invalidate_on_opposite_n_closes_1m__buffer_0__confirm_5,checkpoint,5.165176599984989
backtest/evaluation,MES,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,,7.866389600094408
writing_exports,MES,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_2,checkpoint,5.284169299993664
backtest/evaluation,MES,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_3,,7.408610000042245
writing_exports,MES,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_3,checkpoint,5.42555269994773
backtest/evaluation,MES,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_5,,7.410912699997425
writing_exports,MES,invalidate_on_opposite_n_closes_1m__buffer_1__confirm_5,checkpoint,5.424557100050151
backtest/evaluation,MES,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,,7.444906999822706
writing_exports,MES,invalidate_on_opposite_n_closes_1m__buffer_2__confirm_5,checkpoint,5.49230119981803
backtest/evaluation,MES,invalidate_on_opposite_close_5m__buffer_0,,7.337625600164756
writing_exports,MES,invalidate_on_opposite_close_5m__buffer_0,checkpoint,6.631662499858066
backtest/evaluation,MES,invalidate_on_opposite_close_5m__buffer_1,,8.830620599910617
writing_exports,MES,invalidate_on_opposite_close_5m__buffer_1,checkpoint,5.804083799943328
backtest/evaluation,MES,invalidate_on_opposite_close_5m__buffer_4,,7.775347599992529
writing_exports,MES,invalidate_on_opposite_close_5m__buffer_4,checkpoint,5.707818400114775
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,,11.875924299936742
writing_exports,MES,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_true,checkpoint,5.989156400086358
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,,11.803377500036731
writing_exports,MES,allow_reclaim_after_opposite_breakout_conservative__buffer_0__require_vwap_false,checkpoint,6.781197499949485
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,,13.767159500159323
writing_exports,MES,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_true,checkpoint,6.041182300075889
backtest/evaluation,MES,allow_reclaim_after_opposite_breakout_conservative__buffer_1__require_vwap_false,,13.188370699994266
