symbol,dataset_path,resampled_dataset_path,variant_name,box_lookback,compression_threshold,target_r,is_sessions,oos_sessions,overall_total_trades,overall_net_pnl,overall_profit_factor,overall_sharpe_ratio,overall_max_drawdown,overall_win_rate,overall_average_trade,overall_expectancy,overall_median_holding_minutes,overall_time_in_market_pct,is_total_trades,is_net_pnl,is_profit_factor,is_sharpe_ratio,oos_total_trades,oos_net_pnl,oos_profit_factor,oos_sharpe_ratio,oos_max_drawdown,oos_win_rate,oos_average_trade,oos_expectancy,oos_median_holding_minutes,oos_time_in_market_pct,oos_top_5_day_contribution_pct
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n8_ct20_tr1p8,8,20.0,1.8,86,38,56,56.52500000002874,1.069048709726712,0.30741227497809404,-308.95416666664823,0.5,1.0093750000005133,1.0093750000005133,30.0,0.03442928039702233,39,101.82916666668916,1.166330905873585,0.7110123755568265,17,-45.30416666666042,0.7805207912798016,-1.2685379480079297,-110.34583333333285,0.35294117647058826,-2.6649509803917897,-2.6649509803917897,15.0,0.025978407557354925,-3.0264876299094303
M2K,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\M2K_c_0_1m_20260322_134808.parquet,data\exports\_tmp_vceb_smoke_actual\data\M2K_c_0_5m_20260322_134808.parquet,vceb_n8_ct20_tr2p2,8,20.0,2.2,86,38,56,160.90000000003442,1.1965490914643908,0.8242922247848582,-299.82916666664823,0.5,2.8732142857149006,2.8732142857149006,30.0,0.036807278742762614,39,174.51250000002915,1.2850541073981332,1.1526888784603941,17,-13.612499999994725,0.9340532902705133,-0.34846112864868745,-90.6958333333314,0.35294117647058826,-0.8007352941173368,-0.8007352941173368,15.0,0.027327935222672066,-11.959902050815986
MES,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\MES_c_0_1m_20260322_135702.parquet,data\exports\_tmp_vceb_smoke_actual\data\MES_c_0_5m_20260322_135702.parquet,vceb_n12_ct15_tr1p8,12,15.0,1.8,86,38,51,370.5625000000009,1.2343478260869571,0.8223334975707364,-332.5625,0.39215686274509803,7.265931372549037,7.265931372549037,35.0,0.03784119106699752,41,581.9374999999991,1.480567741935483,1.6373419883042541,10,-211.37499999999818,0.42919831223629185,-2.7735092054483963,-211.375,0.2,-21.137499999999818,-21.137499999999818,25.0,0.021929824561403508,-0.7519219396806774
MES,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\MES_c_0_1m_20260322_135702.parquet,data\exports\_tmp_vceb_smoke_actual\data\MES_c_0_5m_20260322_135702.parquet,vceb_n12_ct15_tr2p2,12,15.0,2.2,86,38,50,131.12500000000182,1.0814599106969531,0.30142202875733354,-325.0,0.36,2.6225000000000365,2.6225000000000365,42.5,0.04145988420181969,40,356.4375000000018,1.2875945537065068,1.036523167875635,10,-225.3125,0.39156118143459917,-3.083361625331193,-225.3125,0.2,-22.53125,-22.53125,25.0,0.021929824561403508,-0.6435506241331485
MES,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\MES_c_0_1m_20260322_135702.parquet,data\exports\_tmp_vceb_smoke_actual\data\MES_c_0_5m_20260322_135702.parquet,vceb_n12_ct20_tr1p8,12,20.0,1.8,86,38,65,-80.3125,0.9662995017046945,-0.14929174549511923,-866.9375,0.38461538461538464,-1.2355769230769231,-1.2355769230769231,35.0,0.0467328370554177,53,68.81249999999909,1.0347373402744908,0.16085851278693436,12,-149.1249999999991,0.6292152292152314,-1.69526082218673,-189.375,0.25,-12.427083333333258,-12.427083333333258,27.5,0.027327935222672066,-1.696982397317703
MES,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\MES_c_0_1m_20260322_135702.parquet,data\exports\_tmp_vceb_smoke_actual\data\MES_c_0_5m_20260322_135702.parquet,vceb_n12_ct20_tr2p2,12,20.0,2.2,86,38,64,-271.3749999999982,0.8874692237916296,-0.511288413270138,-851.1875,0.359375,-4.240234374999972,-4.240234374999972,37.5,0.05066170388751034,52,-100.43749999999818,0.9500155520995344,-0.23717984386072463,12,-170.9375,0.574980574980575,-2.0355891231487027,-189.375,0.25,-14.244791666666666,-14.244791666666666,27.5,0.028002699055330635,-1.352833638025594
MES,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\MES_c_0_1m_20260322_135702.parquet,data\exports\_tmp_vceb_smoke_actual\data\MES_c_0_5m_20260322_135702.parquet,vceb_n16_ct15_tr1p8,16,15.0,1.8,86,38,44,197.12499999999636,1.1586918238993682,0.581821279546478,-349.4375,0.4090909090909091,4.480113636363554,4.480113636363554,47.5,0.03670388751033912,31,229.0625,1.2690895741556534,0.9425010680328467,13,-31.937500000003638,0.9183053557154184,-0.3361010884029572,-228.4375,0.3076923076923077,-2.456730769231049,-2.456730769231049,40.0,0.03171390013495277,-11.24070450097708
MES,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\MES_c_0_1m_20260322_135702.parquet,data\exports\_tmp_vceb_smoke_actual\data\MES_c_0_5m_20260322_135702.parquet,vceb_n16_ct15_tr2p2,16,15.0,2.2,86,38,43,194.6250000000009,1.157511380880122,0.5545794091831588,-370.25,0.3953488372093023,4.526162790697696,4.526162790697696,55.0,0.03763440860215054,30,237.5,1.2811690714021458,0.934464506492158,13,-42.87499999999909,0.8903277378097545,-0.4484602175319128,-228.4375,0.3076923076923077,-3.298076923076853,-3.298076923076853,55.0,0.033738191632928474,-8.118075801749464
MES,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\MES_c_0_1m_20260322_135702.parquet,data\exports\_tmp_vceb_smoke_actual\data\MES_c_0_5m_20260322_135702.parquet,vceb_n16_ct20_tr1p8,16,20.0,1.8,86,38,51,243.99999999999636,1.16263278483649,0.6279947115019894,-437.75,0.39215686274509803,4.784313725490125,4.784313725490125,50.0,0.04487179487179487,35,476.5625,1.5244154057771664,1.737480134703182,16,-232.56250000000364,0.6068674062334857,-2.0817468086516,-429.0625,0.25,-14.535156250000227,-14.535156250000227,47.5,0.042172739541160596,-1.543671056167657
MES,D:\Business\Trading\VSCODE\algo-trading-intraday-research\data\processed\parquet\MES_c_0_1m_20260322_135702.parquet,data\exports\_tmp_vceb_smoke_actual\data\MES_c_0_5m_20260322_135702.parquet,vceb_n16_ct20_tr2p2,16,20.0,2.2,86,38,50,241.5000000000009,1.1616736401673646,0.6050125262751744,-429.0625,0.38,4.830000000000018,4.830000000000018,57.5,0.04580231596360629,34,485.0,1.5375822653273294,1.7068212447036923,16,-243.4999999999991,0.5883782356048616,-2.1715398821586818,-429.0625,0.25,-15.218749999999943,-15.218749999999943,52.5,0.0441970310391363,-1.4294147843942595
