variant_name,session_date,timestamp,from_state,to_state,trigger,current_day_pnl_usd,current_day_pnl_r,peak_day_pnl_usd,peak_day_pnl_r
combo_loss_0p75__profit_1p0,2020-09-17,2020-09-17 12:11:00-04:00,neutral,halted,overlay_hard_loss_cap,-245.24,-0.8719954487270658,128.26,0.4560517707296259
combo_loss_0p75__profit_1p0,2020-09-21,2020-09-21 12:00:00-04:00,neutral,halted,overlay_hard_loss_cap,-225.74,-0.8026596501208932,87.26,0.31026880955767316
combo_loss_0p75__profit_1p0,2020-09-22,2020-09-22 12:11:00-04:00,neutral,halted,overlay_hard_loss_cap,-198.74,-0.7636796802951122,46.26,0.17775899169996925
combo_loss_0p75__profit_1p0,2020-09-23,2020-09-23 13:53:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,202.76,1.0492651624922376,219.26,1.134651210929414
combo_loss_0p75__profit_1p0,2020-09-25,2020-09-25 11:25:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,204.26,1.030367231638418,207.76,1.0480225988700564
combo_loss_0p75__profit_1p0,2020-09-28,2020-09-28 13:33:00-04:00,neutral,halted,overlay_hard_loss_cap,-164.24,-0.7925110982435823,28.26,0.13636363636363635
combo_loss_0p75__profit_1p0,2020-09-29,2020-09-29 10:33:00-04:00,neutral,halted,overlay_hard_loss_cap,-99.74,-0.850733538041624,0.26,0.002217673149095872
combo_loss_0p75__profit_1p0,2020-10-01,2020-10-01 13:08:00-04:00,neutral,halted,overlay_hard_loss_cap,-91.74,-0.7629740518962076,70.26,0.5843313373253494
combo_loss_0p75__profit_1p0,2020-10-02,2020-10-02 11:37:00-04:00,neutral,halted,overlay_hard_loss_cap,-210.74,-0.7975325461701483,72.76,0.27535573720859824
combo_loss_0p75__profit_1p0,2020-10-05,2020-10-05 12:21:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,125.76,1.0246048557927327,126.76,1.0327521590353594
combo_loss_0p75__profit_1p0,2020-10-06,2020-10-06 11:09:00-04:00,neutral,halted,overlay_hard_loss_cap,-109.74,-0.8084573449241196,26.76,0.19714159422425226
combo_loss_0p75__profit_1p0,2020-10-08,2020-10-08 12:47:00-04:00,neutral,halted,overlay_hard_loss_cap,-105.74,-0.767678234354581,41.76,0.30317990416727164
combo_loss_0p75__profit_1p0,2020-10-09,2020-10-09 13:06:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,116.76,1.035657264502395,118.76,1.053397197090651
combo_loss_0p75__profit_1p0,2020-10-13,2020-10-13 13:09:00-04:00,neutral,halted,overlay_hard_loss_cap,-214.74,-0.8080830887333484,34.26,0.12892300745089183
combo_loss_0p75__profit_1p0,2020-10-14,2020-10-14 12:10:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,197.26,1.0396331822493938,203.76,1.0738905871192157
combo_loss_0p75__profit_1p0,2020-10-16,2020-10-16 10:22:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,94.26,1.0002122241086588,97.26,1.0320458404074704
combo_loss_0p75__profit_1p0,2020-10-19,2020-10-19 10:37:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,181.76,1.093358999037536,198.26,1.1926130895091434
combo_loss_0p75__profit_1p0,2020-10-20,2020-10-20 10:48:00-04:00,neutral,halted,overlay_hard_loss_cap,-141.24,-0.803687265278252,34.76,0.19779219301240467
combo_loss_0p75__profit_1p0,2020-10-21,2020-10-21 14:56:00-04:00,neutral,halted,overlay_hard_loss_cap,-193.74,-0.7590503055947344,43.76,0.17144648174267355
combo_loss_0p75__profit_1p0,2020-10-22,2020-10-22 10:31:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,154.76,1.0439827307069616,172.76,1.1654074473826226
combo_loss_0p75__profit_1p0,2020-10-23,2020-10-23 15:44:00-04:00,neutral,halted,overlay_hard_loss_cap,-148.24,-0.7854190950513935,68.26,0.3616615449825156
combo_loss_0p75__profit_1p0,2020-10-26,2020-10-26 10:32:00-04:00,neutral,halted,overlay_hard_loss_cap,-193.74,-0.7964972866304885,16.26,0.06684755796743957
combo_loss_0p75__profit_1p0,2020-10-27,2020-10-27 10:47:00-04:00,neutral,halted,overlay_hard_loss_cap,-128.24,-0.7622444127436995,15.26,0.09070375653827864
combo_loss_0p75__profit_1p0,2020-10-29,2020-10-29 14:01:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,232.76,1.006573257221934,235.76,1.0195467912125928
combo_loss_0p75__profit_1p0,2020-10-30,2020-10-30 14:33:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,326.26,1.0187984011991007,337.26,1.053147639270547
combo_loss_0p75__profit_1p0,2020-11-02,2020-11-02 13:18:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,229.76,1.0066596565019277,236.76,1.03732912723449
combo_loss_0p75__profit_1p0,2020-11-03,2020-11-03 10:21:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,225.76,1.0488756736666047,225.76,1.0488756736666047
combo_loss_0p75__profit_1p0,2020-11-05,2020-11-05 12:20:00-05:00,neutral,halted,overlay_hard_loss_cap,-193.24,-0.8060398765329106,33.26,0.13873362809710518
combo_loss_0p75__profit_1p0,2020-11-10,2020-11-10 11:45:00-05:00,neutral,halted,overlay_hard_loss_cap,-255.74,-0.7985885585810643,173.76,0.5425930552085935
combo_loss_0p75__profit_1p0,2020-11-12,2020-11-12 11:32:00-05:00,neutral,halted,overlay_hard_loss_cap,-143.24,-0.7795798410797866,3.76,0.02046369870469141
combo_loss_0p75__profit_1p0,2020-11-13,2020-11-13 10:56:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,115.26,1.0361380798274002,117.26,1.0541172240201366
combo_loss_0p75__profit_1p0,2020-11-23,2020-11-23 11:09:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,162.76,1.32605507576992,163.76,1.3342023790125468
combo_loss_0p75__profit_1p0,2020-11-24,2020-11-24 13:22:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,184.26,1.0166629883028029,186.76,1.030456852791878
combo_loss_0p75__profit_1p0,2020-11-25,2020-11-25 11:02:00-05:00,neutral,halted,overlay_hard_loss_cap,-83.74,-0.7665690223361405,25.76,0.2358110582204321
combo_loss_0p75__profit_1p0,2020-11-27,2020-11-27 10:32:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,94.26,1.1323882748678522,96.76,1.1624219125420472
combo_loss_0p75__profit_1p0,2020-11-30,2020-11-30 10:44:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,226.26,1.287470126322977,227.26,1.2931603505178102
combo_loss_0p75__profit_1p0,2020-12-01,2020-12-01 12:04:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,132.26,1.0116261281933607,134.26,1.026923665289888
combo_loss_0p75__profit_1p0,2020-12-03,2020-12-03 11:08:00-05:00,neutral,halted,overlay_hard_loss_cap,-86.74,-0.8525653626892078,52.76,0.5185767643011598
combo_loss_0p75__profit_1p0,2020-12-11,2020-12-11 11:23:00-05:00,neutral,halted,overlay_hard_loss_cap,-128.24,-0.7622444127436995,0.76,0.00451735615786971
combo_loss_0p75__profit_1p0,2020-12-21,2020-12-21 12:30:00-05:00,neutral,halted,overlay_hard_loss_cap,-149.74,-0.7591766375988643,179.76,0.911377002636382
combo_loss_0p75__profit_1p0,2021-01-04,2021-01-04 10:59:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,182.76,1.031144211238998,184.26,1.0396073121191605
combo_loss_0p75__profit_1p0,2021-01-08,2021-01-08 10:49:00-05:00,neutral,halted,overlay_hard_loss_cap,-115.74,-0.7755293487000803,49.76,0.3334226748860895
combo_loss_0p75__profit_1p0,2021-01-11,2021-01-11 14:22:00-05:00,neutral,halted,overlay_hard_loss_cap,-147.24,-0.7522223357515071,46.76,0.23888832124246448
combo_loss_0p75__profit_1p0,2021-01-15,2021-01-15 10:09:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,134.76,1.1349166245578575,136.26,1.1475492673067205
combo_loss_0p75__profit_1p0,2021-01-20,2021-01-20 13:32:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,172.76,1.0486827728541943,173.76,1.0547529440330217
combo_loss_0p75__profit_1p0,2021-01-21,2021-01-21 15:37:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,132.26,1.02734192947025,133.26,1.035109523069753
combo_loss_0p75__profit_1p0,2021-01-22,2021-01-22 11:55:00-05:00,neutral,halted,overlay_hard_loss_cap,-96.74,-0.7514370048159079,5.76,0.04474133913313655
combo_loss_0p75__profit_1p0,2021-01-25,2021-01-25 10:53:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,147.26,1.2046793193717278,150.26,1.2292212041884816
combo_loss_0p75__profit_1p0,2021-01-28,2021-01-28 13:38:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,259.26,1.0020097395068408,265.26,1.0251990415088506
combo_loss_0p75__profit_1p0,2021-01-29,2021-01-29 11:13:00-05:00,neutral,halted,overlay_hard_loss_cap,-241.74,-0.8024830699774267,17.26,0.05729650776789271
combo_loss_0p75__profit_1p0,2021-02-01,2021-02-01 12:27:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,272.76,1.0074610327251237,277.26,1.0240821452315874
combo_loss_0p75__profit_1p0,2021-02-04,2021-02-04 12:00:00-05:00,neutral,halted,overlay_hard_loss_cap,-120.24,-0.7671302794436646,21.26,0.1356386372336353
combo_loss_0p75__profit_1p0,2021-02-05,2021-02-05 12:02:00-05:00,neutral,halted,overlay_hard_loss_cap,-98.24,-0.7630883952151623,19.76,0.1534876495261768
combo_loss_0p75__profit_1p0,2021-02-08,2021-02-08 11:26:00-05:00,neutral,halted,overlay_hard_loss_cap,-75.74,-0.8632322771825849,33.26,0.3790745384089355
combo_loss_0p75__profit_1p0,2021-02-10,2021-02-10 10:20:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,129.26,1.276768075859344,130.76,1.2915843540102725
combo_loss_0p75__profit_1p0,2021-02-16,2021-02-16 10:54:00-05:00,neutral,halted,overlay_hard_loss_cap,-104.24,-0.859782250082481,7.76,0.06400527878587925
combo_loss_0p75__profit_1p0,2021-02-17,2021-02-17 14:01:00-05:00,neutral,halted,overlay_hard_loss_cap,-152.24,-0.8376802024870694,118.76,0.6534609882249367
combo_loss_0p75__profit_1p0,2021-02-18,2021-02-18 11:17:00-05:00,neutral,halted,overlay_hard_loss_cap,-109.24,-0.7626361351577771,86.26,0.6022060876850042
combo_loss_0p75__profit_1p0,2021-02-19,2021-02-19 11:03:00-05:00,neutral,halted,overlay_hard_loss_cap,-98.74,-0.7552394064555605,12.76,0.09759828667584518
combo_loss_0p75__profit_1p0,2021-02-22,2021-02-22 15:26:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,169.76,1.0030725596785628,174.26,1.029662018435358
combo_loss_0p75__profit_1p0,2021-02-25,2021-02-25 11:40:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,242.26,1.004228154534903,244.26,1.012518653622948
combo_loss_0p75__profit_1p0,2021-03-01,2021-03-01 11:10:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,159.26,1.003275796900592,160.26,1.0095754063248077
combo_loss_0p75__profit_1p0,2021-03-03,2021-03-03 14:17:00-05:00,neutral,locked_profit,overlay_hard_profit_lock,334.26,1.0277333661296273,339.76,1.0446439552330586
combo_loss_0p75__profit_1p0,2021-03-11,2021-03-11 10:40:00-05:00,neutral,halted,overlay_hard_loss_cap,-146.74,-0.8519507663725034,17.26,0.10020901068276823
combo_loss_0p75__profit_1p0,2021-03-12,2021-03-12 11:51:00-05:00,neutral,halted,overlay_hard_loss_cap,-177.24,-0.7731634967719421,25.76,0.11237131390682255
combo_loss_0p75__profit_1p0,2021-03-15,2021-03-15 10:37:00-04:00,neutral,halted,overlay_hard_loss_cap,-142.74,-0.8030831551704737,22.26,0.12523911331157872
combo_loss_0p75__profit_1p0,2021-03-16,2021-03-16 14:06:00-04:00,neutral,halted,overlay_hard_loss_cap,-178.74,-0.8583365347675759,101.76,0.48866692278140605
combo_loss_0p75__profit_1p0,2021-03-17,2021-03-17 11:41:00-04:00,neutral,halted,overlay_hard_loss_cap,-190.74,-0.850606493043168,54.26,0.24197288619336424
combo_loss_0p75__profit_1p0,2021-03-18,2021-03-18 12:14:00-04:00,neutral,halted,overlay_hard_loss_cap,-168.24,-0.8529709997972014,16.26,0.08243763942405193
combo_loss_0p75__profit_1p0,2021-03-22,2021-03-22 12:25:00-04:00,neutral,locked_profit,overlay_hard_profit_lock,205.76,1.0538824011473058,209.76,1.0743700061462813
