portfolio_name,month,net_pnl
baseline_plus_pullback_scaled_to_baseline_risk,2024-03,377.4630471364918
baseline_plus_pullback_scaled_to_baseline_risk,2024-04,4236.508254868574
baseline_plus_pullback_scaled_to_baseline_risk,2024-05,3898.1108056267967
baseline_plus_pullback_scaled_to_baseline_risk,2024-06,2789.791880414547
baseline_plus_pullback_scaled_to_baseline_risk,2024-07,5033.8419895347915
baseline_plus_pullback_scaled_to_baseline_risk,2024-08,2469.1060047136293
baseline_plus_pullback_scaled_to_baseline_risk,2024-09,-2953.6395819338677
baseline_plus_pullback_scaled_to_baseline_risk,2024-10,2115.8758949447015
baseline_plus_pullback_scaled_to_baseline_risk,2024-11,1250.4496089977274
baseline_plus_pullback_scaled_to_baseline_risk,2024-12,1744.8716265694
baseline_plus_pullback_scaled_to_baseline_risk,2025-01,1647.2389243653745
baseline_plus_pullback_scaled_to_baseline_risk,2025-02,329.4477848730748
baseline_plus_pullback_scaled_to_baseline_risk,2025-03,1046.4222954175166
baseline_plus_pullback_scaled_to_baseline_risk,2025-04,918.7487617660972
baseline_plus_pullback_scaled_to_baseline_risk,2025-05,-2021.8731265405675
baseline_plus_pullback_scaled_to_baseline_risk,2025-06,-2114.3738533723317
baseline_plus_pullback_scaled_to_baseline_risk,2025-07,-522.9608074466944
baseline_plus_pullback_scaled_to_baseline_risk,2025-08,2375.729086964649
baseline_plus_pullback_scaled_to_baseline_risk,2025-09,772.2997084600576
baseline_plus_pullback_scaled_to_baseline_risk,2025-10,5575.578316636108
baseline_plus_pullback_scaled_to_baseline_risk,2025-11,-230.06270083462312
baseline_plus_pullback_scaled_to_baseline_risk,2025-12,-159.27899173669744
baseline_plus_pullback_scaled_to_baseline_risk,2026-01,362.9933799893304
baseline_plus_pullback_capped_50pct,2024-01,-1654.0624999999998
baseline_plus_pullback_capped_50pct,2024-02,-2319.5
baseline_plus_pullback_capped_50pct,2024-03,359.9750000000005
baseline_plus_pullback_capped_50pct,2024-04,4240.375000000001
baseline_plus_pullback_capped_50pct,2024-05,3889.9062500000005
baseline_plus_pullback_capped_50pct,2024-06,2786.0
baseline_plus_pullback_capped_50pct,2024-07,5008.0
baseline_plus_pullback_capped_50pct,2024-08,2465.375
baseline_plus_pullback_capped_50pct,2024-09,-2940.8124999999995
baseline_plus_pullback_capped_50pct,2024-10,2113.0
baseline_plus_pullback_capped_50pct,2024-11,1253.6250000000005
baseline_plus_pullback_capped_50pct,2024-12,1742.5
baseline_plus_pullback_capped_50pct,2025-01,1618.2500000000007
baseline_plus_pullback_capped_50pct,2025-02,329.0
baseline_plus_pullback_capped_50pct,2025-03,1045.0
baseline_plus_pullback_capped_50pct,2025-04,917.5
baseline_plus_pullback_capped_50pct,2025-05,-1993.5624999999998
baseline_plus_pullback_capped_50pct,2025-06,-2111.5
baseline_plus_pullback_capped_50pct,2025-07,-584.1249999999989
baseline_plus_pullback_capped_50pct,2025-08,2372.5
baseline_plus_pullback_capped_50pct,2025-09,767.1250000000002
baseline_plus_pullback_capped_50pct,2025-10,5568.0
baseline_plus_pullback_capped_50pct,2025-11,-271.3750000000032
baseline_plus_pullback_capped_50pct,2025-12,-152.03125
baseline_plus_pullback_capped_50pct,2026-01,371.5000000000002
baseline_plus_pullback_when_baseline_flat,2024-01,-1652.0
baseline_plus_pullback_when_baseline_flat,2024-02,-2319.5
baseline_plus_pullback_when_baseline_flat,2024-03,343.0
baseline_plus_pullback_when_baseline_flat,2024-04,4250.0
baseline_plus_pullback_when_baseline_flat,2024-05,3887.0
baseline_plus_pullback_when_baseline_flat,2024-06,2786.0
baseline_plus_pullback_when_baseline_flat,2024-07,4989.0
baseline_plus_pullback_when_baseline_flat,2024-08,2465.0
baseline_plus_pullback_when_baseline_flat,2024-09,-2932.0
baseline_plus_pullback_when_baseline_flat,2024-10,2113.0
baseline_plus_pullback_when_baseline_flat,2024-11,1258.5
baseline_plus_pullback_when_baseline_flat,2024-12,1742.5
baseline_plus_pullback_when_baseline_flat,2025-01,1591.5
baseline_plus_pullback_when_baseline_flat,2025-02,329.0
baseline_plus_pullback_when_baseline_flat,2025-03,1045.0
baseline_plus_pullback_when_baseline_flat,2025-04,917.5
baseline_plus_pullback_when_baseline_flat,2025-05,-1968.0
baseline_plus_pullback_when_baseline_flat,2025-06,-2111.5
baseline_plus_pullback_when_baseline_flat,2025-07,-646.0
baseline_plus_pullback_when_baseline_flat,2025-08,2372.5
baseline_plus_pullback_when_baseline_flat,2025-09,763.0
baseline_plus_pullback_when_baseline_flat,2025-10,5568.0
baseline_plus_pullback_when_baseline_flat,2025-11,-313.0
baseline_plus_pullback_when_baseline_flat,2025-12,-145.0
baseline_plus_pullback_when_baseline_flat,2026-01,380.5
baseline_plus_m2k_only_equal_notional,2024-01,-1660.2499999999993
baseline_plus_m2k_only_equal_notional,2024-02,-2319.5
baseline_plus_m2k_only_equal_notional,2024-03,431.3999999999992
baseline_plus_m2k_only_equal_notional,2024-04,4211.500000000002
baseline_plus_m2k_only_equal_notional,2024-05,3898.6250000000014
baseline_plus_m2k_only_equal_notional,2024-06,2786.0
baseline_plus_m2k_only_equal_notional,2024-07,5018.5
baseline_plus_m2k_only_equal_notional,2024-08,2466.500000000001
baseline_plus_m2k_only_equal_notional,2024-09,-2967.2499999999986
baseline_plus_m2k_only_equal_notional,2024-10,2113.0
baseline_plus_m2k_only_equal_notional,2024-11,1258.5
baseline_plus_m2k_only_equal_notional,2024-12,1742.5
baseline_plus_m2k_only_equal_notional,2025-01,1591.5
baseline_plus_m2k_only_equal_notional,2025-02,329.0
baseline_plus_m2k_only_equal_notional,2025-03,1045.0
baseline_plus_m2k_only_equal_notional,2025-04,917.5
baseline_plus_m2k_only_equal_notional,2025-05,-2001.75
baseline_plus_m2k_only_equal_notional,2025-06,-2111.5
baseline_plus_m2k_only_equal_notional,2025-07,-646.0
baseline_plus_m2k_only_equal_notional,2025-08,2372.5
baseline_plus_m2k_only_equal_notional,2025-09,763.0
baseline_plus_m2k_only_equal_notional,2025-10,5568.0
baseline_plus_m2k_only_equal_notional,2025-11,-313.0
baseline_plus_m2k_only_equal_notional,2025-12,-173.125
baseline_plus_m2k_only_equal_notional,2026-01,344.5000000000009
