trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,holding_minutes,gross_pnl_usd,entry_hour,signal_atr,signal_pullback_depth,signal_ema_spread,mfe_points,mae_points,mfe_usd,mae_usd,mfe_r,mae_r
82,2025-01-13,long,1,2025-01-13 13:30:00-05:00,20892.75,20851.0640625,20955.278906249998,2025-01-13 14:15:00-05:00,20850.8140625,stop,50000.0,,,86.37187499999709,86.37187499999709,86.37187499999709,41785.5,0.83571,-41.935937499998545,-167.74374999999418,-83.87187499999709,2.5,-86.37187499999709,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-01-13 13:25:00-05:00,9,45.0,-83.87187499999709,13.0,46.859375,44.25,23.766169520789845,21.0,-44.75,42.0,-89.5,0.4862694019320689,-1.0362169398314325
83,2025-01-14,long,1,2025-01-14 14:20:00-05:00,21003.0,20969.140625,21053.7890625,2025-01-14 14:50:00-05:00,20968.890625,stop,50000.0,,,70.71875,70.71875,70.71875,42006.0,0.84012,-34.109375,-136.4375,-68.21875,2.5,-70.71875,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-01-14 14:15:00-05:00,6,30.0,-68.21875,14.0,36.09375,37.25,36.46948836305819,8.25,-36.25,16.5,-72.5,0.23331860362350862,-1.025187803800265
84,2025-01-15,long,1,2025-01-15 13:05:00-05:00,21353.75,21314.11875,21413.196874999998,2025-01-15 14:05:00-05:00,21393.75,time_stop,50000.0,,,82.26249999999709,82.26249999999709,82.26249999999709,42707.5,0.85415,40.0,160.0,80.0,2.5,77.5,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-01-15 13:00:00-05:00,12,60.0,80.0,13.0,43.8125,47.5,16.626239758388692,43.75,-12.0,87.5,-24.0,1.0636681355417485,-0.2917489743200225
85,2025-01-17,long,1,2025-01-17 12:50:00-05:00,21625.25,21601.0109375,21661.608593750003,2025-01-17 13:20:00-05:00,21661.358593750003,target,50000.0,,,51.478125000001455,51.478125000001455,51.478125000001455,43250.5,0.86501,36.10859375000291,144.43437500001164,72.21718750000582,2.5,69.71718750000582,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-01-17 12:45:00-05:00,6,30.0,72.21718750000582,12.0,39.890625,23.0,18.375492723898788,43.5,-17.0,87.0,-34.0,1.6900382443998794,-0.6604747162022517
86,2025-01-27,short,1,2025-01-27 13:30:00-05:00,21149.0,21197.817708333332,21075.7734375,2025-01-27 13:35:00-05:00,21198.067708333332,stop,50000.0,,,100.63541666666424,100.63541666666424,100.63541666666424,42298.0,0.84596,-49.06770833333212,-196.27083333332848,-98.13541666666424,2.5,-100.63541666666424,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-01-27 13:25:00-05:00,1,5.0,-98.13541666666424,13.0,65.67708333333333,52.5,-32.68753898765863,3.5,-53.25,7.0,-106.5,0.06955801676845215,-1.0582755408343076
87,2025-01-28,long,1,2025-01-28 12:55:00-05:00,21547.75,21519.624479166665,21589.938281250004,2025-01-28 13:55:00-05:00,21540.75,time_stop,50000.0,,,59.25104166667006,59.25104166667006,59.25104166667006,43095.5,0.86191,-7.0,-28.0,-14.0,2.5,-16.5,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-01-28 12:50:00-05:00,12,60.0,-14.0,12.0,41.255208333333336,38.5,40.8660390629193,36.25,-26.25,72.5,-52.5,1.2236071799018304,-0.8860603716530495
88,2025-01-29,short,1,2025-01-29 11:40:00-05:00,21474.25,21516.8265625,21410.385156250002,2025-01-29 12:05:00-05:00,21517.0765625,stop,50000.0,,,88.15312499999709,88.15312499999709,88.15312499999709,42948.5,0.85897,-42.826562499998545,-171.30624999999418,-85.65312499999709,2.5,-88.15312499999709,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-01-29 11:35:00-05:00,5,25.0,-85.65312499999709,11.0,30.765625,36.5,-15.82081061863937,8.0,-50.5,16.0,-101.0,0.1815023574036715,-1.1457336311106763
89,2025-01-30,long,1,2025-01-30 14:50:00-05:00,21634.5,21594.480208333334,21694.5296875,2025-01-30 15:20:00-05:00,21694.2796875,target,50000.0,,,83.0395833333314,83.0395833333314,83.0395833333314,43269.0,0.86538,59.779687499998545,239.11874999999418,119.55937499999709,2.5,117.05937499999709,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-01-30 14:45:00-05:00,6,30.0,119.55937499999709,14.0,30.197916666666668,25.0,17.93413078794765,60.5,-6.5,121.0,-13.0,1.4571364058305867,-0.15655184525452584
90,2025-02-03,long,1,2025-02-03 14:45:00-05:00,21501.0,21473.536979166667,21542.19453125,2025-02-03 15:10:00-05:00,21473.286979166667,stop,50000.0,,,57.9260416666657,57.9260416666657,57.9260416666657,43002.0,0.86004,-27.71302083333285,-110.8520833333314,-55.4260416666657,2.5,-57.9260416666657,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-02-03 14:40:00-05:00,5,25.0,-55.4260416666657,14.0,42.130208333333336,42.25,27.226422266092413,13.0,-30.0,26.0,-60.0,0.44884820802388853,-1.0358035569782043
91,2025-02-05,long,1,2025-02-05 12:55:00-05:00,21716.0,21690.490625,21754.264062500002,2025-02-05 13:15:00-05:00,21690.240625,stop,50000.0,,,54.01875000000291,54.01875000000291,54.01875000000291,43432.0,0.86864,-25.759375000001455,-103.03750000000582,-51.51875000000291,2.5,-54.01875000000291,impc_ef8_es21_sl5_pb5_pm0p3_tr1p5,2025-02-05 12:50:00-05:00,4,20.0,-51.51875000000291,12.0,32.59375,26.5,24.22299352718983,1.0,-28.75,2.0,-57.5,0.03702418141848696,-1.0644452157815
