session_date,entry_time,direction,net_pnl_retained,net_pnl_3state,contracts_retained,contracts_3state,risk_multiplier,pnl_ratio,flag_pnl_ratio_gt_1_with_multiplier_le_1,match_status
2020-06-18 00:00:00,2020-06-18 14:10:00+00:00,long,,-301.5,,3.0,0.5,,False,sizing_3state_only
2020-06-22 00:00:00,2020-06-22 14:01:00+00:00,long,,950.0,,5.0,0.75,,False,sizing_3state_only
2020-06-24 00:00:00,2020-06-24 14:02:00+00:00,short,,303.0,,2.0,0.75,,False,sizing_3state_only
2020-06-26 00:00:00,2020-06-26 14:03:00+00:00,short,,237.5,,1.0,0.5,,False,sizing_3state_only
2020-06-29 00:00:00,2020-06-29 14:31:00+00:00,long,,212.0,,1.0,0.5,,False,sizing_3state_only
2020-06-30,2020-06-30 13:48:00+00:00,long,210.5,,1.0,,,,False,retained_only
2020-06-30 00:00:00,2020-06-30 14:03:00+00:00,long,,520.5,,3.0,1.0,,False,sizing_3state_only
2020-07-01 00:00:00,2020-07-01 14:26:00+00:00,long,,245.0,,2.0,0.5,,False,sizing_3state_only
2020-07-02,2020-07-02 13:57:00+00:00,long,-191.0,,2.0,,,,False,retained_only
2020-07-02 00:00:00,2020-07-02 15:04:00+00:00,short,,18.0,,3.0,0.75,,False,sizing_3state_only
2020-07-06,2020-07-06 13:56:00+00:00,long,456.0,,3.0,,,,False,retained_only
2020-07-06 00:00:00,2020-07-06 14:01:00+00:00,long,,984.0,,4.0,0.75,,False,sizing_3state_only
2020-07-07,2020-07-07 13:50:00+00:00,long,-143.5,,1.0,,,,False,retained_only
2020-07-07 00:00:00,2020-07-07 14:12:00+00:00,long,,-326.0,,2.0,0.5,,False,sizing_3state_only
2020-07-08,2020-07-08 13:49:00+00:00,long,-211.0,,2.0,,,,False,retained_only
2020-07-08 00:00:00,2020-07-08 14:13:00+00:00,long,,-432.0,,3.0,0.75,,False,sizing_3state_only
2020-07-09 00:00:00,2020-07-09 14:18:00+00:00,short,,711.0,,3.0,0.5,,False,sizing_3state_only
2020-07-10 00:00:00,2020-07-10 14:01:00+00:00,short,,-436.0,,2.0,0.75,,False,sizing_3state_only
2020-07-13 00:00:00,2020-07-13 14:30:00+00:00,long,,-287.0,,2.0,0.5,,False,sizing_3state_only
2020-07-15 00:00:00,2020-07-15 15:04:00+00:00,short,,-110.0,,2.0,0.75,,False,sizing_3state_only
2020-07-16 00:00:00,2020-07-16 14:02:00+00:00,short,,-690.0,,5.0,1.0,,False,sizing_3state_only
2020-07-17 00:00:00,2020-07-17 14:25:00+00:00,short,,-188.5,,1.0,0.5,,False,sizing_3state_only
2020-07-20 00:00:00,2020-07-20 14:05:00+00:00,long,,730.0,,2.0,0.5,,False,sizing_3state_only
2020-07-20,2020-07-20 14:06:00+00:00,long,432.0,,1.0,,,,False,retained_only
2020-07-21 00:00:00,2020-07-21 14:11:00+00:00,short,,390.0,,3.0,1.0,,False,sizing_3state_only
2020-07-22,2020-07-22 13:54:00+00:00,long,-131.5,,1.0,,,,False,retained_only
2020-07-22 00:00:00,2020-07-22 14:48:00+00:00,short,,-109.0,,2.0,0.5,,False,sizing_3state_only
2020-07-23 00:00:00,2020-07-23 14:14:00+00:00,short,,873.0,,3.0,0.75,,False,sizing_3state_only
2020-07-24 00:00:00,2020-07-24 14:21:00+00:00,long,,68.5,,1.0,0.5,,False,sizing_3state_only
2020-07-27,2020-07-27 13:50:00+00:00,long,-209.5,,1.0,,,,False,retained_only
2020-07-27 00:00:00,2020-07-27 14:01:00+00:00,long,,-718.5,,3.0,1.0,,False,sizing_3state_only
2020-07-29 00:00:00,2020-07-29 14:03:00+00:00,long,,240.0,,5.0,0.75,,False,sizing_3state_only
2020-07-30 00:00:00,2020-07-30 14:21:00+00:00,short,,-196.0,,1.0,0.5,,False,sizing_3state_only
2020-07-31 00:00:00,2020-07-31 14:09:00+00:00,short,,-514.0,,2.0,1.0,,False,sizing_3state_only
2020-08-03,2020-08-03 14:01:00+00:00,long,-35.0,,1.0,,,,False,retained_only
2020-08-03 00:00:00,2020-08-03 14:02:00+00:00,long,,-187.5,,3.0,0.75,,False,sizing_3state_only
2020-08-04 00:00:00,2020-08-04 14:02:00+00:00,long,,-256.0,,2.0,0.5,,False,sizing_3state_only
2020-08-05 00:00:00,2020-08-05 14:12:00+00:00,long,,-78.0,,3.0,0.5,,False,sizing_3state_only
2020-08-10 00:00:00,2020-08-10 14:06:00+00:00,short,,-180.0,,3.0,0.75,,False,sizing_3state_only
2020-08-11 00:00:00,2020-08-11 14:08:00+00:00,short,,-565.5,,3.0,1.0,,False,sizing_3state_only
2020-08-12,2020-08-12 13:49:00+00:00,long,267.0,,1.0,,,,False,retained_only
2020-08-12 00:00:00,2020-08-12 14:08:00+00:00,long,,121.0,,1.0,0.5,,False,sizing_3state_only
2020-08-13 00:00:00,2020-08-13 14:32:00+00:00,long,,-280.0,,2.0,0.5,,False,sizing_3state_only
2020-08-14 00:00:00,2020-08-14 14:14:00+00:00,short,,-217.5,,5.0,1.0,,False,sizing_3state_only
2020-08-18 00:00:00,2020-08-18 14:08:00+00:00,short,,-504.0,,4.0,0.75,,False,sizing_3state_only
2020-08-20,2020-08-20 13:48:00+00:00,long,246.5,,1.0,,,,False,retained_only
2020-08-21 00:00:00,2020-08-21 14:26:00+00:00,long,,253.5,,3.0,0.5,,False,sizing_3state_only
2020-08-24 00:00:00,2020-08-24 14:04:00+00:00,short,,-34.0,,2.0,0.75,,False,sizing_3state_only
2020-08-25 00:00:00,2020-08-25 14:17:00+00:00,long,,702.0,,3.0,0.5,,False,sizing_3state_only
2020-08-25,2020-08-25 15:14:00+00:00,long,68.0,,1.0,,,,False,retained_only
2020-08-27 00:00:00,2020-08-27 14:13:00+00:00,short,,-226.5,,1.0,0.5,,False,sizing_3state_only
2020-08-28 00:00:00,2020-08-28 14:03:00+00:00,long,,-516.0,,4.0,0.75,,False,sizing_3state_only
2020-08-31 00:00:00,2020-08-31 14:20:00+00:00,long,,180.0,,2.0,0.5,,False,sizing_3state_only
2020-09-01 00:00:00,2020-09-01 14:01:00+00:00,long,,1158.0,,3.0,1.0,,False,sizing_3state_only
2020-09-01,2020-09-01 14:25:00+00:00,long,101.5,,1.0,,,,False,retained_only
2020-09-02 00:00:00,2020-09-02 15:37:00+00:00,short,,-434.5,,1.0,0.75,,False,sizing_3state_only
2020-09-03 00:00:00,2020-09-03 14:13:00+00:00,short,,1338.0,,3.0,1.0,,False,sizing_3state_only
2020-09-09 00:00:00,2020-09-09 14:26:00+00:00,long,,134.0,,2.0,1.0,,False,sizing_3state_only
2020-09-10 00:00:00,2020-09-10 14:04:00+00:00,long,,-601.5,,3.0,1.0,,False,sizing_3state_only
2020-09-14,2020-09-14 13:46:00+00:00,long,-171.5,,1.0,,,,False,retained_only
2020-09-14 00:00:00,2020-09-14 14:05:00+00:00,long,,-681.0,,3.0,1.0,,False,sizing_3state_only
2020-09-15,2020-09-15 13:55:00+00:00,long,-232.0,,2.0,,,,False,retained_only
2020-09-15 00:00:00,2020-09-15 14:02:00+00:00,long,,-283.0,,2.0,0.5,,False,sizing_3state_only
2020-09-16 00:00:00,2020-09-16 14:34:00+00:00,short,,700.0,,2.0,0.5,,False,sizing_3state_only
2020-09-17 00:00:00,2020-09-17 14:06:00+00:00,long,,-282.5,,1.0,0.5,,False,sizing_3state_only
2020-09-21 00:00:00,2020-09-21 14:31:00+00:00,short,,-282.5,,1.0,0.5,,False,sizing_3state_only
2020-09-22 00:00:00,2020-09-22 15:00:00+00:00,short,,-523.0,,2.0,1.0,,False,sizing_3state_only
2020-09-23 00:00:00,2020-09-23 14:06:00+00:00,short,,760.0,,2.0,0.75,,False,sizing_3state_only
2020-09-25 00:00:00,2020-09-25 14:23:00+00:00,long,,780.0,,2.0,0.75,,False,sizing_3state_only
2020-09-28 00:00:00,2020-09-28 14:52:00+00:00,short,,-208.5,,1.0,0.5,,False,sizing_3state_only
2020-09-29 00:00:00,2020-09-29 14:12:00+00:00,long,,-355.5,,3.0,0.5,,False,sizing_3state_only
2020-09-30,2020-09-30 13:52:00+00:00,long,282.0,,1.0,,,,False,retained_only
2020-09-30 00:00:00,2020-09-30 14:01:00+00:00,long,,-233.0,,2.0,0.75,,False,sizing_3state_only
2020-10-01 00:00:00,2020-10-01 14:01:00+00:00,short,,-486.0,,4.0,0.75,,False,sizing_3state_only
2020-10-02 00:00:00,2020-10-02 14:02:00+00:00,long,,-531.0,,2.0,0.75,,False,sizing_3state_only
2020-10-05 00:00:00,2020-10-05 14:01:00+00:00,long,,762.0,,4.0,0.75,,False,sizing_3state_only
2020-10-05,2020-10-05 14:03:00+00:00,long,180.0,,1.0,,,,False,retained_only
2020-10-06 00:00:00,2020-10-06 14:10:00+00:00,long,,-274.0,,2.0,0.5,,False,sizing_3state_only
2020-10-08 00:00:00,2020-10-08 14:21:00+00:00,short,,-556.0,,4.0,0.75,,False,sizing_3state_only
2020-10-09 00:00:00,2020-10-09 14:04:00+00:00,long,,622.0,,4.0,0.75,,False,sizing_3state_only
2020-10-13 00:00:00,2020-10-13 15:22:00+00:00,long,,-267.0,,1.0,0.5,,False,sizing_3state_only
2020-10-14 00:00:00,2020-10-14 14:26:00+00:00,short,,1119.0,,3.0,1.0,,False,sizing_3state_only
2020-10-16 00:00:00,2020-10-16 14:01:00+00:00,long,,-477.5,,5.0,0.75,,False,sizing_3state_only
2020-10-19 00:00:00,2020-10-19 14:01:00+00:00,short,,978.0,,3.0,0.75,,False,sizing_3state_only
2020-10-20 00:00:00,2020-10-20 14:06:00+00:00,long,,-708.0,,4.0,1.0,,False,sizing_3state_only
2020-10-20,2020-10-20 14:07:00+00:00,long,-188.0,,1.0,,,,False,retained_only
2020-10-21,2020-10-21 13:49:00+00:00,long,-199.5,,1.0,,,,False,retained_only
2020-10-21 00:00:00,2020-10-21 15:16:00+00:00,short,,-39.0,,1.0,0.5,,False,sizing_3state_only
2020-10-22 00:00:00,2020-10-22 14:04:00+00:00,short,,-25.0,,5.0,1.0,,False,sizing_3state_only
2020-10-23 00:00:00,2020-10-23 14:01:00+00:00,short,,-380.0,,2.0,0.75,,False,sizing_3state_only
2020-10-26 00:00:00,2020-10-26 14:03:00+00:00,long,,-489.0,,2.0,0.75,,False,sizing_3state_only
2020-10-27 00:00:00,2020-10-27 14:23:00+00:00,short,,-339.0,,2.0,0.5,,False,sizing_3state_only
2020-10-28 00:00:00,2020-10-28 14:17:00+00:00,short,,205.0,,1.0,0.75,,False,sizing_3state_only
2020-10-29,2020-10-29 13:55:00+00:00,long,300.0,,1.0,,,,False,retained_only
2020-10-29 00:00:00,2020-10-29 14:04:00+00:00,long,,-697.5,,3.0,1.0,,False,sizing_3state_only
2020-10-30 00:00:00,2020-10-30 14:14:00+00:00,short,,199.0,,2.0,1.0,,False,sizing_3state_only
2020-11-02,2020-11-02 14:53:00+00:00,long,-169.0,,1.0,,,,False,retained_only
2020-11-02 00:00:00,2020-11-02 16:13:00+00:00,short,,130.5,,3.0,1.0,,False,sizing_3state_only
2020-11-03,2020-11-03 15:00:00+00:00,long,390.0,,1.0,,,,False,retained_only
2020-11-03 00:00:00,2020-11-03 15:01:00+00:00,long,,1272.0,,3.0,1.0,,False,sizing_3state_only
2020-11-05,2020-11-05 14:52:00+00:00,long,-225.5,,1.0,,,,False,retained_only
2020-11-05 00:00:00,2020-11-05 15:02:00+00:00,long,,-723.0,,3.0,1.0,,False,sizing_3state_only
2020-11-06 00:00:00,2020-11-06 16:41:00+00:00,long,,56.5,,1.0,0.5,,False,sizing_3state_only
2020-11-10 00:00:00,2020-11-10 15:23:00+00:00,short,,-92.0,,1.0,0.5,,False,sizing_3state_only
2020-11-11,2020-11-11 15:30:00+00:00,long,118.5,,1.0,,,,False,retained_only
2020-11-11 00:00:00,2020-11-11 15:31:00+00:00,long,,95.5,,1.0,0.5,,False,sizing_3state_only
2020-11-12 00:00:00,2020-11-12 15:42:00+00:00,long,,-370.0,,2.0,0.5,,False,sizing_3state_only
2020-11-13 00:00:00,2020-11-13 15:01:00+00:00,short,,-562.5,,5.0,0.75,,False,sizing_3state_only
2020-11-16 00:00:00,2020-11-16 15:23:00+00:00,long,,44.0,,1.0,0.5,,False,sizing_3state_only
2020-11-16,2020-11-16 15:26:00+00:00,long,18.0,,1.0,,,,False,retained_only
2020-11-19 00:00:00,2020-11-19 15:39:00+00:00,long,,265.5,,3.0,1.0,,False,sizing_3state_only
2020-11-23,2020-11-23 14:46:00+00:00,long,-192.0,,2.0,,,,False,retained_only
2020-11-23 00:00:00,2020-11-23 15:07:00+00:00,short,,1434.0,,6.0,1.0,,False,sizing_3state_only
2020-11-24 00:00:00,2020-11-24 15:42:00+00:00,long,,1424.0,,4.0,1.0,,False,sizing_3state_only
2020-11-25 00:00:00,2020-11-25 15:05:00+00:00,short,,-552.5,,5.0,0.75,,False,sizing_3state_only
2020-11-27 00:00:00,2020-11-27 15:01:00+00:00,long,,292.0,,8.0,1.0,,False,sizing_3state_only
2020-11-30 00:00:00,2020-11-30 15:29:00+00:00,short,,-354.0,,2.0,0.5,,False,sizing_3state_only
2020-12-01 00:00:00,2020-12-01 15:01:00+00:00,long,,454.0,,4.0,0.75,,False,sizing_3state_only
2020-12-02 00:00:00,2020-12-02 15:13:00+00:00,long,,247.0,,2.0,0.5,,False,sizing_3state_only
2020-12-03 00:00:00,2020-12-03 15:04:00+00:00,long,,-515.0,,5.0,0.75,,False,sizing_3state_only
2020-12-03,2020-12-03 15:06:00+00:00,long,-219.0,,2.0,,,,False,retained_only
2020-12-07,2020-12-07 14:59:00+00:00,long,17.0,,2.0,,,,False,retained_only
2020-12-07 00:00:00,2020-12-07 15:02:00+00:00,long,,-14.0,,4.0,0.75,,False,sizing_3state_only
2020-12-10 00:00:00,2020-12-10 15:09:00+00:00,long,,0.5,,1.0,0.5,,False,sizing_3state_only
2020-12-11 00:00:00,2020-12-11 15:14:00+00:00,long,,-339.0,,2.0,0.5,,False,sizing_3state_only
2020-12-14,2020-12-14 14:47:00+00:00,long,-162.0,,1.0,,,,False,retained_only
2020-12-14 00:00:00,2020-12-14 15:01:00+00:00,long,,-211.0,,1.0,0.5,,False,sizing_3state_only
2020-12-21 00:00:00,2020-12-21 15:04:00+00:00,short,,-397.0,,2.0,0.75,,False,sizing_3state_only
2020-12-22,2020-12-22 14:57:00+00:00,long,-147.0,,1.0,,,,False,retained_only
2020-12-22 00:00:00,2020-12-22 16:02:00+00:00,short,,-290.0,,4.0,1.0,,False,sizing_3state_only
2020-12-29 00:00:00,2020-12-29 15:02:00+00:00,short,,7.5,,3.0,0.75,,False,sizing_3state_only
2020-12-30 00:00:00,2020-12-30 15:14:00+00:00,short,,65.0,,5.0,1.0,,False,sizing_3state_only
2021-01-04 00:00:00,2021-01-04 15:12:00+00:00,short,,1392.0,,4.0,1.0,,False,sizing_3state_only
2021-01-05,2021-01-05 14:53:00+00:00,long,-221.5,,1.0,,,,False,retained_only
2021-01-05 00:00:00,2021-01-05 15:05:00+00:00,long,,-498.0,,2.0,0.75,,False,sizing_3state_only
2021-01-06 00:00:00,2021-01-06 15:11:00+00:00,long,,-168.0,,1.0,0.5,,False,sizing_3state_only
2021-01-07,2021-01-07 14:56:00+00:00,long,211.0,,1.0,,,,False,retained_only
2021-01-07 00:00:00,2021-01-07 15:01:00+00:00,long,,490.5,,3.0,1.0,,False,sizing_3state_only
2021-01-08 00:00:00,2021-01-08 15:27:00+00:00,short,,-301.0,,2.0,0.5,,False,sizing_3state_only
2021-01-11 00:00:00,2021-01-11 15:18:00+00:00,long,,-197.0,,1.0,0.5,,False,sizing_3state_only
2021-01-13,2021-01-13 14:52:00+00:00,long,55.0,,1.0,,,,False,retained_only
2021-01-13 00:00:00,2021-01-13 15:36:00+00:00,long,,70.0,,2.0,0.5,,False,sizing_3state_only
2021-01-15 00:00:00,2021-01-15 15:04:00+00:00,short,,1386.0,,6.0,1.0,,False,sizing_3state_only
2021-01-20,2021-01-20 15:07:00+00:00,long,284.0,,1.0,,,,False,retained_only
2021-01-20 00:00:00,2021-01-20 15:08:00+00:00,long,,1292.0,,4.0,1.0,,False,sizing_3state_only
2021-01-21 00:00:00,2021-01-21 15:11:00+00:00,long,,184.0,,2.0,0.5,,False,sizing_3state_only
2021-01-22 00:00:00,2021-01-22 15:39:00+00:00,short,,-650.0,,5.0,1.0,,False,sizing_3state_only
2021-01-25 00:00:00,2021-01-25 15:45:00+00:00,short,,714.0,,3.0,0.5,,False,sizing_3state_only
2021-01-26 00:00:00,2021-01-26 15:49:00+00:00,long,,-100.0,,2.0,0.5,,False,sizing_3state_only
2021-01-28 00:00:00,2021-01-28 15:16:00+00:00,long,,-520.0,,2.0,1.0,,False,sizing_3state_only
2021-01-29 00:00:00,2021-01-29 15:25:00+00:00,long,,-302.5,,1.0,0.5,,False,sizing_3state_only
2021-02-01,2021-02-01 15:43:00+00:00,long,-236.0,236.5,2.0,1.0,0.5,-1.0021186440677967,False,matched_on_entry_time_and_direction
2021-02-02,2021-02-02 14:49:00+00:00,long,41.5,,1.0,,,,False,retained_only
2021-02-02 00:00:00,2021-02-02 15:19:00+00:00,long,,27.0,,3.0,0.75,,False,sizing_3state_only
