session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2023-02-02,-603.0,-595.5,7.5,1.0,1.0,58838.5,64602.0,-5763.5,0.08921550416395778,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-03,0.0,0.0,0.0,0.0,0.0,58838.5,64602.0,-5763.5,0.08921550416395778,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2023-02-06,-715.0,-702.5,12.5,1.0,1.0,58123.5,64602.0,-6478.5,0.10028327296368533,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-07,-700.0,-687.5,12.5,1.0,1.0,57423.5,64602.0,-7178.5,0.11111885080957246,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-08,540.0,547.5,7.5,1.0,0.0,57963.5,64602.0,-6638.5,0.10275997647131668,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-09,1219.5,1227.0,7.5,1.0,0.0,59183.0,64602.0,-5419.0,0.08388285192408904,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-10,-702.0,-692.0,10.0,1.0,1.0,58481.0,64602.0,-6121.0,0.09474938856382155,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-13,460.5,468.0,7.5,1.0,0.0,58941.5,64602.0,-5660.5,0.0876211262809201,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-14,0.0,0.0,0.0,0.0,0.0,58941.5,64602.0,-5660.5,0.0876211262809201,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2023-02-15,-565.5,-558.0,7.5,1.0,1.0,58376.0,64602.0,-6226.0,0.09637472524070462,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-16,-510.0,-505.0,5.0,1.0,1.0,57866.0,64602.0,-6736.0,0.10426921767127953,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-17,-381.0,-376.0,5.0,1.0,1.0,57485.0,64602.0,-7117.0,0.11016686789882667,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-20,0.0,0.0,0.0,0.0,0.0,57485.0,64602.0,-7117.0,0.11016686789882667,False,slippage_x2,stress_execution,False,False,0.0,ensemble_filtered_out,False,{},{}
2023-02-21,844.0,854.0,10.0,1.0,0.0,58329.0,64602.0,-6273.0,0.09710225689607133,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-22,-670.0,-657.5,12.5,1.0,1.0,57659.0,64602.0,-6943.0,0.10747345283427757,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-23,1206.0,1216.0,10.0,1.0,0.0,58865.0,64602.0,-5737.0,0.08880530014550633,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-24,-282.0,-274.5,7.5,1.0,1.0,58583.0,64602.0,-6019.0,0.09317049007770657,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-27,-738.5,-721.0,17.5,1.0,1.0,57844.5,64602.0,-6757.5,0.1046020247051175,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-02-28,-750.0,-737.5,12.5,1.0,1.0,57094.5,64602.0,-7507.5,0.1162115723971394,False,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-03-01,280.0,290.0,10.0,1.0,0.0,57374.5,64602.0,-7227.5,0.11187734125878455,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
2023-03-02,1397.5,1410.0,12.5,1.0,0.0,58772.0,64602.0,-5830.0,0.09024488405931705,True,slippage_x2,stress_execution,True,True,1.0,ensemble_selected,True,{},{}
