trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,exit_time,exit_price,exit_reason,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,position_sizing_mode,stop_distance_points,contracts_raw,initial_stop_price,campaign_variant_name,scope,alpha_variant_name,phase,account_size_usd,risk_per_trade_pct,risk_budget_usd,leverage_used,risk_pct_decimal,max_contracts,skip_trade_if_too_small,capital_after_trade_usd
11,2019-09-24,long,1,2019-09-24 12:30:00-04:00,2974.25,2970.0,2019-09-24 13:30:00-04:00,2969.75,stop_ambiguous_first,21.25,21.25,21.25,14871.25,-4.5,-18.0,-22.5,2.5,-25.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-09-24 11:30:00-04:00,1,fixed_contracts,4.25,1.0,2970.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
12,2019-09-24,short,1,2019-09-24 14:30:00-04:00,2976.25,2976.25,2019-09-24 15:30:00-04:00,2970.415625,mixed_partial_eod_flat,17.5,17.5,17.5,14881.25,5.834374999999909,23.337499999999636,29.171874999999545,2.5,26.671874999999545,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-09-24 13:30:00-04:00,1,fixed_contracts,3.5,1.0,2979.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
13,2019-10-24,long,1,2019-10-24 10:30:00-04:00,3002.25,2999.75,2019-10-24 11:30:00-04:00,2999.5,stop_ambiguous_first,12.5,12.5,12.5,15011.25,-2.75,-11.0,-13.75,2.5,-16.25,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-10-24 09:30:00-04:00,1,fixed_contracts,2.5,1.0,2999.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
14,2019-10-31,long,1,2019-10-31 10:30:00-04:00,3027.75,3025.5,2019-10-31 11:30:00-04:00,3025.25,stop_ambiguous_first,11.25,11.25,11.25,15138.75,-2.5,-10.0,-12.5,2.5,-15.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-10-31 09:30:00-04:00,1,fixed_contracts,2.25,1.0,3025.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
15,2019-11-20,long,1,2019-11-20 13:30:00-05:00,3094.0,3099.2375,2019-11-20 15:30:00-05:00,3102.13125,mixed_partial_eod_flat,16.25,16.25,16.25,15470.0,8.131249999999909,32.524999999999636,40.656249999999545,2.5,38.156249999999545,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-11-20 12:30:00-05:00,2,fixed_contracts,3.25,1.0,3090.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
16,2019-11-21,long,1,2019-11-21 10:30:00-05:00,3096.5,3101.4,2019-11-21 13:30:00-05:00,3100.625,mixed_trailing_stop,5.0,5.0,5.0,15482.5,4.125,16.5,20.625,2.5,18.125,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-11-21 09:30:00-05:00,3,fixed_contracts,1.0,1.0,3095.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
17,2019-12-02,long,1,2019-12-02 10:30:00-05:00,3121.25,3116.5,2019-12-02 11:30:00-05:00,3116.25,stop,23.75,23.75,23.75,15606.25,-5.0,-20.0,-25.0,2.5,-27.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-12-02 09:30:00-05:00,1,fixed_contracts,4.75,1.0,3116.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
18,2019-12-12,short,1,2019-12-12 10:30:00-05:00,3174.5,3156.975,2019-12-12 12:30:00-05:00,3163.875,mixed_trailing_stop,13.75,13.75,13.75,15872.5,10.625,42.5,53.125,2.5,50.625,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-12-12 09:30:00-05:00,2,fixed_contracts,2.75,1.0,3177.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
19,2019-12-30,long,1,2019-12-30 10:30:00-05:00,3221.0,3227.3125,2019-12-30 12:30:00-05:00,3225.5,mixed_trailing_stop,18.75,18.75,18.75,16105.0,4.5,18.0,22.5,2.5,20.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2019-12-30 09:30:00-05:00,2,fixed_contracts,3.75,1.0,3217.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
20,2020-01-03,short,1,2020-01-03 10:30:00-05:00,3237.25,3239.5,2020-01-03 11:30:00-05:00,3239.75,stop,11.25,11.25,11.25,16186.25,-2.5,-10.0,-12.5,2.5,-15.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-01-03 09:30:00-05:00,1,fixed_contracts,2.25,1.0,3239.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
21,2020-01-24,long,1,2020-01-24 10:30:00-05:00,3317.25,3316.75,2020-01-24 11:30:00-05:00,3316.5,stop,2.5,2.5,2.5,16586.25,-0.75,-3.0,-3.75,2.5,-6.25,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-01-24 09:30:00-05:00,1,fixed_contracts,0.5,1.0,3316.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
22,2020-01-24,long,1,2020-01-24 12:30:00-05:00,3298.75,3293.75,2020-01-24 13:30:00-05:00,3293.5,stop,25.0,25.0,25.0,16493.75,-5.25,-21.0,-26.25,2.5,-28.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-01-24 11:30:00-05:00,1,fixed_contracts,5.0,1.0,3293.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
23,2020-01-27,short,1,2020-01-27 10:30:00-05:00,3251.5,3253.5,2020-01-27 11:30:00-05:00,3253.75,stop_ambiguous_first,10.0,10.0,10.0,16257.5,-2.25,-9.0,-11.25,2.5,-13.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-01-27 09:30:00-05:00,1,fixed_contracts,2.0,1.0,3253.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
24,2020-02-20,long,1,2020-02-20 11:30:00-05:00,3362.5,3361.75,2020-02-20 12:30:00-05:00,3361.5,stop_ambiguous_first,3.75,3.75,3.75,16812.5,-1.0,-4.0,-5.0,2.5,-7.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-02-20 10:30:00-05:00,1,fixed_contracts,0.75,1.0,3361.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
25,2020-02-25,long,1,2020-02-25 10:30:00-05:00,3203.75,3201.0,2020-02-25 11:30:00-05:00,3200.75,stop,13.75,13.75,13.75,16018.75,-3.0,-12.0,-15.0,2.5,-17.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-02-25 09:30:00-05:00,1,fixed_contracts,2.75,1.0,3201.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
26,2020-02-27,long,1,2020-02-27 10:30:00-05:00,3025.5,3062.28125,2020-02-27 13:30:00-05:00,3051.625,mixed_trailing_stop,18.75,18.75,18.75,15127.5,26.125,104.5,130.625,2.5,128.125,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-02-27 09:30:00-05:00,3,fixed_contracts,3.75,1.0,3021.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
27,2020-04-07,long,1,2020-04-07 10:30:00-04:00,2695.25,2711.81875,2020-04-07 13:30:00-04:00,2712.5,mixed_trailing_stop,21.25,21.25,21.25,13476.25,17.25,69.0,86.25,2.5,83.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-04-07 09:30:00-04:00,3,fixed_contracts,4.25,1.0,2691.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
28,2020-04-21,long,1,2020-04-21 11:30:00-04:00,2725.75,2722.25,2020-04-21 12:30:00-04:00,2722.0,stop_ambiguous_first,17.5,17.5,17.5,13628.75,-3.75,-15.0,-18.75,2.5,-21.25,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-04-21 10:30:00-04:00,1,fixed_contracts,3.5,1.0,2722.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
29,2020-04-23,long,1,2020-04-23 13:30:00-04:00,2800.75,2786.0,2020-04-23 15:30:00-04:00,2785.75,stop,73.75,73.75,73.75,14003.75,-15.0,-60.0,-75.0,2.5,-77.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-04-23 12:30:00-04:00,2,fixed_contracts,14.75,1.0,2786.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
30,2020-05-13,long,1,2020-05-13 11:30:00-04:00,2837.0,2829.25,2020-05-13 12:30:00-04:00,2829.0,stop,38.75,38.75,38.75,14185.0,-8.0,-32.0,-40.0,2.5,-42.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-05-13 10:30:00-04:00,1,fixed_contracts,7.75,1.0,2829.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
31,2020-05-27,long,1,2020-05-27 10:30:00-04:00,2996.25,2989.5,2020-05-27 11:30:00-04:00,2989.25,stop,33.75,33.75,33.75,14981.25,-7.0,-28.0,-35.0,2.5,-37.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-05-27 09:30:00-04:00,1,fixed_contracts,6.75,1.0,2989.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
32,2020-06-10,long,1,2020-06-10 10:30:00-04:00,3188.0,3192.65,2020-06-10 13:30:00-04:00,3194.125,mixed_trailing_stop,21.25,21.25,21.25,15940.0,6.125,24.5,30.625,2.5,28.125,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-06-10 09:30:00-04:00,3,fixed_contracts,4.25,1.0,3183.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
33,2020-06-24,long,1,2020-06-24 11:30:00-04:00,3049.0,3041.75,2020-06-24 12:30:00-04:00,3041.5,stop,36.25,36.25,36.25,15245.0,-7.5,-30.0,-37.5,2.5,-40.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-06-24 10:30:00-04:00,1,fixed_contracts,7.25,1.0,3041.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
34,2020-06-26,long,1,2020-06-26 10:30:00-04:00,3027.5,3019.5,2020-06-26 11:30:00-04:00,3019.25,stop,40.0,40.0,40.0,15137.5,-8.25,-33.0,-41.25,2.5,-43.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-06-26 09:30:00-04:00,1,fixed_contracts,8.0,1.0,3019.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
35,2020-07-09,long,1,2020-07-09 10:30:00-04:00,3150.5,3144.5,2020-07-09 11:30:00-04:00,3144.25,stop,30.0,30.0,30.0,15752.5,-6.25,-25.0,-31.25,2.5,-33.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-07-09 09:30:00-04:00,1,fixed_contracts,6.0,1.0,3144.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
36,2020-07-13,long,1,2020-07-13 15:30:00-04:00,3170.25,3170.0,2020-07-14 09:30:00-04:00,3169.75,stop,1.25,1.25,1.25,15851.25,-0.5,-2.0,-2.5,2.5,-5.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-07-13 14:30:00-04:00,1,fixed_contracts,0.25,1.0,3170.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
37,2020-07-23,long,1,2020-07-23 14:30:00-04:00,3225.75,3214.25,2020-07-24 09:30:00-04:00,3214.0,stop,57.5,57.5,57.5,16128.75,-11.75,-47.0,-58.75,2.5,-61.25,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-07-23 13:30:00-04:00,2,fixed_contracts,11.5,1.0,3214.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
38,2020-07-31,long,1,2020-07-31 10:30:00-04:00,3226.5,3223.5,2020-07-31 11:30:00-04:00,3223.25,stop_ambiguous_first,15.0,15.0,15.0,16132.5,-3.25,-13.0,-16.25,2.5,-18.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-07-31 09:30:00-04:00,1,fixed_contracts,3.0,1.0,3223.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
39,2020-09-03,long,1,2020-09-03 10:30:00-04:00,3527.25,3519.0,2020-09-03 11:30:00-04:00,3518.75,stop,41.25,41.25,41.25,17636.25,-8.5,-34.0,-42.5,2.5,-45.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-09-03 09:30:00-04:00,1,fixed_contracts,8.25,1.0,3519.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
40,2020-09-04,long,1,2020-09-04 10:30:00-04:00,3391.75,3389.75,2020-09-04 11:30:00-04:00,3389.5,stop,10.0,10.0,10.0,16958.75,-2.25,-9.0,-11.25,2.5,-13.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-09-04 09:30:00-04:00,1,fixed_contracts,2.0,1.0,3389.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
41,2020-09-21,long,1,2020-09-21 10:30:00-04:00,3228.0,3225.75,2020-09-21 11:30:00-04:00,3225.5,stop_ambiguous_first,11.25,11.25,11.25,16140.0,-2.5,-10.0,-12.5,2.5,-15.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-09-21 09:30:00-04:00,1,fixed_contracts,2.25,1.0,3225.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
42,2020-09-30,long,1,2020-09-30 15:30:00-04:00,3342.75,3362.85625,2020-10-01 11:30:00-04:00,3357.25,mixed_trailing_stop,67.5,67.5,67.5,16713.75,14.5,58.0,72.5,2.5,70.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-09-30 14:30:00-04:00,3,fixed_contracts,13.5,1.0,3329.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
43,2020-10-06,long,1,2020-10-06 15:30:00-04:00,3361.25,3384.41875,2020-10-07 12:30:00-04:00,3384.790625,mixed_partial_time_stop,78.75,78.75,78.75,16806.25,23.54062500000009,94.16250000000036,117.70312500000045,2.5,115.20312500000045,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-10-06 14:30:00-04:00,4,fixed_contracts,15.75,1.0,3345.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
44,2020-10-19,long,1,2020-10-19 15:30:00-04:00,3420.25,3433.7625,2020-10-20 10:30:00-04:00,3431.625,mixed_trailing_stop,37.5,37.5,37.5,17101.25,11.375,45.5,56.875,2.5,54.375,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-10-19 14:30:00-04:00,2,fixed_contracts,7.5,1.0,3412.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
45,2020-10-26,long,1,2020-10-26 11:30:00-04:00,3388.25,3381.5,2020-10-26 12:30:00-04:00,3381.25,stop,33.75,33.75,33.75,16941.25,-7.0,-28.0,-35.0,2.5,-37.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-10-26 10:30:00-04:00,1,fixed_contracts,6.75,1.0,3381.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
46,2020-10-28,long,1,2020-10-28 10:30:00-04:00,3287.5,3281.75,2020-10-28 11:30:00-04:00,3281.5,stop_ambiguous_first,28.75,28.75,28.75,16437.5,-6.0,-24.0,-30.0,2.5,-32.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-10-28 09:30:00-04:00,1,fixed_contracts,5.75,1.0,3281.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
47,2020-10-30,long,1,2020-10-30 10:30:00-04:00,3251.75,3248.0,2020-10-30 11:30:00-04:00,3247.75,stop_ambiguous_first,18.75,18.75,18.75,16258.75,-4.0,-16.0,-20.0,2.5,-22.5,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-10-30 09:30:00-04:00,1,fixed_contracts,3.75,1.0,3248.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
48,2020-12-09,long,1,2020-12-09 13:30:00-05:00,3675.0,3672.75,2020-12-09 14:30:00-05:00,3672.5,stop,11.25,11.25,11.25,18375.0,-2.5,-10.0,-12.5,2.5,-15.0,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2020-12-09 12:30:00-05:00,1,fixed_contracts,2.25,1.0,3672.75,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
49,2021-01-04,long,1,2021-01-04 10:30:00-05:00,3730.25,3726.25,2021-01-04 11:30:00-05:00,3726.0,stop,20.0,20.0,20.0,18651.25,-4.25,-17.0,-21.25,2.5,-23.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2021-01-04 09:30:00-05:00,1,fixed_contracts,4.0,1.0,3726.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
50,2021-01-04,long,1,2021-01-04 12:30:00-05:00,3669.25,3675.41875,2021-01-04 14:30:00-05:00,3675.625,mixed_trailing_stop,83.75,83.75,83.75,18346.25,6.375,25.5,31.875,2.5,29.375,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2021-01-04 11:30:00-05:00,2,fixed_contracts,16.75,1.0,3652.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
51,2021-01-06,short,1,2021-01-06 10:30:00-05:00,3742.0,3744.5,2021-01-06 11:30:00-05:00,3744.75,stop,12.5,12.5,12.5,18710.0,-2.75,-11.0,-13.75,2.5,-16.25,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2021-01-06 09:30:00-05:00,1,fixed_contracts,2.5,1.0,3744.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
52,2021-01-25,long,1,2021-01-25 11:30:00-05:00,3809.75,3834.09375,2021-01-25 13:30:00-05:00,3825.125,mixed_trailing_stop,106.25,106.25,106.25,19048.75,15.375,61.5,76.875,2.5,74.375,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2021-01-25 10:30:00-05:00,2,fixed_contracts,21.25,1.0,3788.5,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
53,2021-02-10,long,1,2021-02-10 10:30:00-05:00,3897.25,3890.25,2021-02-10 11:30:00-05:00,3890.0,stop_ambiguous_first,35.0,35.0,35.0,19486.25,-7.25,-29.0,-36.25,2.5,-38.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2021-02-10 09:30:00-05:00,1,fixed_contracts,7.0,1.0,3890.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
54,2021-02-26,long,1,2021-02-26 10:30:00-05:00,3788.0,3836.3375,2021-02-26 12:30:00-05:00,3818.75,mixed_trailing_stop,15.0,15.0,15.0,18940.0,30.75,123.0,153.75,2.5,151.25,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2021-02-26 09:30:00-05:00,2,fixed_contracts,3.0,1.0,3785.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
55,2021-03-05,long,1,2021-03-05 10:30:00-05:00,3763.0,3760.0,2021-03-05 11:30:00-05:00,3759.75,stop_ambiguous_first,15.0,15.0,15.0,18815.0,-3.25,-13.0,-16.25,2.5,-18.75,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2021-03-05 09:30:00-05:00,1,fixed_contracts,3.0,1.0,3760.0,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
56,2021-03-23,long,1,2021-03-23 15:30:00-04:00,3898.25,3917.0375,2021-03-24 11:30:00-04:00,3911.625,mixed_trailing_stop,20.0,20.0,20.0,19491.25,13.375,53.5,66.875,2.5,64.375,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,2021-03-23 14:30:00-04:00,3,fixed_contracts,4.0,1.0,3894.25,fixed_1_contract,full,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,is,,,,,,,,
