session_date,symbol,selected_signal_ts,first_breakout_side,first_upside_touch_ts,first_downside_break_ts,policy_name,strategy_tag,invalidated_for_day,invalidated_at,reclaim_or_low_ts,reclaim_vwap_ts,selected_signal_type,trade_taken,is_reclaim_trade,config_name
2020-08-10,MNQ,,first_breakout_downside,,2020-08-10 10:01:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-08-10 10:01:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-08-11,MNQ,,first_breakout_downside,2020-08-11 11:09:00-04:00,2020-08-11 10:07:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-08-11 10:07:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-08-13,MNQ,2020-08-13 10:31:00-04:00,first_breakout_upside,2020-08-13 10:30:00-04:00,2020-08-13 14:21:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-08-13 14:21:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-08-14,MNQ,,first_breakout_downside,,2020-08-14 10:13:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-08-14 10:13:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-08-18,MNQ,,first_breakout_downside,2020-08-18 12:32:00-04:00,2020-08-18 10:07:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-08-18 10:07:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-08-24,MNQ,,first_breakout_downside,,2020-08-24 10:03:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-08-24 10:03:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-08-27,MNQ,,first_breakout_downside,2020-08-27 11:01:00-04:00,2020-08-27 10:06:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-08-27 10:06:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-08-28,MNQ,2020-08-28 10:02:00-04:00,first_breakout_upside,2020-08-28 10:00:00-04:00,2020-08-28 11:04:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-08-28 11:04:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-09-02,MNQ,,first_breakout_downside,2020-09-02 15:50:00-04:00,2020-09-02 11:28:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-02 11:28:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-09-03,MNQ,,first_breakout_downside,,2020-09-03 10:12:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-03 10:12:00-04:00,,,none,False,False,invalidate_on_opposite_touch__buffer_0
2020-09-10,MNQ,2020-09-10 10:03:00-04:00,first_breakout_upside,2020-09-10 10:03:00-04:00,2020-09-10 10:46:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-10 10:46:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
2020-09-14,MNQ,2020-09-14 10:04:00-04:00,first_breakout_upside,2020-09-14 10:02:00-04:00,2020-09-14 13:32:00-04:00,invalidate_on_opposite_touch__buffer_0,orb_long_only,True,2020-09-14 13:32:00-04:00,,,pre_invalidation_long,True,False,invalidate_on_opposite_touch__buffer_0
