trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,overlay_variant,overlay_family,overlay_exit_reason,overlay_state_pre,day_trade_number,net_pnl_r
25,2020-03-05,long,1,2020-03-05 10:19:00-05:00,8784.0,8701.25,8949.5,2020-03-05 12:39:00-05:00,8721.25,overlay_hard_loss_cap,,,,167.24,167.24,167.24,8784.0,,-62.75,-251.0,-125.5,1.24,-126.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7578330542932312
26,2020-03-06,long,1,2020-03-06 10:26:00-05:00,8479.0,8363.25,8710.5,2020-03-06 12:29:00-05:00,8390.75,overlay_hard_loss_cap,,,,233.24,233.24,233.24,8479.0,,-88.25,-353.0,-176.5,1.24,-177.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7620476762133425
27,2020-03-10,long,1,2020-03-10 10:21:00-04:00,8247.25,8133.5,8474.75,2020-03-10 10:42:00-04:00,8152.0,overlay_hard_loss_cap,,,,229.24,229.24,229.24,8247.25,,-95.25,-381.0,-190.5,1.24,-191.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8364159832489967
28,2020-03-11,short,1,2020-03-11 10:31:00-04:00,8119.75,8217.75,7923.75,2020-03-11 14:26:00-04:00,7963.75,overlay_hard_profit_lock,,,,197.74,197.74,197.74,8119.75,,156.0,624.0,312.0,1.24,310.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.571558612319207
29,2020-03-24,long,1,2020-03-24 10:26:00-04:00,7439.75,7324.5,7670.25,2020-03-24 11:07:00-04:00,7350.75,overlay_hard_loss_cap,,,,232.24,232.24,232.24,7439.75,,-89.0,-356.0,-178.0,1.24,-179.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7717878057182226
30,2020-03-27,long,1,2020-03-27 13:40:00-04:00,7703.5,7577.5,7955.5,2020-03-27 15:50:00-04:00,7581.5,overlay_hard_loss_cap,,,,253.74,253.74,253.74,7703.5,,-122.0,-488.0,-244.0,1.24,-245.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.9665011429021834
31,2020-03-30,long,1,2020-03-30 10:04:00-04:00,7717.75,7629.5,7894.25,2020-03-30 14:52:00-04:00,7853.25,overlay_hard_profit_lock,,,,178.24,178.24,178.24,7717.75,,135.5,542.0,271.0,1.24,269.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.513464991023339
32,2020-03-31,long,1,2020-03-31 10:07:00-04:00,7876.25,7796.25,8036.25,2020-03-31 13:21:00-04:00,7815.75,overlay_hard_loss_cap,,,,161.74,161.74,161.74,7876.25,,-60.5,-242.0,-121.0,1.24,-122.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.755780882898479
33,2020-04-01,long,1,2020-04-01 10:33:00-04:00,7634.0,7558.75,7784.5,2020-04-01 12:04:00-04:00,7572.0,overlay_hard_loss_cap,,,,152.24,152.24,152.24,7634.0,,-62.0,-248.0,-124.0,1.24,-125.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8226484498160798
34,2020-04-02,long,1,2020-04-02 10:13:00-04:00,7523.0,7408.25,7752.5,2020-04-02 16:00:00-04:00,7612.25,time_exit,,,,231.24,231.24,231.24,7523.0,,89.25,357.0,178.5,1.24,177.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.7665628783947414
35,2020-04-03,short,1,2020-04-03 10:23:00-04:00,7563.25,7661.0,7367.75,2020-04-03 16:00:00-04:00,7515.0,time_exit,,,,197.24,197.24,197.24,7563.25,,48.25,193.0,96.5,1.24,95.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.4829649158385723
36,2020-04-06,long,1,2020-04-06 10:03:00-04:00,7859.75,7749.75,8079.75,2020-04-06 15:50:00-04:00,8047.0,overlay_hard_profit_lock,,,,221.74,221.74,221.74,7859.75,,187.25,749.0,374.5,1.24,373.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.6833228104987823
37,2020-04-07,short,1,2020-04-07 10:15:00-04:00,8153.5,8299.25,7862.0,2020-04-07 16:00:00-04:00,8040.75,time_exit,,,,293.24,293.24,293.24,8153.5,,112.75,451.0,225.5,1.24,224.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.7647660619287955
38,2020-04-08,short,1,2020-04-08 10:08:00-04:00,8052.75,8155.25,7847.75,2020-04-08 10:58:00-04:00,8135.0,overlay_hard_loss_cap,,,,206.74,206.74,206.74,8052.75,,-82.25,-329.0,-164.5,1.24,-165.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8016832736770824
39,2020-04-09,short,1,2020-04-09 10:16:00-04:00,8210.0,8327.5,7975.0,2020-04-09 16:00:00-04:00,8217.75,time_exit,,,,236.74,236.74,236.74,8210.0,,-7.75,-31.0,-15.5,1.24,-16.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-0.07071048407535692
40,2020-04-13,short,1,2020-04-13 11:03:00-04:00,8160.5,8244.5,7992.5,2020-04-13 12:03:00-04:00,8230.5,overlay_hard_loss_cap,,,,169.74,169.74,169.74,8160.5,,-70.0,-280.0,-140.0,1.24,-141.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.832096147048427
41,2020-04-14,long,1,2020-04-14 10:17:00-04:00,8601.75,8456.5,8892.25,2020-04-14 16:00:00-04:00,8673.75,time_exit,,,,292.24,292.24,292.24,8601.75,,72.0,288.0,144.0,1.24,142.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.4885026006022447
42,2020-04-16,short,1,2020-04-16 10:04:00-04:00,8618.25,8698.0,8458.75,2020-04-16 10:41:00-04:00,8679.5,overlay_hard_loss_cap,,,,161.24,161.24,161.24,8618.25,,-61.25,-245.0,-122.5,1.24,-123.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7674274373604564
43,2020-04-17,short,1,2020-04-17 10:46:00-04:00,8755.5,8872.0,8522.5,2020-04-17 16:00:00-04:00,8804.5,time_exit,,,,234.74,234.74,234.74,8755.5,,-49.0,-196.0,-98.0,1.24,-99.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-0.4227656130186589
44,2020-04-20,long,1,2020-04-20 10:26:00-04:00,8791.0,8729.0,8915.0,2020-04-20 14:57:00-04:00,8744.0,overlay_hard_loss_cap,,,,125.74,125.74,125.74,8791.0,,-47.0,-188.0,-94.0,1.24,-95.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7574359790042946
45,2020-04-21,short,1,2020-04-21 10:20:00-04:00,8522.0,8652.25,8261.5,2020-04-21 16:00:00-04:00,8433.5,time_exit,,,,262.24,262.24,262.24,8522.0,,88.5,354.0,177.0,1.24,175.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.6702257474069554
46,2020-04-22,long,1,2020-04-22 10:41:00-04:00,8598.75,8533.75,8728.75,2020-04-22 16:00:00-04:00,8641.25,time_exit,,,,131.74,131.74,131.74,8598.75,,42.5,170.0,85.0,1.24,83.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.6357977835129801
47,2020-04-23,long,1,2020-04-23 10:20:00-04:00,8747.0,8661.25,8918.5,2020-04-23 12:45:00-04:00,8661.0,stop,,,,173.24,173.24,173.24,8747.0,,-86.0,-344.0,-172.0,1.24,-173.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-1.0
48,2020-04-27,long,1,2020-04-27 10:04:00-04:00,8869.0,8819.0,8969.0,2020-04-27 10:45:00-04:00,8829.25,overlay_hard_loss_cap,,,,101.74,101.74,101.74,8869.0,,-39.75,-159.0,-79.5,1.24,-80.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7935915077648908
49,2020-04-28,short,1,2020-04-28 10:01:00-04:00,8817.75,8905.75,8641.75,2020-04-28 12:18:00-04:00,8675.0,overlay_hard_profit_lock,,,,177.74,177.74,177.74,8817.75,,142.75,571.0,285.5,1.24,284.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.5993023517497467
50,2020-04-29,long,1,2020-04-29 10:17:00-04:00,8906.0,8815.5,9087.0,2020-04-29 16:00:00-04:00,8967.5,time_exit,,,,182.74,182.74,182.74,8906.0,,61.5,246.0,123.0,1.24,121.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.6663018496224143
51,2020-04-30,short,1,2020-04-30 12:01:00-04:00,8936.0,9018.0,8772.0,2020-04-30 16:00:00-04:00,8964.5,time_exit,,,,165.74,165.74,165.74,8936.0,,-28.5,-114.0,-57.0,1.24,-58.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-0.3513937492458067
52,2020-05-01,long,1,2020-05-01 10:01:00-04:00,8845.75,8779.5,8978.25,2020-05-01 11:19:00-04:00,8789.5,overlay_hard_loss_cap,,,,134.24,134.24,134.24,8845.75,,-56.25,-225.0,-112.5,1.24,-113.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8472884386174016
53,2020-05-04,long,1,2020-05-04 10:02:00-04:00,8726.0,8650.0,8878.0,2020-05-04 16:00:00-04:00,8813.25,time_exit,,,,153.74,153.74,153.74,8726.0,,87.25,349.0,174.5,1.24,173.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,1.1269676076492778
54,2020-05-06,short,1,2020-05-06 10:05:00-04:00,8965.0,9030.0,8835.0,2020-05-06 10:43:00-04:00,9017.0,overlay_hard_loss_cap,,,,131.74,131.74,131.74,8965.0,,-52.0,-208.0,-104.0,1.24,-105.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7988462122362228
55,2020-05-07,short,1,2020-05-07 10:13:00-04:00,9043.0,9108.0,8913.0,2020-05-07 11:44:00-04:00,9097.75,overlay_hard_loss_cap,,,,131.74,131.74,131.74,9043.0,,-54.75,-219.0,-109.5,1.24,-110.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8405951115834218
56,2020-05-13,long,1,2020-05-13 10:03:00-04:00,9148.0,9042.0,9360.0,2020-05-13 11:26:00-04:00,9062.25,overlay_hard_loss_cap,,,,213.74,213.74,213.74,9148.0,,-85.75,-343.0,-171.5,1.24,-172.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8081781603817723
57,2020-05-14,short,1,2020-05-14 10:30:00-04:00,8852.25,8976.75,8603.25,2020-05-14 11:07:00-04:00,8948.25,overlay_hard_loss_cap,,,,250.74,250.74,250.74,8852.25,,-96.0,-384.0,-192.0,1.24,-193.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7706787907792934
58,2020-05-15,long,1,2020-05-15 10:11:00-04:00,9035.75,8943.0,9221.25,2020-05-15 11:00:00-04:00,8957.75,overlay_hard_loss_cap,,,,187.24,187.24,187.24,9035.75,,-78.0,-312.0,-156.0,1.24,-157.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8397778252510147
59,2020-05-18,long,1,2020-05-18 10:27:00-04:00,9298.75,9236.0,9424.25,2020-05-18 16:00:00-04:00,9326.25,time_exit,,,,127.24,127.24,127.24,9298.75,,27.5,110.0,55.0,1.24,53.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.42250864508016345
60,2020-05-19,long,1,2020-05-19 10:02:00-04:00,9384.5,9313.0,9527.5,2020-05-19 15:50:00-04:00,9323.75,overlay_hard_loss_cap,,,,144.74,144.74,144.74,9384.5,,-60.75,-243.0,-121.5,1.24,-122.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8480033162912808
61,2020-05-21,short,1,2020-05-21 10:05:00-04:00,9439.75,9511.0,9297.25,2020-05-21 16:00:00-04:00,9377.5,time_exit,,,,144.24,144.24,144.24,9439.75,,62.25,249.0,124.5,1.24,123.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.8545479755962285
62,2020-05-27,short,1,2020-05-27 10:02:00-04:00,9270.25,9385.75,9039.25,2020-05-27 14:00:00-04:00,9359.5,overlay_hard_loss_cap,,,,232.74,232.74,232.74,9270.25,,-89.25,-357.0,-178.5,1.24,-179.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7722780785425797
63,2020-05-28,long,1,2020-05-28 10:09:00-04:00,9464.5,9381.75,9630.0,2020-05-28 15:50:00-04:00,9393.25,overlay_hard_loss_cap,,,,167.24,167.24,167.24,9464.5,,-71.25,-285.0,-142.5,1.24,-143.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8594833771824922
64,2020-05-29,short,1,2020-05-29 10:09:00-04:00,9410.75,9483.25,9265.75,2020-05-29 14:08:00-04:00,9466.0,overlay_hard_loss_cap,,,,146.74,146.74,146.74,9410.75,,-55.25,-221.0,-110.5,1.24,-111.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7614828949161782
65,2020-06-01,long,1,2020-06-01 10:06:00-04:00,9572.25,9505.0,9706.75,2020-06-01 16:00:00-04:00,9583.75,time_exit,,,,136.24,136.24,136.24,9572.25,,11.5,46.0,23.0,1.24,21.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.15971814445096888
66,2020-06-03,long,1,2020-06-03 10:01:00-04:00,9702.25,9650.25,9806.25,2020-06-03 12:08:00-04:00,9659.0,overlay_hard_loss_cap,,,,105.74,105.74,105.74,9702.25,,-43.25,-173.0,-86.5,1.24,-87.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8297711367505202
67,2020-06-08,short,1,2020-06-08 10:02:00-04:00,9767.0,9829.5,9642.0,2020-06-08 11:16:00-04:00,9815.75,overlay_hard_loss_cap,,,,126.74,126.74,126.74,9767.0,,-48.75,-195.0,-97.5,1.24,-98.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7790752722108253
68,2020-06-09,long,1,2020-06-09 10:23:00-04:00,9912.25,9851.25,10034.25,2020-06-09 16:00:00-04:00,9962.75,time_exit,,,,123.74,123.74,123.74,9912.25,,50.5,202.0,101.0,1.24,99.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.8062065621464362
69,2020-06-10,long,1,2020-06-10 10:01:00-04:00,10069.75,10022.5,10164.25,2020-06-10 10:22:00-04:00,10032.0,overlay_hard_loss_cap,,,,96.24,96.24,96.24,10069.75,,-37.75,-151.0,-75.5,1.24,-76.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7973815461346633
70,2020-06-11,long,1,2020-06-11 10:34:00-04:00,9972.5,9876.0,10165.5,2020-06-11 10:59:00-04:00,9895.5,overlay_hard_loss_cap,,,,194.74,194.74,194.74,9972.5,,-77.0,-308.0,-154.0,1.24,-155.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7971654513710589
71,2020-06-12,short,1,2020-06-12 10:38:00-04:00,9737.0,9849.5,9512.0,2020-06-12 13:38:00-04:00,9563.0,overlay_hard_profit_lock,,,,226.74,226.74,226.74,9737.0,,174.0,696.0,348.0,1.24,346.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.529328746581988
72,2020-06-15,long,1,2020-06-15 10:04:00-04:00,9602.75,9483.25,9841.75,2020-06-15 14:07:00-04:00,9786.5,overlay_hard_profit_lock,,,,240.74,240.74,240.74,9602.75,,183.75,735.0,367.5,1.24,366.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.5213923735149952
73,2020-06-16,short,1,2020-06-16 10:46:00-04:00,9928.0,10009.0,9766.0,2020-06-16 16:00:00-04:00,9954.25,time_exit,,,,163.74,163.74,163.74,9928.0,,-26.25,-105.0,-52.5,1.24,-53.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,-0.3282032490533773
74,2020-06-17,short,1,2020-06-17 10:19:00-04:00,9967.25,10029.25,9843.25,2020-06-17 10:55:00-04:00,10015.75,overlay_hard_loss_cap,,,,125.74,125.74,125.74,9967.25,,-48.5,-194.0,-97.0,1.24,-98.24,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.7812947351678066
75,2020-06-18,long,1,2020-06-18 10:10:00-04:00,10002.25,9953.5,10099.75,2020-06-18 10:23:00-04:00,9962.5,overlay_hard_loss_cap,,,,99.24,99.24,99.24,10002.25,,-39.75,-159.0,-79.5,1.24,-80.74,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_loss_cap,neutral,1,-0.8135832325675131
76,2020-06-22,long,1,2020-06-22 10:01:00-04:00,10023.0,9974.75,10119.5,2020-06-22 12:46:00-04:00,10099.5,overlay_hard_profit_lock,,,,98.24,98.24,98.24,10023.0,,76.5,306.0,153.0,1.24,151.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.544788273615635
77,2020-06-24,short,1,2020-06-24 10:02:00-04:00,10086.25,10221.75,9815.25,2020-06-24 16:00:00-04:00,10009.25,time_exit,,,,272.74,272.74,272.74,10086.25,,77.0,308.0,154.0,1.24,152.76,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.5600938622864265
78,2020-06-26,short,1,2020-06-26 10:03:00-04:00,9988.25,10083.0,9798.75,2020-06-26 15:38:00-04:00,9843.0,overlay_hard_profit_lock,,,,191.24,191.24,191.24,9988.25,,145.25,581.0,290.5,1.24,289.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,overlay_hard_profit_lock,neutral,1,1.5125496758000416
79,2020-06-29,long,1,2020-06-29 10:31:00-04:00,9851.75,9728.5,10098.25,2020-06-29 16:00:00-04:00,9959.0,time_exit,,,,248.24,248.24,248.24,9851.75,,107.25,429.0,214.5,1.24,213.26,combo_loss_0p75__profit_1p5,block_1_hard_cap,,neutral,1,0.8590879793747985
