campaign_variant_name,scope,sizing_mode,risk_pct,max_contracts,skip_trade_if_too_small,fixed_contracts,initial_capital_usd,worst_trade_loss_usd,worst_day_pnl_usd,max_daily_drawdown_usd,days_below_minus_500_usd,days_below_minus_1000_usd,trades_loss_gt_250_usd,trades_loss_gt_500_usd,pass_target_3000_usd_without_breaching_2000_dd,days_to_target_3000_usd,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd
risk_pct_0p0050__max_contracts_10__skip_trade_if_too_small_true,full,risk_percent,0.005,10.0,True,,50000.0,630.0,-763.0,3848.399999999994,20,0,114,19,True,282.0,3848.399999999994,350.0
risk_pct_0p0050__max_contracts_10__skip_trade_if_too_small_true,oos,risk_percent,0.005,10.0,True,,50000.0,342.0,-473.0,2023.5,0,0,29,0,True,141.0,2023.5,1923.6250000000364
risk_pct_0p0050__max_contracts_10__skip_trade_if_too_small_false,full,risk_percent,0.005,10.0,False,,50000.0,630.0,-763.0,3848.399999999994,20,0,114,19,True,282.0,3848.399999999994,350.0
risk_pct_0p0050__max_contracts_10__skip_trade_if_too_small_false,oos,risk_percent,0.005,10.0,False,,50000.0,360.0,-473.0,2023.5,0,0,29,0,True,141.0,2023.5,1923.6250000000364
risk_pct_0p0050__max_contracts_15__skip_trade_if_too_small_true,full,risk_percent,0.005,15.0,True,,50000.0,799.5,-1030.0,5533.0,60,1,146,59,True,236.0,5533.0,525.0
risk_pct_0p0050__max_contracts_15__skip_trade_if_too_small_true,oos,risk_percent,0.005,15.0,True,,50000.0,384.0,-503.5,2191.5,1,0,39,0,True,128.0,2191.5,1903.875000000051
risk_pct_0p0050__max_contracts_15__skip_trade_if_too_small_false,full,risk_percent,0.005,15.0,False,,50000.0,799.5,-1030.0,5533.0,60,1,146,59,True,236.0,5533.0,525.0
risk_pct_0p0050__max_contracts_15__skip_trade_if_too_small_false,oos,risk_percent,0.005,15.0,False,,50000.0,384.0,-503.5,2191.5,1,0,39,0,True,128.0,2191.5,1903.875000000051
risk_pct_0p0075__max_contracts_3__skip_trade_if_too_small_true,full,risk_percent,0.0075,3.0,True,,50000.0,534.0,-534.0,2054.0,1,0,33,1,True,463.0,2054.0,693.3250000000044
risk_pct_0p0075__max_contracts_3__skip_trade_if_too_small_true,oos,risk_percent,0.0075,3.0,True,,50000.0,432.0,-435.0,1789.0,0,0,15,0,True,191.0,1789.0,929.5500000000175
