comparison_type,comparison_name,scope,variant_name,reference_variant_name,trade_coverage_vs_reference,day_coverage_vs_reference,net_pnl_ratio_vs_reference,net_pnl_delta,sharpe_delta,sortino_delta,profit_factor_delta,expectancy_delta,max_drawdown_improvement_vs_reference,hit_rate_delta,avg_win_delta,avg_loss_delta,stop_hit_rate_delta,combined_net_pnl_delta,additive_net_pnl_delta,interaction_excess_net_pnl_delta,combined_sharpe_delta,additive_sharpe_delta,interaction_excess_sharpe_delta,combined_profit_factor_delta,additive_profit_factor_delta,interaction_excess_profit_factor_delta,combined_expectancy_delta,additive_expectancy_delta,interaction_excess_expectancy_delta,combined_max_drawdown_improvement,additive_max_drawdown_improvement,interaction_excess_max_drawdown_improvement
interaction,interaction_excess_vs_additive,overall,baseline_3state_vvix_modulator,baseline_nominal,,,,,,,,,,,,,,20801.5,50995.0,-30193.5,0.19687157940798805,0.15600087286590525,0.0408707065420828,0.09143606432817353,0.06377616359699645,0.02765990073117708,31.110693316263465,54.99034143578124,-23.879648119517775,-1.442390876917027,-4.377375802857517,2.93498492594049
pairwise,marginal_3state_vs_baseline_nominal,is,baseline_3state,baseline_nominal,0.9834815756035579,0.9834815756035579,1.9869539601043684,5863.0,-0.09084393969289134,-0.1006409347403543,-0.012727899383701446,7.701715374841169,-1.92455802555575,-0.0010834983205775806,262.3514957734511,-219.997406933788,-0.003946560549497824,,,,,,,,,,,,,,,
pairwise,marginal_vvix_modulator_vs_baseline_nominal,is,baseline_vvix_modulator,baseline_nominal,0.8144853875476493,0.8144853875476493,2.1083242151334063,6584.0,-0.10178489719450051,-0.16717770225888046,-0.006416289197612279,11.99071693490357,-4.591633117451426,-0.002812869821019026,351.2485663050619,-288.3326706853063,-0.010557677707362434,,,,,,,,,,,,,,,
pairwise,vvix_modulator_vs_3state,is,baseline_vvix_modulator,baseline_3state,0.8281653746770026,0.8281653746770026,1.0610835769051552,721.0,-0.010940957501609172,-0.06653676751852616,0.006311610186089167,4.2890015600624025,-0.9119583433085947,-0.0017293715004414456,88.89707053161078,-68.33526375151831,-0.00661111715786461,,,,,,,,,,,,,,,
pairwise,combined_vs_baseline_nominal,is,baseline_3state_vvix_modulator,baseline_nominal,0.7229987293519695,0.7229987293519695,2.4037538927699686,8339.0,0.11651666979704955,0.04566281022969709,0.04725649803057275,17.547497448654877,-2.261508839488885,0.0058373883158442386,241.79578509069123,-193.29795012403707,-0.010127221121787933,,,,,,,,,,,,,,,
pairwise,incremental_vvix_on_top_of_3state,is,baseline_3state_vvix_modulator,baseline_3state,0.7351421188630491,0.7351421188630491,1.2097682890668022,2476.0,0.2073606094899409,0.14630374497005139,0.05998439741427419,9.845782073813709,-0.11521426861383768,0.006920886636421819,-20.555710682759866,26.699456809750927,-0.006180660572290109,,,,,,,,,,,,,,,
pairwise,incremental_3state_on_top_of_vvix_modulator,is,baseline_3state_vvix_modulator,baseline_vvix_modulator,0.8876755070202809,0.8876755070202809,1.1401253543055612,1755.0,0.21830156699155007,0.21284051248857755,0.053672787228185026,5.556780513751306,0.4167162310220692,0.008650258136863265,-109.45278121437065,95.03472056126924,0.0004304565855745013,,,,,,,,,,,,,,,
pairwise,vvix_modulator_vs_hard_filter_nominal,is,baseline_vvix_modulator,reference_vvix_hard_filter_nominal,1.225621414913958,1.225621414913958,2.1394772804919713,6670.5,-0.22304960857107198,-0.15979835361849587,-0.05346830894198629,8.345884925263167,-3.460346271991064,-0.02025694794522187,356.3955343108202,-288.1788985738683,-0.015054751329632576,,,,,,,,,,,,,,,
pairwise,hard_filter_nominal_vs_baseline_nominal,is,reference_vvix_hard_filter_nominal,baseline_nominal,0.6645489199491741,0.6645489199491741,0.9854389361164885,-86.5,0.12126471137657147,-0.0073793486403845865,0.04705201974437401,3.644832009640404,-0.2536320672151234,0.017444078124202844,-5.146968005758339,-0.15377211143800196,0.004497073622270142,,,,,,,,,,,,,,,
pairwise,combined_vs_hard_filter_3state,is,baseline_3state_vvix_modulator,reference_vvix_hard_filter_3state,1.104854368932039,1.104854368932039,0.9521570980862839,-717.5,-0.036678208761433795,0.004769907524636907,-0.012290473140370572,-4.0246062757008545,-0.0090982940698619,-0.011473032231644698,-22.056385643342196,31.282958531050156,-0.010596003890320282,,,,,,,,,,,,,,,
pairwise,hard_filter_3state_vs_baseline_3state,is,reference_vvix_hard_filter_3state,baseline_3state,0.665374677002584,0.665374677002584,1.2705553437539714,3193.5,0.2440388182513747,0.14153383744541448,0.07227487055464477,13.870388349514563,-0.10515920517117548,0.018393918868066517,1.5006749605823302,-4.583501721299228,0.004415343318030174,,,,,,,,,,,,,,,
interaction,interaction_excess_vs_additive,is,baseline_3state_vvix_modulator,baseline_nominal,,,,,,,,,,,,,,8339.0,12447.0,-4108.0,0.11651666979704955,-0.19262883688739185,0.3091455066844414,0.04725649803057275,-0.019144188581313726,0.06640068661188647,17.547497448654877,19.69243230974474,-2.1449348610898618,-2.261508839488885,-6.516191143007176,4.25468230351829
pairwise,marginal_3state_vs_baseline_nominal,oos,baseline_3state,baseline_nominal,0.963963963963964,0.963963963963964,2.881367189495734,18412.0,0.6714118347777722,1.0812169203782065,0.19390348318930872,58.456905503634474,-0.559968541093197,-0.004714995369201058,256.89612403100773,-166.50997938325216,-0.003452050181022126,,,,,,,,,,,,,,,
pairwise,marginal_vvix_modulator_vs_baseline_nominal,oos,baseline_vvix_modulator,baseline_nominal,0.8138138138138138,0.8138138138138138,3.0575282276605527,20136.0,0.39247430639724534,0.36115294634256045,0.16104254024818765,81.02624026240262,-0.523266483156377,0.012964994514810035,383.8466666666667,-306.10244152757525,-0.004521126292344024,,,,,,,,,,,,,,,
pairwise,vvix_modulator_vs_3state,oos,baseline_vvix_modulator,baseline_3state,0.8442367601246106,0.8442367601246106,1.0611380037945282,1724.0,-0.2789375283805269,-0.720063974035646,-0.032860942941121074,22.56933475876815,0.023527434669355515,0.017679989884011094,126.9505426356589,-139.59246214432306,-0.0010690761113218983,,,,,,,,,,,,,,,
pairwise,combined_vs_baseline_nominal,oos,baseline_3state_vvix_modulator,baseline_nominal,0.7207207207207207,0.7207207207207207,2.2734378991467836,12462.5,0.4526249865244254,0.44012913424738054,0.24778507683848017,63.31527777777778,-0.11744658539782409,0.0011261261261260591,248.07564102564103,-156.0305407011289,-0.011824324324324342,,,,,,,,,,,,,,,
pairwise,incremental_vvix_on_top_of_3state,oos,baseline_3state_vvix_modulator,baseline_3state,0.7476635514018691,0.7476635514018691,0.7890136000141852,-5949.5,-0.21878684825334682,-0.641087786130826,0.053881593649171444,4.858372274143306,0.2836736408705151,0.005841121495327117,-8.820483005366725,10.47943868212326,-0.008372274143302216,,,,,,,,,,,,,,,
pairwise,incremental_3state_on_top_of_vvix_modulator,oos,baseline_3state_vvix_modulator,baseline_vvix_modulator,0.8856088560885609,0.8856088560885609,0.7435541816358927,-7673.5,0.060150680127180056,0.07897618790482008,0.08674253659029252,-17.710962484624844,0.26641425006453834,-0.011838868388683976,-135.77102564102563,150.07190082644632,-0.007303198031980318,,,,,,,,,,,,,,,
pairwise,vvix_modulator_vs_hard_filter_nominal,oos,baseline_vvix_modulator,reference_vvix_hard_filter_nominal,1.173160173160173,1.173160173160173,3.1001346871114794,20270.5,0.18147675998496338,0.40613764162561816,0.025846100704974395,68.63157936774172,-1.7292155941756693,0.01670899825881378,356.6818817204301,-304.64590252568166,0.008114886343668637,,,,,,,,,,,,,,,
pairwise,hard_filter_nominal_vs_baseline_nominal,oos,reference_vvix_hard_filter_nominal,baseline_nominal,0.6936936936936937,0.6936936936936937,0.9862565779389976,-134.5,0.21099754641228197,-0.04498469528305771,0.13519643954321325,12.394660894660891,0.441866561803644,-0.0037440037440037433,27.16478494623655,-1.4565390018935886,-0.012636012636012661,,,,,,,,,,,,,,,
pairwise,combined_vs_hard_filter_3state,oos,baseline_3state_vvix_modulator,reference_vvix_hard_filter_3state,1.085972850678733,1.085972850678733,1.0739748509642073,1532.5,0.15988254652215916,0.24742088333396506,0.03077080270155097,-1.0356523378582239,0.0,0.01225490196078427,-32.7452991452991,13.592919580419618,0.00782428355957765,,,,,,,,,,,,,,,
pairwise,hard_filter_3state_vs_baseline_3state,oos,reference_vvix_hard_filter_3state,baseline_3state,0.6884735202492211,0.6884735202492211,0.7346667375924252,-7482.0,-0.378669394775506,-0.888508669464791,0.023110790947620474,5.89402461200153,0.2836736408705151,-0.006413780465457153,23.924816139932375,-3.113480898296359,-0.016196557702879866,,,,,,,,,,,,,,,
interaction,interaction_excess_vs_additive,oos,baseline_3state_vvix_modulator,baseline_nominal,,,,,,,,,,,,,,12462.5,38548.0,-26085.5,0.4526249865244254,1.0638861411750176,-0.6112611546505922,0.24778507683848017,0.35494602343749637,-0.1071609465990162,63.31527777777778,139.4831457660371,-76.16786798825932,-0.11744658539782409,-1.083235024249574,0.96578843885175
