session_date,daily_pnl,equity,drawdown
2022-06-21,-6.5,1687.5,-50.0
2022-06-22,-58.5,1629.0,-108.5
2022-06-24,-30.5,1598.5,-139.0
2022-06-27,-107.5,1491.0,-246.5
2022-07-21,254.5,1745.5,0.0
2022-07-28,90.5,1836.0,0.0
2022-07-29,-46.0,1790.0,-46.0
2022-08-09,-87.5,1702.5,-133.5
2022-08-25,71.5,1774.0,-62.0
2022-09-26,194.0,1968.0,0.0
2022-10-07,-78.0,1890.0,-78.0
2022-10-13,-9.0,1881.0,-87.0
2022-10-14,-191.0,1690.0,-278.0
2022-11-30,-84.0,1606.0,-362.0
2022-12-20,-31.5,1574.5,-393.5
2023-01-03,-120.0,1454.5,-513.5
2023-01-04,72.5,1527.0,-441.0
2023-01-25,193.5,1720.5,-247.5
2023-02-03,-39.5,1681.0,-287.0
2023-03-01,-87.0,1594.0,-374.0
2023-03-10,-184.5,1409.5,-558.5
2023-03-22,434.25,1843.75,-124.25
2023-04-13,-40.0,1803.75,-164.25
2023-04-18,-37.5,1766.25,-201.75
2023-04-25,-36.5,1729.75,-238.25
2023-05-22,15.5,1745.25,-222.75
2023-05-25,75.5,1820.75,-147.25
2023-05-30,-117.0,1703.75,-264.25
2023-06-22,-120.5,1583.25,-384.75
2023-06-29,24.5,1607.75,-360.25
2023-07-21,-32.5,1575.25,-392.75
2023-08-10,212.0,1787.25,-180.75
2023-08-15,24.5,1811.75,-156.25
2023-09-18,-81.5,1730.25,-237.75
2023-10-19,-47.5,1682.75,-285.25
2023-10-26,-159.5,1523.25,-444.75
2023-11-30,-16.0,1507.25,-460.75
2023-12-01,276.5,1783.75,-184.25
2023-12-06,-129.5,1654.25,-313.75
2023-12-29,83.0,1737.25,-230.75
2024-01-02,-7.0,1730.25,-237.75
2024-01-16,-74.5,1655.75,-312.25
2024-02-06,-84.0,1571.75,-396.25
2024-02-13,-7.5,1564.25,-403.75
2024-02-16,46.5,1610.75,-357.25
2024-02-20,-182.0,1428.75,-539.25
2024-03-01,-8.0,1420.75,-547.25
2024-03-06,72.5,1493.25,-474.75
2024-03-27,33.5,1526.75,-441.25
2024-04-19,-75.0,1451.75,-516.25
2024-04-25,-157.5,1294.25,-673.75
2024-05-14,58.5,1352.75,-615.25
2024-05-29,-6.0,1346.75,-621.25
2024-06-27,-58.0,1288.75,-679.25
2024-06-28,207.5,1496.25,-471.75
2024-07-16,-97.5,1398.75,-569.25
2024-07-17,-38.5,1360.25,-607.75
2024-08-23,11.5,1371.75,-596.25
2024-09-24,171.5,1543.25,-424.75
2024-09-25,123.0,1666.25,-301.75
2024-09-26,-42.5,1623.75,-344.25
2024-10-01,-55.5,1568.25,-399.75
2024-10-04,27.0,1595.25,-372.75
2024-10-15,-7.5,1587.75,-380.25
2024-10-17,114.0,1701.75,-266.25
2024-11-06,-186.0,1515.75,-452.25
2024-11-20,-42.0,1473.75,-494.25
2024-11-21,176.0,1649.75,-318.25
2024-12-11,-87.0,1562.75,-405.25
2024-12-27,-179.5,1383.25,-584.75
2024-12-30,331.5,1714.75,-253.25
2025-01-07,-55.5,1659.25,-308.75
2025-01-10,90.0,1749.25,-218.75
2025-01-17,58.5,1807.75,-160.25
2025-01-27,284.0,2091.75,0.0
2025-01-28,-39.0,2052.75,-39.0
2025-02-24,211.5,2264.25,0.0
2025-02-25,-122.5,2141.75,-122.5
2025-02-28,-28.0,2113.75,-150.5
2025-03-04,236.0,2349.75,0.0
2025-03-26,-160.5,2189.25,-160.5
2025-04-02,-20.5,2168.75,-181.0
2025-05-12,209.0,2377.75,0.0
2025-05-23,-133.0,2244.75,-133.0
2025-05-29,-280.5,1964.25,-413.5
2025-07-09,-37.0,1927.25,-450.5
2025-07-10,76.0,2003.25,-374.5
2025-07-22,-55.5,1947.75,-430.0
2025-08-20,-22.0,1925.75,-452.0
2025-08-22,-37.0,1888.75,-489.0
2025-08-29,-47.5,1841.25,-536.5
2025-09-24,33.5,1874.75,-503.0
2025-10-02,-33.0,1841.75,-536.0
2025-10-17,-390.0,1451.75,-926.0
2025-11-04,280.5,1732.25,-645.5
2025-11-05,-22.0,1710.25,-667.5
2025-11-20,-131.5,1578.75,-799.0
2025-12-04,-100.0,1478.75,-899.0
2026-01-09,-79.5,1399.25,-978.5
2026-01-22,165.5,1564.75,-813.0
2026-02-03,-269.5,1295.25,-1082.5
2026-02-24,-62.5,1232.75,-1145.0
2026-02-26,-179.5,1053.25,-1324.5
2026-03-03,500.5,1553.75,-824.0
