session_date,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2019-07-01,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-02,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-03,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-04,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-05,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-08,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-09,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-10,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-11,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-12,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-15,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-16,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-17,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
2019-07-18,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}","{""equity"": 49795.0, ""last_daily_pnl"": 0.0, ""peak_equity"": 50345.0, ""traded"": false}"
