session_date,daily_pnl_usd,daily_gross_pnl_usd,daily_fees_usd,daily_trade_count,daily_loss_count,equity,peak_equity,drawdown_usd,drawdown_pct,green_day,variant_name,family,selected_by_ensemble,policy_allows_trading,risk_multiplier,policy_reason,trade_executed,state_pre_json,state_post_json
2022-10-05,-338.0,-333.0,5.0,1.0,1.0,51576.5,55936.5,-4360.0,0.07794552751781038,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51914.5, ""last_daily_pnl"": 3.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51576.5, ""last_daily_pnl"": -338.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-06,60.0,62.5,2.5,1.0,0.0,51636.5,55936.5,-4300.0,0.07687288264371207,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51576.5, ""last_daily_pnl"": -338.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51636.5, ""last_daily_pnl"": 60.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-07,224.5,227.0,2.5,1.0,0.0,51861.0,55936.5,-4075.5,0.07285940307312756,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51636.5, ""last_daily_pnl"": 60.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51861.0, ""last_daily_pnl"": 224.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-10,26.0,28.5,2.5,1.0,0.0,51887.0,55936.5,-4049.5,0.07239459029435164,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51861.0, ""last_daily_pnl"": 224.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51887.0, ""last_daily_pnl"": 26.0, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-11,-263.5,-261.0,2.5,1.0,1.0,51623.5,55936.5,-4313.0,0.07710528903310003,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51887.0, ""last_daily_pnl"": 26.0, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51623.5, ""last_daily_pnl"": -263.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-12,0.0,0.0,0.0,0.0,0.0,51623.5,55936.5,-4313.0,0.07710528903310003,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51623.5, ""last_daily_pnl"": -263.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51623.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-10-13,0.0,0.0,0.0,0.0,0.0,51623.5,55936.5,-4313.0,0.07710528903310003,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,False,"{""equity"": 51623.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 51623.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-10-14,0.0,0.0,0.0,0.0,0.0,51623.5,55936.5,-4313.0,0.07710528903310003,False,deleveraging_drawdown_3pct_5pct,deleveraging,False,False,0.0,ensemble_filtered_out,False,"{""equity"": 51623.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 51623.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}"
2022-10-17,-24.5,-22.0,2.5,1.0,1.0,51599.0,55936.5,-4337.5,0.07754328569002351,False,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51623.5, ""last_daily_pnl"": 0.0, ""peak_equity"": 55936.5, ""traded"": false}","{""equity"": 51599.0, ""last_daily_pnl"": -24.5, ""peak_equity"": 55936.5, ""traded"": true}"
2022-10-18,147.5,150.0,2.5,1.0,0.0,51746.5,55936.5,-4190.0,0.0749063670411985,True,deleveraging_drawdown_3pct_5pct,deleveraging,True,True,0.5,drawdown_gt_5pct,True,"{""equity"": 51599.0, ""last_daily_pnl"": -24.5, ""peak_equity"": 55936.5, ""traded"": true}","{""equity"": 51746.5, ""last_daily_pnl"": 147.5, ""peak_equity"": 55936.5, ""traded"": true}"
