q_low_pct,q_high_pct,atr_count,median_overall_composite_score,mean_overall_composite_score,median_overall_sharpe,mean_overall_sharpe,median_overall_profit_factor,mean_overall_profit_factor,median_overall_net_pnl,mean_overall_net_pnl,median_overall_max_drawdown_abs,mean_overall_max_drawdown_abs,best_atr_by_score,best_overall_composite_score
23,97,7,-3.659664946267444,-3.712913312751687,-0.3247108098352705,-0.33674092445019127,0.9313201843193752,0.9289686085720553,-24353.999999979875,-25230.999999980035,51271.999999983454,51716.07142855569,20,-3.5571584711652835
23,98,7,-3.608822934483242,-3.60969495543511,-0.31541431451498575,-0.30786188776706336,0.9338677077085373,0.9353201434081255,-23868.499999979897,-23231.928571408564,53030.99999998332,52658.42857141262,30,-3.364687169203
23,99,7,-3.469273124580997,-3.481772748250681,-0.2593709273971031,-0.2715442835636141,0.9455355047151458,0.9431583394445698,-19723.49999997986,-20621.428571408494,53269.99999998322,52963.3571428404,30,-3.2374150011743805
23,100,7,-3.491092296560189,-3.494573843632917,-0.2828787820696875,-0.2768237636390302,0.9412914870828802,0.9423780651808372,-21678.499999979544,-21134.214285693808,53498.99999998273,53503.78571426858,30,-3.304574882320258
24,70,7,-5.01398594736641,-5.0367387098497005,-0.8044437833989547,-0.8389701651469854,0.7867754192841181,0.7798628480773048,-44414.99999998725,-46148.714285701186,49655.49999998876,51167.57142855948,60,-4.814067212034283
24,71,7,-4.96585823409995,-4.992986076412552,-0.7646633579626942,-0.8106631956778434,0.7981475438522337,0.7889166983650748,-42681.49999998704,-45169.071428558054,48373.99999998891,50729.571428558906,30,-4.787313167245261
24,72,7,-4.882582652304058,-4.952601348259768,-0.7339628886023628,-0.7753920869189299,0.8075706106826339,0.7996441217859128,-41324.499999986445,-43926.928571414915,48699.999999988795,49496.071428559015,40,-4.809621010679495
24,73,7,-4.748048018264433,-4.816063231005473,-0.6436771152940095,-0.7024984039671255,0.8310581730406092,0.819215029157279,-36848.999999986234,-40277.499999986074,44581.49999998872,47168.14285713083,30,-4.521136301115067
24,74,7,-4.677490912368859,-4.738741356251607,-0.6070910690952082,-0.671706067480622,0.8426235484502533,0.82859329868617,-35398.99999998607,-39053.4999999858,43970.49999998865,47571.57142855972,30,-4.491084232556172
24,75,7,-4.560680114641029,-4.62892729063882,-0.5611348804329422,-0.6165062688822098,0.8548112388686481,0.8430396034204815,-33202.99999998568,-36353.07142855702,43442.499999988504,46526.642857131024,30,-4.256718337212148
