campaign_variant_name,variant_role,scope,sizing_mode,risk_pct,max_contracts,skip_trade_if_too_small,fixed_contracts,initial_capital_usd,worst_trade_loss_usd,worst_day_pnl_usd,max_daily_drawdown_usd,nb_days_below_minus_250,nb_days_below_minus_500,nb_days_below_minus_1000,nb_trades_below_minus_150,nb_trades_below_minus_250,nb_trades_below_minus_500,pass_target_3000_usd_without_breaching_2000_dd,days_to_3000_usd_if_reached,max_trailing_drawdown_observed_usd,max_static_drawdown_observed_usd
risk_pct_0p0030__max_contracts_3__skip_trade_if_too_small_true,grid,oos,risk_percent,0.003,3.0,True,,50000.0,162.0,-206.0,946.5,0,0,0,6,0,0,True,216.0,946.5,826.4750000000131
risk_pct_0p0030__max_contracts_4__skip_trade_if_too_small_true,grid,full,risk_percent,0.003,4.0,True,,50000.0,246.0,-266.5,1808.3499999999913,1,0,0,58,0,0,True,408.0,1808.3499999999913,181.39999999999418
risk_pct_0p0030__max_contracts_4__skip_trade_if_too_small_true,grid,oos,risk_percent,0.003,4.0,True,,50000.0,170.0,-236.5,994.025000000016,0,0,0,9,0,0,True,191.0,994.025000000016,994.025000000016
risk_pct_0p0030__max_contracts_5__skip_trade_if_too_small_true,grid,full,risk_percent,0.003,5.0,True,,50000.0,262.5,-267.0,1836.574999999997,4,0,0,78,2,0,True,361.0,1836.574999999997,175.0
risk_pct_0p0030__max_contracts_5__skip_trade_if_too_small_true,grid,oos,risk_percent,0.003,5.0,True,,50000.0,182.0,-267.0,1056.075000000019,1,0,0,13,0,0,True,191.0,1056.075000000019,1056.075000000019
risk_pct_0p0030__max_contracts_6__skip_trade_if_too_small_true,grid,full,risk_percent,0.003,6.0,True,,50000.0,280.0,-412.0,2236.975000000006,10,0,0,95,9,0,True,340.0,2236.975000000006,210.0
risk_pct_0p0030__max_contracts_6__skip_trade_if_too_small_true,grid,oos,risk_percent,0.003,6.0,True,,50000.0,192.0,-267.0,1087.6250000000218,1,0,0,18,0,0,True,150.0,1087.6250000000218,1087.6250000000218
risk_pct_0p0035__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.0035,2.0,True,,50000.0,216.0,-221.0,1050.0,0,0,0,24,0,0,True,683.0,1050.0,416.0500000000029
risk_pct_0p0035__max_contracts_2__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0035,2.0,True,,50000.0,187.0,-187.0,848.4250000000102,0,0,0,8,0,0,True,258.0,848.4250000000102,818.4250000000102
risk_pct_0p0035__max_contracts_3__skip_trade_if_too_small_true,grid,full,risk_percent,0.0035,3.0,True,,50000.0,255.0,-320.5,1268.5,3,0,0,54,1,0,True,463.0,1268.5,414.45000000000437
risk_pct_0p0035__max_contracts_3__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0035,3.0,True,,50000.0,204.0,-206.0,985.9750000000131,0,0,0,14,0,0,True,216.0,985.9750000000131,985.9750000000131
risk_pct_0p0035__max_contracts_4__skip_trade_if_too_small_true,grid,full,risk_percent,0.0035,4.0,True,,50000.0,280.0,-351.0,1424.5,5,0,0,82,4,0,True,408.0,1424.5,329.82500000000437
risk_pct_0p0035__max_contracts_4__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0035,4.0,True,,50000.0,210.0,-236.5,1157.0,0,0,0,23,0,0,True,191.0,1157.0,1153.525000000016
risk_pct_0p0035__max_contracts_5__skip_trade_if_too_small_true,grid,full,risk_percent,0.0035,5.0,True,,50000.0,307.5,-381.5,1943.5749999999825,15,0,0,99,14,0,True,388.0,1943.5749999999825,180.12499999999272
risk_pct_0p0035__max_contracts_5__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0035,5.0,True,,50000.0,212.5,-267.0,1321.075000000019,1,0,0,31,0,0,True,157.0,1321.075000000019,1321.075000000019
risk_pct_0p0035__max_contracts_6__skip_trade_if_too_small_true,grid,full,risk_percent,0.0035,6.0,True,,50000.0,324.0,-412.0,2423.074999999997,32,0,0,114,31,0,True,361.0,2423.074999999997,210.0
risk_pct_0p0035__max_contracts_6__skip_trade_if_too_small_true,grid,oos,risk_percent,0.0035,6.0,True,,50000.0,215.0,-297.5,1383.1250000000218,1,0,0,35,0,0,True,150.0,1383.1250000000218,1383.1250000000218
risk_pct_0p0040__max_contracts_2__skip_trade_if_too_small_true,grid,full,risk_percent,0.004,2.0,True,,50000.0,255.0,-290.0,1050.0,2,0,0,31,1,0,True,670.0,1050.0,416.0500000000029
risk_pct_0p0040__max_contracts_2__skip_trade_if_too_small_true,grid,oos,risk_percent,0.004,2.0,True,,50000.0,215.0,-215.0,999.0,0,0,0,13,0,0,True,234.0,999.0,818.4250000000102
risk_pct_0p0040__max_contracts_3__skip_trade_if_too_small_true,grid,full,risk_percent,0.004,3.0,True,,50000.0,288.0,-331.5,1476.5,6,0,0,66,4,0,True,483.0,1476.5,541.4500000000044
risk_pct_0p0040__max_contracts_3__skip_trade_if_too_small_true,grid,oos,risk_percent,0.004,3.0,True,,50000.0,216.0,-216.0,1100.5,0,0,0,20,0,0,True,191.0,1100.5,985.9750000000131
risk_pct_0p0040__max_contracts_4__skip_trade_if_too_small_true,grid,full,risk_percent,0.004,4.0,True,,50000.0,324.0,-377.0,1827.5,20,0,0,96,19,0,True,428.0,1827.5,476.3500000000058
risk_pct_0p0040__max_contracts_4__skip_trade_if_too_small_true,grid,oos,risk_percent,0.004,4.0,True,,50000.0,246.0,-246.0,1202.0,0,0,0,28,0,0,True,157.0,1202.0,1153.525000000016
risk_pct_0p0040__max_contracts_5__skip_trade_if_too_small_true,grid,full,risk_percent,0.004,5.0,True,,50000.0,350.0,-381.5,2038.2999999999884,37,0,0,111,35,0,True,363.0,2038.2999999999884,296.6249999999927
risk_pct_0p0040__max_contracts_5__skip_trade_if_too_small_true,grid,oos,risk_percent,0.004,5.0,True,,50000.0,246.0,-267.0,1321.075000000019,1,0,0,34,0,0,True,150.0,1321.075000000019,1321.075000000019
risk_pct_0p0040__max_contracts_6__skip_trade_if_too_small_true,grid,full,risk_percent,0.004,6.0,True,,50000.0,369.0,-412.0,2364.699999999997,51,0,0,125,49,0,True,361.0,2364.699999999997,210.0
risk_pct_0p0040__max_contracts_6__skip_trade_if_too_small_true,grid,oos,risk_percent,0.004,6.0,True,,50000.0,255.0,-297.5,1451.6250000000218,2,0,0,37,1,0,True,149.0,1451.6250000000218,1451.6250000000218
best_previous_winner,best_previous_winner,full,risk_percent,0.0025,3.0,True,,50000.0,184.5,-221.0,1106.050000000003,0,0,0,13,0,0,True,463.0,1106.050000000003,131.17499999999563
best_previous_winner,best_previous_winner,oos,risk_percent,0.0025,3.0,True,,50000.0,144.0,-206.0,644.9500000000116,0,0,0,0,0,0,True,228.0,644.9500000000116,644.9500000000116
