variant_name,session_date,signal_time,signal_index,state_pre,state_post,policy_multiplier,allowed_to_trade,blocked_reason,trade_executed,quantity,trade_number_in_day,exit_reason,overlay_exit_reason,net_pnl_usd,net_pnl_r
giveback_after_1p25r__0p5r,2022-04-04,2022-04-04 10:01:00-04:00,601,neutral,neutral,1.0,True,,True,1,1,time_exit,,219.26,0.636015547949179
giveback_after_1p25r__0p5r,2022-04-05,2022-04-05 10:05:00-04:00,605,neutral,locked_profit,1.0,True,,True,1,1,overlay_peak_giveback_lock,overlay_peak_giveback_lock,218.26,0.9562740974412898
giveback_after_1p25r__0p5r,2022-04-06,2022-04-06 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,stop,,-308.74,-1.0
giveback_after_1p25r__0p5r,2022-04-08,2022-04-08 11:01:00-04:00,661,neutral,neutral,1.0,True,,True,1,1,stop,,-337.74,-1.0
giveback_after_1p25r__0p5r,2022-04-11,2022-04-11 10:26:00-04:00,626,neutral,neutral,1.0,True,,True,1,1,time_exit,,162.26,0.694190125780782
giveback_after_1p25r__0p5r,2022-04-12,2022-04-12 10:10:00-04:00,610,neutral,neutral,1.0,True,,True,1,1,stop,,-313.24,-1.0
giveback_after_1p25r__0p5r,2022-04-13,2022-04-13 10:16:00-04:00,616,neutral,neutral,1.0,True,,True,1,1,time_exit,,260.76,0.8129949491800211
giveback_after_1p25r__0p5r,2022-04-14,2022-04-14 10:05:00-04:00,605,neutral,neutral,1.0,True,,True,1,1,time_exit,,406.76,1.321765126405407
giveback_after_1p25r__0p5r,2022-04-18,2022-04-18 10:12:00-04:00,612,neutral,neutral,1.0,True,,True,1,1,stop,,-231.24,-1.0
giveback_after_1p25r__0p5r,2022-04-20,2022-04-20 10:01:00-04:00,601,neutral,neutral,1.0,True,,True,1,1,time_exit,,76.76,0.18507980903698704
giveback_after_1p25r__0p5r,2022-04-21,2022-04-21 10:07:00-04:00,607,neutral,neutral,1.0,True,,True,1,1,target,,488.26,1.9788441274215773
giveback_after_1p25r__0p5r,2022-04-26,2022-04-26 10:01:00-04:00,601,neutral,neutral,1.0,True,,True,1,1,time_exit,,455.26,1.0508263318253162
giveback_after_1p25r__0p5r,2022-05-04,2022-05-04 10:00:00-04:00,600,neutral,neutral,1.0,True,,True,1,1,stop,,-221.24,-1.0
