config_name,symbol,bucket,trade_count,net_pnl,avg_trade,win_rate
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,MES,trade_without_prior_downside_breakout,767,6460.0,8.422425032594525,0.4406779661016949
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,MGC,reclaim_trade,363,-12289.99999999809,-33.856749311289505,0.349862258953168
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,MGC,trade_without_prior_downside_breakout,471,644.0000000022928,1.367303609346694,0.4416135881104034
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,MNQ,reclaim_trade,433,-3337.5,-7.7078521939953815,0.4387990762124711
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_2,MNQ,trade_without_prior_downside_breakout,682,18677.5,27.386363636363637,0.47653958944281527
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,M2K,reclaim_trade,423,-3042.9999999989623,-7.1938534278935276,0.4326241134751773
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,M2K,trade_without_prior_downside_breakout,782,-5137.49999999801,-6.569693094626611,0.45907928388746805
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,MES,reclaim_trade,584,-13168.75,-22.549229452054796,0.3852739726027397
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,MES,trade_without_prior_downside_breakout,767,6460.0,8.422425032594525,0.4406779661016949
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,MGC,reclaim_trade,359,-11688.999999998125,-32.55988857938196,0.35376044568245124
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,MGC,trade_without_prior_downside_breakout,471,644.0000000022928,1.367303609346694,0.4416135881104034
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,MNQ,reclaim_trade,433,-3358.5,-7.75635103926097,0.4387990762124711
allow_reclaim_after_opposite_breakout_strict__buffer_0__reclaim_3,MNQ,trade_without_prior_downside_breakout,682,18677.5,27.386363636363637,0.47653958944281527
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,M2K,reclaim_trade,416,-2798.499999998974,-6.727163461535995,0.43509615384615385
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,M2K,trade_without_prior_downside_breakout,789,-5364.999999998001,-6.799746514572878,0.45754119138149557
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,MES,reclaim_trade,569,-12365.0,-21.7311072056239,0.3884007029876977
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,MES,trade_without_prior_downside_breakout,782,5120.0,6.547314578005115,0.4360613810741688
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,MGC,reclaim_trade,356,-10230.499999998277,-28.73735955055696,0.36235955056179775
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,MGC,trade_without_prior_downside_breakout,484,-1292.4999999976058,-2.6704545454495987,0.43388429752066116
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,MNQ,reclaim_trade,431,-3137.5,-7.279582366589327,0.4385150812064965
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_1,MNQ,trade_without_prior_downside_breakout,684,18481.5,27.019736842105264,0.4766081871345029
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,M2K,reclaim_trade,416,-2798.499999998974,-6.727163461535995,0.43509615384615385
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,M2K,trade_without_prior_downside_breakout,789,-5364.999999998001,-6.799746514572878,0.45754119138149557
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,MES,reclaim_trade,569,-12345.0,-21.695957820738137,0.3884007029876977
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,MES,trade_without_prior_downside_breakout,782,5120.0,6.547314578005115,0.4360613810741688
allow_reclaim_after_opposite_breakout_strict__buffer_1__reclaim_2,MGC,reclaim_trade,351,-10494.499999998185,-29.898860398855227,0.3561253561253561
