method,weight_variant_name,variant_name,scope,calibration_scope,nominal_orb_weight,nominal_pullback_weight,effective_orb_weight,effective_pullback_weight,orb_scale,pullback_scale,start_date,end_date,n_days,net_profit_usd,return_pct,cagr_pct,sharpe,sortino,profit_factor_daily,max_drawdown_usd,max_drawdown_pct,max_daily_drawdown_usd,calmar,days_traded,orb_pullback_daily_corr,return_over_drawdown,positive_month_rate,stability_score,composite_score
static,orb50_pull50,static__orb50_pull50,is,is,0.5,0.5,0.5,0.5,1.0,1.0,2019-05-06,2024-02-22,1222,15210.281269103602,30.420562538207204,5.68648906981899,1.9966624078882658,2.4996426864934906,1.9395788290660896,776.0398589786928,1.2228319256742615,145.13807112174254,4.650262190924969,404,-0.035972007879149115,19.599871183319234,0.6724137931034483,0.775065300268011,2.4777513677036977
inverse_risk,orb40_pull60,inverse_risk__orb40_pull60,is,is,0.4,0.6,0.5450440171008598,0.45495598289914013,1.0,1.0,2019-05-06,2024-02-22,1222,14187.815197989381,28.375630395978764,5.3392522779308615,1.9673808663984627,2.257486312353034,1.867026290104583,838.1935905468054,1.3382818701585308,155.7245422843189,3.989632077507246,404,-0.035972007879149115,16.92665675089903,0.6724137931034483,0.7692928030437975,2.4183611344147318
risk_scaled,orb40_pull60,risk_scaled__orb40_pull60,is,is,0.4,0.6,0.4,0.6,1.398511126770408,0.7782380680121297,2019-05-06,2024-02-22,1222,14608.68676453401,29.21737352906802,5.482709852452761,1.9673808663984624,2.2574863123530338,1.8668709634432297,865.4874478940183,1.3737359082410694,160.87795754683611,3.9910945179214385,404,-0.035972007879149115,16.87914342383726,0.6724137931034483,0.7675201011396706,2.413971643610036
static,orb60_pull40,static__orb60_pull40,is,is,0.6,0.4,0.6,0.4,1.0,1.0,2019-05-06,2024-02-22,1222,12959.341969965011,25.91868393993002,4.916213770659228,1.9068214510487975,1.9758436894603937,1.781019370472625,944.7554129947821,1.5329139749537868,168.13460680924618,3.2071034976424158,404,-0.035972007879149115,13.717139686858387,0.6724137931034483,0.7595611978040349,2.3231964150857998
baseline,orb00_pull100,baseline__pullback_standalone,is,is,0.0,1.0,0.0,1.0,1.0,1.0,2019-05-06,2024-02-22,1222,27550.549999999974,55.101099999999946,9.570418519063683,1.8704684036252253,2.9012007056299773,2.8621527543088816,2104.8499999999767,2.83980407328428,220.99999999999272,3.3700981730036528,404,-0.035972007879149115,13.08907998194659,0.6896551724137931,0.7028373825426826,2.3178819840462306
inverse_risk,orb50_pull50,inverse_risk__orb50_pull50,is,is,0.5,0.5,0.6424769239021689,0.3575230760978311,1.0,1.0,2019-05-06,2024-02-22,1222,12023.949828096993,24.047899656193987,4.589696295410506,1.8379894598087438,1.765538821406114,1.717059891352368,1024.6138566362642,1.6833610454376924,177.3542789335188,2.7265073692002506,404,-0.035972007879149115,11.735103668781896,0.6724137931034483,0.7520388442798396,2.234731296436629
risk_scaled,orb50_pull50,risk_scaled__orb50_pull50,is,is,0.5,0.5,0.5,0.5,1.398511126770408,0.7782380680121297,2019-05-06,2024-02-22,1222,13207.68953972894,26.415379079457878,5.002258814334404,1.8379894598087434,1.7655388214061136,1.7165305684997738,1134.8362544842748,1.8325254985874784,196.72037614654982,2.7297076183606586,404,-0.035972007879149115,11.638409935829166,0.6724137931034483,0.7445806216223503,2.217160146349859
static,orb67_pull33,static__orb67_pull33,is,is,0.67,0.33,0.67,0.33,1.0,1.0,2019-05-06,2024-02-22,1222,11424.365930302614,22.848731860605227,4.378343224299219,1.7822516332097913,1.635730329251768,1.6768232881692295,1075.2100488770302,1.78084844094073,183.15831947835977,2.45857150088885,404,-0.035972007879149115,10.62524103288882,0.6724137931034483,0.7471644745046877,2.17020373872266
inverse_risk,orb60_pull40,inverse_risk__orb60_pull40,is,is,0.6,0.4,0.729403066597173,0.2705969334028269,1.0,1.0,2019-05-06,2024-02-22,1222,10147.531659877299,20.295063319754597,3.922758855155517,1.6320509511706276,1.3774770779510184,1.592518074734466,1223.8597624927352,2.06138582735369,195.23936838965164,1.9029716820122753,404,-0.035972007879149115,8.291417015956952,0.6379310344827587,0.7158962258736948,1.9906675674140315
risk_scaled,orb60_pull40,risk_scaled__orb60_pull40,is,is,0.6,0.4,0.6,0.4,1.398511126770408,0.7782380680121297,2019-05-06,2024-02-22,1222,11828.09032919041,23.65618065838082,4.520834497029602,1.6320509511706272,1.3774770779510177,1.5916357453640881,1443.391870531923,2.369605388737328,230.89305617678474,1.9078427650937195,404,-0.035972007879149115,8.194649402335548,0.6379310344827587,0.7004852478045129,1.956129386253842
