trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,position_sizing_mode,stop_distance_points,contracts_raw,initial_stop_price,campaign_variant_name,variant_role,scope,alpha_variant_name,phase,account_size_usd,risk_per_trade_pct,risk_budget_usd,leverage_used,risk_pct_decimal,max_contracts,skip_trade_if_too_small,capital_after_trade_usd
39,2016-07-07,long,6,2016-07-07 10:30:00-04:00,1354.1,1353.0,1359.5649999999998,2016-07-07 11:30:00-04:00,1359.465,target,10.99999999999909,65.99999999999454,65.99999999999454,81246.0,5.365000000000009,53.65000000000009,321.90000000000055,15.0,306.90000000000055,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2016-07-07 09:30:00-04:00,1,risk_percent,1.099999999999909,43.4224272727311,1353.0,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,50278.600000000275,0.95,477.6467000000026,1.6159161154049546,0.0095,6.0,True,50585.50000000028
40,2016-09-07,long,6,2016-09-07 10:30:00-04:00,1346.0,1344.3,1349.595,2016-09-07 11:30:00-04:00,1344.2,stop,17.000000000000455,102.00000000000273,102.00000000000273,80760.0,-1.7999999999999545,-17.999999999999545,-107.99999999999727,15.0,-122.99999999999727,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2016-09-07 09:30:00-04:00,1,risk_percent,1.7000000000000455,28.26836764705822,1344.3,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,50585.50000000028,0.95,480.5622500000026,1.596504927301293,0.0095,6.0,True,50462.50000000028
41,2016-11-02,short,6,2016-11-02 10:30:00-04:00,1304.9,1306.1,1300.4550000000002,2016-11-02 11:30:00-04:00,1306.1999999999998,stop,11.999999999998181,71.99999999998909,71.99999999998909,78294.0,-1.2999999999997272,-12.999999999997272,-77.99999999998363,15.0,-92.99999999998363,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2016-11-02 09:30:00-04:00,1,risk_percent,1.199999999999818,39.949479166672944,1306.1,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,50462.50000000028,0.95,479.3937500000026,1.5515283626455203,0.0095,6.0,True,50369.50000000029
42,2016-11-07,long,6,2016-11-07 10:30:00-05:00,1281.1999999999998,1280.9,1285.6,2016-11-07 11:30:00-05:00,1280.8000000000002,stop,2.9999999999972715,17.99999999998363,17.99999999998363,76871.99999999999,-0.3999999999996362,-3.999999999996362,-23.999999999978172,15.0,-38.99999999997817,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2016-11-07 09:30:00-05:00,1,risk_percent,0.29999999999972715,159.50341666681265,1280.9,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,50369.50000000029,0.95,478.51025000000277,1.526161665293472,0.0095,6.0,True,50330.50000000031
43,2017-03-02,long,6,2017-03-02 12:30:00-05:00,1233.3,1231.3,1238.075,2017-03-02 14:30:00-05:00,1231.2,stop,20.0,120.0,120.0,73998.0,-2.099999999999909,-20.99999999999909,-125.99999999999454,15.0,-140.99999999999454,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2017-03-02 11:30:00-05:00,2,risk_percent,2.0,23.90698750000015,1231.3,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,50330.50000000031,0.95,478.13975000000295,1.470241702347474,0.0095,6.0,True,50189.50000000032
44,2017-03-15,short,6,2017-03-15 14:30:00-04:00,1212.6000000000001,1214.8,1209.45,2017-03-15 15:30:00-04:00,1214.8999999999999,stop,21.99999999999818,131.9999999999891,131.9999999999891,72756.0,-2.299999999999727,-22.99999999999727,-137.99999999998363,15.0,-152.99999999998363,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2017-03-15 13:30:00-04:00,1,risk_percent,2.199999999999818,21.672738636365565,1214.8,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,50189.50000000032,0.95,476.800250000003,1.4496259177716362,0.0095,6.0,True,50036.500000000335
45,2017-03-27,long,6,2017-03-27 10:30:00-04:00,1255.1999999999998,1253.8,1258.6749999999997,2017-03-27 11:30:00-04:00,1253.7,stop,13.999999999998636,83.99999999999181,83.99999999999181,75311.99999999999,-1.4999999999997726,-14.999999999997726,-89.99999999998636,15.0,-104.99999999998636,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2017-03-27 09:30:00-04:00,1,risk_percent,1.3999999999998636,33.953339285717824,1253.8,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,50036.500000000335,0.95,475.34675000000317,1.50514124688976,0.0095,6.0,True,49931.50000000035
46,2017-05-01,long,6,2017-05-01 12:30:00-04:00,1256.3,1255.7,1260.11,2017-05-01 13:30:00-04:00,1255.6000000000001,stop,5.9999999999990905,35.99999999999454,35.99999999999454,75378.0,-0.6999999999998181,-6.999999999998181,-41.999999999989086,15.0,-56.999999999989086,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2017-05-01 11:30:00-04:00,1,risk_percent,0.599999999999909,79.05820833334586,1255.7,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,49931.50000000035,0.95,474.3492500000033,1.5096281906211404,0.0095,6.0,True,49874.500000000364
47,2017-05-04,short,6,2017-05-04 10:30:00-04:00,1232.1000000000001,1232.5,1228.0500000000002,2017-05-04 11:30:00-04:00,1232.6,stop_ambiguous_first,3.9999999999986358,23.999999999991815,23.999999999991815,73926.0,-0.4999999999997726,-4.999999999997726,-29.999999999986358,15.0,-44.99999999998636,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2017-05-04 09:30:00-04:00,1,risk_percent,0.3999999999998636,118.45193750004127,1232.5,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,49874.500000000364,0.95,473.80775000000347,1.482240423462881,0.0095,6.0,True,49829.50000000038
48,2017-05-18,long,6,2017-05-18 10:30:00-04:00,1250.3999999999999,1249.5,1254.2499999999998,2017-05-18 11:30:00-04:00,1254.1499999999999,target,8.999999999998636,53.999999999991815,53.999999999991815,75024.0,3.75,37.5,225.0,15.0,210.0,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,2017-05-18 09:30:00-04:00,1,risk_percent,0.8999999999998636,52.59780555556392,1249.5,risk_pct_0p0095__max_contracts_6__skip_trade_if_too_small_true,grid,full,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,is,49829.50000000038,0.95,473.38025000000357,1.5056141442318192,0.0095,6.0,True,50039.50000000038
