trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,meta_risk_variant,meta_risk_multiplier
11,2019-08-16,long,1,2019-08-16 10:23:00-04:00,7590.75,7555.5,7767.0,2019-08-16 16:00:00-04:00,7604.25,time_exit,50000.0,0.25,125.0,73.5,73.5,73.5,15181.5,0.30363,13.5,54.0,27.0,2.5,24.5,half_after_2_losses,1.0
12,2019-08-23,long,2,2019-08-23 10:03:00-04:00,7684.5,7655.75,7828.25,2019-08-23 10:10:00-04:00,7655.5,stop,50000.0,0.25,125.0,60.5,121.0,121.0,30738.0,0.61476,-29.0,-116.0,-116.0,5.0,-121.0,half_after_2_losses,1.0
13,2019-09-03,long,1,2019-09-03 09:52:00-04:00,7670.5,7627.0,7888.0,2019-09-03 10:04:00-04:00,7626.75,stop,50000.0,0.25,125.0,90.0,90.0,90.0,15341.0,0.30682,-43.75,-175.0,-87.5,2.5,-90.0,half_after_2_losses,1.0
14,2019-09-12,long,1,2019-09-12 10:12:00-04:00,7971.75,7924.0,8210.5,2019-09-12 10:51:00-04:00,7923.75,stop,50000.0,0.25,125.0,98.5,98.5,98.5,15943.5,0.31887,-48.0,-192.0,-96.0,2.5,-98.5,half_after_2_losses,1.0
15,2019-09-25,long,1,2019-09-25 10:57:00-04:00,7744.0,7713.75,7895.25,2019-09-25 16:00:00-04:00,7823.75,time_exit,50000.0,0.25,125.0,63.5,63.5,63.5,15488.0,0.30976,79.75,319.0,159.5,2.5,157.0,half_after_2_losses,1.0
16,2019-10-03,long,1,2019-10-03 11:07:00-04:00,7588.75,7548.5,7790.0,2019-10-03 16:00:00-04:00,7655.75,time_exit,50000.0,0.25,125.0,83.5,83.5,83.5,15177.5,0.30355,67.0,268.0,134.0,2.5,131.5,half_after_2_losses,1.0
17,2019-10-10,long,1,2019-10-10 09:51:00-04:00,7739.75,7690.0,7988.5,2019-10-10 16:00:00-04:00,7757.75,time_exit,50000.0,0.25,125.0,102.5,102.5,102.5,15479.5,0.30959,18.0,72.0,36.0,2.5,33.5,half_after_2_losses,1.0
18,2019-10-11,long,1,2019-10-11 12:46:00-04:00,7881.25,7842.25,8076.25,2019-10-11 16:00:00-04:00,7842.0,stop,50000.0,0.25,125.0,81.0,81.0,81.0,15762.5,0.31525,-39.25,-157.0,-78.5,2.5,-81.0,half_after_2_losses,1.0
19,2019-12-13,long,1,2019-12-13 10:02:00-05:00,8493.25,8439.5,8762.0,2019-12-13 16:00:00-05:00,8490.75,time_exit,50000.0,0.25,125.0,110.5,110.5,110.5,16986.5,0.33973,-2.5,-10.0,-5.0,2.5,-7.5,half_after_2_losses,1.0
20,2020-01-08,long,1,2020-01-08 11:35:00-05:00,8889.75,8847.5,9101.0,2020-01-08 16:00:00-05:00,8933.75,time_exit,50000.0,0.25,125.0,87.5,87.5,87.5,17779.5,0.35559,44.0,176.0,88.0,2.5,85.5,half_after_2_losses,1.0
21,2020-02-04,long,1,2020-02-04 09:50:00-05:00,9272.25,9226.5,9501.0,2020-02-04 16:00:00-05:00,9340.0,time_exit,50000.0,0.25,125.0,94.5,94.5,94.5,18544.5,0.37089,67.75,271.0,135.5,2.5,133.0,half_after_2_losses,1.0
22,2020-03-16,long,4,2020-03-16 10:36:00-04:00,7394.25,7380.75,7461.75,2020-03-16 10:36:00-04:00,7380.5,stop,50000.0,0.25,125.0,30.0,120.0,120.0,59154.0,1.18308,-13.75,-55.0,-110.0,10.0,-120.0,half_after_2_losses,1.0
23,2020-03-31,long,1,2020-03-31 10:07:00-04:00,7876.25,7817.75,8168.75,2020-03-31 12:39:00-04:00,7817.5,stop,50000.0,0.25,125.0,120.0,120.0,120.0,15752.5,0.31505,-58.75,-235.0,-117.5,2.5,-120.0,half_after_2_losses,1.0
24,2020-04-08,long,1,2020-04-08 11:21:00-04:00,8157.25,8100.25,8442.25,2020-04-08 16:00:00-04:00,8205.25,time_exit,50000.0,0.25,125.0,117.0,117.0,117.0,16314.5,0.32629,48.0,192.0,96.0,2.5,93.5,half_after_2_losses,1.0
25,2020-04-16,long,1,2020-04-16 10:50:00-04:00,8700.0,8646.0,8970.0,2020-04-16 12:31:00-04:00,8645.75,stop,50000.0,0.25,125.0,111.0,111.0,111.0,17400.0,0.348,-54.25,-217.0,-108.5,2.5,-111.0,half_after_2_losses,1.0
26,2020-04-22,long,1,2020-04-22 10:41:00-04:00,8598.75,8541.0,8887.5,2020-04-22 16:00:00-04:00,8641.25,time_exit,50000.0,0.25,125.0,118.5,118.5,118.5,17197.5,0.34395,42.5,170.0,85.0,2.5,82.5,half_after_2_losses,1.0
27,2020-04-27,long,1,2020-04-27 09:58:00-04:00,8860.5,8819.0,9068.0,2020-04-27 10:59:00-04:00,8818.75,stop,50000.0,0.25,125.0,86.0,86.0,86.0,17721.0,0.35442,-41.75,-167.0,-83.5,2.5,-86.0,half_after_2_losses,1.0
28,2020-05-04,long,1,2020-05-04 09:51:00-04:00,8692.75,8650.0,8906.5,2020-05-04 16:00:00-04:00,8813.25,time_exit,50000.0,0.25,125.0,88.5,88.5,88.5,17385.5,0.34771,120.5,482.0,241.0,2.5,238.5,half_after_2_losses,1.0
29,2020-05-05,long,1,2020-05-05 09:49:00-04:00,8944.0,8894.5,9191.5,2020-05-05 15:37:00-04:00,8894.25,stop,50000.0,0.25,125.0,102.0,102.0,102.0,17888.0,0.35776,-49.75,-199.0,-99.5,2.5,-102.0,half_after_2_losses,1.0
30,2020-05-18,long,1,2020-05-18 09:46:00-04:00,9291.5,9245.5,9521.5,2020-05-18 09:54:00-04:00,9245.25,stop,50000.0,0.25,125.0,95.0,95.0,95.0,18583.0,0.37166,-46.25,-185.0,-92.5,2.5,-95.0,half_after_2_losses,1.0
31,2020-05-19,long,1,2020-05-19 09:57:00-04:00,9373.5,9313.0,9676.0,2020-05-19 15:51:00-04:00,9312.75,stop,50000.0,0.25,125.0,124.0,124.0,124.0,18747.0,0.37494,-60.75,-243.0,-121.5,2.5,-124.0,half_after_2_losses,1.0
32,2020-06-19,long,1,2020-06-19 09:50:00-04:00,10104.25,10075.0,10250.5,2020-06-19 10:46:00-04:00,10074.75,stop,50000.0,0.125,62.5,61.5,61.5,61.5,20208.5,0.40417,-29.5,-118.0,-59.0,2.5,-61.5,half_after_2_losses,0.5
33,2021-08-13,long,1,2021-08-13 09:47:00-04:00,15095.5,15067.5,15235.5,2021-08-13 16:00:00-04:00,15124.75,time_exit,50000.0,0.125,62.5,59.0,59.0,59.0,30191.0,0.60382,29.25,117.0,58.5,2.5,56.0,half_after_2_losses,0.5
34,2021-08-18,long,1,2021-08-18 09:52:00-04:00,15012.75,14963.75,15257.75,2021-08-18 11:36:00-04:00,14963.5,stop,50000.0,0.25,125.0,101.0,101.0,101.0,30025.5,0.60051,-49.25,-197.0,-98.5,2.5,-101.0,half_after_2_losses,1.0
35,2021-08-20,long,1,2021-08-20 09:46:00-04:00,15005.25,14958.75,15237.75,2021-08-20 16:00:00-04:00,15084.0,time_exit,50000.0,0.25,125.0,96.0,96.0,96.0,30010.5,0.60021,78.75,315.0,157.5,2.5,155.0,half_after_2_losses,1.0
36,2021-08-24,long,1,2021-08-24 10:09:00-04:00,15354.5,15312.25,15565.75,2021-08-24 16:00:00-04:00,15357.5,time_exit,50000.0,0.25,125.0,87.5,87.5,87.5,30709.0,0.61418,3.0,12.0,6.0,2.5,3.5,half_after_2_losses,1.0
37,2021-09-01,long,1,2021-09-01 09:46:00-04:00,15675.0,15621.5,15942.5,2021-09-01 15:43:00-04:00,15621.25,stop,50000.0,0.25,125.0,110.0,110.0,110.0,31350.0,0.627,-53.75,-215.0,-107.5,2.5,-110.0,half_after_2_losses,1.0
38,2021-09-24,long,1,2021-09-24 10:00:00-04:00,15248.0,15189.25,15541.75,2021-09-24 16:00:00-04:00,15320.25,time_exit,50000.0,0.25,125.0,120.5,120.5,120.5,30496.0,0.60992,72.25,289.0,144.5,2.5,142.0,half_after_2_losses,1.0
39,2021-10-19,long,1,2021-10-19 09:55:00-04:00,15355.5,15301.75,15624.25,2021-10-19 16:00:00-04:00,15414.25,time_exit,50000.0,0.25,125.0,110.5,110.5,110.5,30711.0,0.61422,58.75,235.0,117.5,2.5,115.0,half_after_2_losses,1.0
40,2021-10-21,long,1,2021-10-21 09:48:00-04:00,15379.25,15333.75,15606.75,2021-10-21 16:00:00-04:00,15475.0,time_exit,50000.0,0.25,125.0,94.0,94.0,94.0,30758.5,0.61517,95.75,383.0,191.5,2.5,189.0,half_after_2_losses,1.0
41,2021-10-28,long,1,2021-10-28 09:47:00-04:00,15691.75,15635.25,15974.25,2021-10-28 16:00:00-04:00,15774.5,time_exit,50000.0,0.25,125.0,116.0,116.0,116.0,31383.5,0.62767,82.75,331.0,165.5,2.5,163.0,half_after_2_losses,1.0
42,2021-11-04,long,1,2021-11-04 09:46:00-04:00,16208.75,16156.5,16470.0,2021-11-04 16:00:00-04:00,16336.0,time_exit,50000.0,0.25,125.0,107.5,107.5,107.5,32417.5,0.64835,127.25,509.0,254.5,2.5,252.0,half_after_2_losses,1.0
43,2021-11-17,long,1,2021-11-17 10:13:00-05:00,16323.5,16292.0,16481.0,2021-11-17 13:11:00-05:00,16291.75,stop,50000.0,0.25,125.0,66.0,66.0,66.0,32647.0,0.65294,-31.75,-127.0,-63.5,2.5,-66.0,half_after_2_losses,1.0
44,2021-11-19,long,1,2021-11-19 09:46:00-05:00,16574.25,16515.75,16866.75,2021-11-19 16:00:00-05:00,16572.75,time_exit,50000.0,0.25,125.0,120.0,120.0,120.0,33148.5,0.66297,-1.5,-6.0,-3.0,2.5,-5.5,half_after_2_losses,1.0
45,2021-11-30,long,1,2021-11-30 09:47:00-05:00,16374.0,16318.25,16652.75,2021-11-30 10:46:00-05:00,16318.0,stop,50000.0,0.25,125.0,114.5,114.5,114.5,32748.0,0.65496,-56.0,-224.0,-112.0,2.5,-114.5,half_after_2_losses,1.0
46,2022-03-30,long,1,2022-03-30 09:49:00-04:00,15199.5,15141.0,15492.0,2022-03-30 11:04:00-04:00,15140.75,stop,50000.0,0.25,125.0,120.0,120.0,120.0,30399.0,0.60798,-58.75,-235.0,-117.5,2.5,-120.0,half_after_2_losses,1.0
47,2022-05-30,long,1,2022-05-30 10:51:00-04:00,12794.25,12745.5,13038.0,2022-05-30 12:59:00-04:00,12801.75,eod_exit,50000.0,0.25,125.0,100.5,100.5,100.5,25588.5,0.51177,7.5,30.0,15.0,2.5,12.5,half_after_2_losses,1.0
48,2022-08-25,long,1,2022-08-25 09:57:00-04:00,13015.75,12966.0,13264.5,2022-08-25 16:00:00-04:00,13153.5,time_exit,50000.0,0.25,125.0,102.5,102.5,102.5,26031.5,0.52063,137.75,551.0,275.5,2.5,273.0,half_after_2_losses,1.0
49,2022-09-21,long,1,2022-09-21 09:48:00-04:00,11979.0,11937.75,12185.25,2022-09-21 14:00:00-04:00,11937.5,stop,50000.0,0.25,125.0,85.5,85.5,85.5,23958.0,0.47916,-41.5,-166.0,-83.0,2.5,-85.5,half_after_2_losses,1.0
50,2022-11-23,long,1,2022-11-23 09:46:00-05:00,11802.75,11744.25,12095.25,2022-11-23 12:57:00-05:00,11744.0,stop,50000.0,0.25,125.0,120.0,120.0,120.0,23605.5,0.47211,-58.75,-235.0,-117.5,2.5,-120.0,half_after_2_losses,1.0
51,2022-11-25,long,1,2022-11-25 10:12:00-05:00,11814.5,11765.75,12058.25,2022-11-25 13:14:00-05:00,11783.75,eod_exit,50000.0,0.25,125.0,100.5,100.5,100.5,23629.0,0.47258,-30.75,-123.0,-61.5,2.5,-64.0,half_after_2_losses,1.0
52,2022-11-29,long,1,2022-11-29 10:51:00-05:00,11629.0,11578.5,11881.5,2022-11-29 11:02:00-05:00,11578.25,stop,50000.0,0.25,125.0,104.0,104.0,104.0,23258.0,0.46516,-50.75,-203.0,-101.5,2.5,-104.0,half_after_2_losses,1.0
53,2022-12-12,long,1,2022-12-12 09:51:00-05:00,11598.75,11542.5,11880.0,2022-12-12 10:49:00-05:00,11542.25,stop,50000.0,0.25,125.0,115.5,115.5,115.5,23197.5,0.46395,-56.5,-226.0,-113.0,2.5,-115.5,half_after_2_losses,1.0
54,2023-01-09,long,1,2023-01-09 09:46:00-05:00,11255.0,11194.0,11560.0,2023-01-09 15:32:00-05:00,11193.75,stop,50000.0,0.25,125.0,125.0,125.0,125.0,22510.0,0.4502,-61.25,-245.0,-122.5,2.5,-125.0,half_after_2_losses,1.0
55,2023-02-07,long,1,2023-02-07 09:51:00-05:00,12540.75,12488.0,12804.5,2023-02-07 10:00:00-05:00,12487.75,stop,50000.0,0.25,125.0,108.5,108.5,108.5,25081.5,0.50163,-53.0,-212.0,-106.0,2.5,-108.5,half_after_2_losses,1.0
56,2023-02-22,long,1,2023-02-22 09:46:00-05:00,12168.75,12113.75,12443.75,2023-02-22 10:00:00-05:00,12113.5,stop,50000.0,0.25,125.0,113.0,113.0,113.0,24337.5,0.48675,-55.25,-221.0,-110.5,2.5,-113.0,half_after_2_losses,1.0
57,2023-02-27,long,1,2023-02-27 09:59:00-05:00,12146.75,12109.0,12335.5,2023-02-27 10:36:00-05:00,12108.75,stop,50000.0,0.25,125.0,78.5,78.5,78.5,24293.5,0.48587,-38.0,-152.0,-76.0,2.5,-78.5,half_after_2_losses,1.0
58,2023-03-02,long,1,2023-03-02 09:52:00-05:00,11905.75,11845.75,12205.75,2023-03-02 16:00:00-05:00,12065.25,time_exit,50000.0,0.25,125.0,123.0,123.0,123.0,23811.5,0.47623,159.5,638.0,319.0,2.5,316.5,half_after_2_losses,1.0
59,2023-03-03,long,1,2023-03-03 09:46:00-05:00,12158.75,12110.5,12400.0,2023-03-03 16:00:00-05:00,12308.5,time_exit,50000.0,0.25,125.0,99.5,99.5,99.5,24317.5,0.48635,149.75,599.0,299.5,2.5,297.0,half_after_2_losses,1.0
60,2023-03-06,long,1,2023-03-06 10:09:00-05:00,12400.0,12351.75,12641.25,2023-03-06 14:21:00-05:00,12351.5,stop,50000.0,0.25,125.0,99.5,99.5,99.5,24800.0,0.496,-48.5,-194.0,-97.0,2.5,-99.5,half_after_2_losses,1.0
61,2023-03-21,long,1,2023-03-21 10:01:00-04:00,12823.75,12773.75,13073.75,2023-03-21 10:06:00-04:00,12773.5,stop,50000.0,0.25,125.0,103.0,103.0,103.0,25647.5,0.51295,-50.25,-201.0,-100.5,2.5,-103.0,half_after_2_losses,1.0
62,2023-03-22,long,1,2023-03-22 09:51:00-04:00,12886.5,12850.5,13066.5,2023-03-22 14:46:00-04:00,13066.25,target,50000.0,0.25,125.0,75.0,75.0,75.0,25773.0,0.51546,179.75,719.0,359.5,2.5,357.0,half_after_2_losses,1.0
63,2023-03-29,long,1,2023-03-29 09:49:00-04:00,12922.0,12880.75,13128.25,2023-03-29 10:34:00-04:00,12880.5,stop,50000.0,0.25,125.0,85.5,85.5,85.5,25844.0,0.51688,-41.5,-166.0,-83.0,2.5,-85.5,half_after_2_losses,1.0
64,2023-03-30,long,1,2023-03-30 10:00:00-04:00,13080.0,13036.5,13297.5,2023-03-30 10:12:00-04:00,13036.25,stop,50000.0,0.25,125.0,90.0,90.0,90.0,26160.0,0.5232,-43.75,-175.0,-87.5,2.5,-90.0,half_after_2_losses,1.0
65,2023-04-18,long,1,2023-04-18 09:48:00-04:00,13287.75,13258.5,13434.0,2023-04-18 09:58:00-04:00,13258.25,stop,50000.0,0.125,62.5,61.5,61.5,61.5,26575.5,0.53151,-29.5,-118.0,-59.0,2.5,-61.5,half_after_2_losses,0.5
66,2024-05-16,long,1,2024-05-16 09:48:00-04:00,18700.75,18671.5,18847.0,2024-05-16 13:25:00-04:00,18671.25,stop,50000.0,0.125,62.5,61.5,61.5,61.5,37401.5,0.74803,-29.5,-118.0,-59.0,2.5,-61.5,half_after_2_losses,0.5
