trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,holding_minutes,gross_pnl_usd,entry_hour,signal_atr,signal_pullback_depth,signal_ema_spread,mfe_points,mae_points,mfe_usd,mae_usd,mfe_r,mae_r
85,2024-07-16,long,1,2024-07-16 13:25:00-04:00,2467.1,2463.092916666667,2473.1106249999993,2024-07-16 14:25:00-04:00,2470.3,time_stop,50000.0,,,43.570833333328665,43.570833333328665,43.570833333328665,24671.0,0.49342,3.200000000000273,32.00000000000273,32.00000000000273,2.5,29.50000000000273,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-16 13:20:00-04:00,12,60.0,32.00000000000273,13.0,3.070833333333335,2.699999999999818,3.8372458901112623,4.400000000000091,-0.40000000000009095,44.00000000000091,-4.0000000000009095,1.0098498613370326,-0.09180453284884012
86,2024-07-17,short,1,2024-07-17 13:00:00-04:00,2459.6,2463.1583333333333,2454.2625,2024-07-17 13:20:00-04:00,2463.258333333333,stop,50000.0,,,39.08333333333303,39.08333333333303,39.08333333333303,24596.0,0.49192,-3.658333333333303,-36.58333333333303,-36.58333333333303,2.5,-39.08333333333303,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-17 12:55:00-04:00,4,20.0,-36.58333333333303,13.0,3.5833333333333335,3.300000000000182,-3.758174120208878,0.900000000000091,-4.0,9.00000000000091,-40.0,0.23027718550109116,-1.023454157782524
87,2024-07-17,short,1,2024-07-17 13:30:00-04:00,2459.8,2463.973958333333,2453.539062500001,2024-07-17 14:30:00-04:00,2460.7,time_stop,50000.0,,,45.23958333332757,45.23958333332757,45.23958333332757,24598.0,0.49196,-0.8999999999996362,-8.999999999996362,-8.999999999996362,2.5,-11.499999999996362,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-17 13:25:00-04:00,12,60.0,-8.999999999996362,13.0,3.739583333333343,3.599999999999909,-3.0949859434990685,4.200000000000273,-1.199999999999818,42.00000000000273,-11.999999999998181,0.9283905134701301,-0.26525443241997976
88,2024-07-18,short,1,2024-07-18 12:35:00-04:00,2462.7000000000003,2465.6402083333332,2458.2896875000006,2024-07-18 13:05:00-04:00,2458.3896875000005,target,50000.0,,,32.90208333332885,32.90208333332885,32.90208333332885,24627.000000000004,0.4925400000000001,4.310312499999782,43.10312499999782,43.10312499999782,2.5,40.60312499999782,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-18 12:30:00-04:00,6,30.0,43.10312499999782,12.0,2.402083333333356,1.800000000000182,-0.8062333336365555,6.100000000000364,-0.29999999999972715,61.00000000000364,-2.9999999999972715,1.853985943139729,-0.09117963654776716
89,2024-07-19,short,1,2024-07-19 12:45:00-04:00,2403.4,2405.8439583333334,2399.7340625,2024-07-19 13:30:00-04:00,2399.8340625,target,50000.0,,,27.93958333333194,27.93958333333194,27.93958333333194,24034.0,0.48068,3.565937500000018,35.65937500000018,35.65937500000018,2.5,33.15937500000018,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-19 12:40:00-04:00,9,45.0,35.65937500000018,12.0,3.43958333333336,2.599999999999909,-4.8028440722255255,4.700000000000273,-1.199999999999818,47.00000000000273,-11.999999999998181,1.6822011781375314,-0.42949817314140737
90,2024-07-19,short,1,2024-07-19 13:30:00-04:00,2399.1,2402.9366666666665,2393.3450000000003,2024-07-19 14:30:00-04:00,2400.4,time_stop,50000.0,,,41.86666666666497,41.86666666666497,41.86666666666497,23991.0,0.47982,-1.300000000000182,-13.000000000001819,-13.000000000001819,2.5,-15.500000000001819,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-19 13:25:00-04:00,12,60.0,-13.000000000001819,13.0,3.3666666666666836,2.299999999999727,-4.35317672826659,1.7999999999997272,-3.5,17.99999999999727,-35.0,0.42993630573243635,-0.8359872611465308
91,2024-07-19,short,1,2024-07-19 14:35:00-04:00,2399.3,2400.80125,2397.0481250000003,2024-07-19 15:05:00-04:00,2400.90125,stop,50000.0,,,18.51249999999709,18.51249999999709,18.51249999999709,23993.0,0.47986,-1.601249999999709,-16.01249999999709,-16.01249999999709,2.5,-18.51249999999709,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-19 14:30:00-04:00,6,30.0,-16.01249999999709,14.0,2.0125000000000077,1.599999999999909,-2.730638592451214,0.40000000000009095,-1.8999999999996362,4.0000000000009095,-18.999999999996362,0.21607022282250038,-1.026333558406447
92,2024-07-22,long,1,2024-07-22 13:15:00-04:00,2394.9,2392.7629166666666,2398.105625,2024-07-22 14:15:00-04:00,2393.9,time_stop,50000.0,,,24.870833333334303,24.870833333334303,24.870833333334303,23949.0,0.47898,-1.0,-10.0,-10.0,2.5,-12.5,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-22 13:10:00-04:00,12,60.0,-10.0,13.0,2.370833333333328,2.0,0.7277321732021846,2.900000000000091,-1.300000000000182,29.00000000000091,-13.000000000001819,1.166024459708485,-0.5227006198693775
93,2024-07-22,long,1,2024-07-22 14:20:00-04:00,2396.1,2393.3977083333334,2400.1534374999997,2024-07-22 15:20:00-04:00,2397.8,time_stop,50000.0,,,30.52291666666406,30.52291666666406,30.52291666666406,23961.0,0.47922,1.7000000000002728,17.00000000000273,17.00000000000273,2.5,14.500000000002728,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-22 14:15:00-04:00,12,60.0,17.00000000000273,14.0,2.022916666666655,1.900000000000091,1.1438030670524313,2.800000000000182,-0.6999999999998181,28.00000000000182,-6.999999999998181,0.9173435260393161,-0.22933588150975454
94,2024-07-22,long,1,2024-07-22 15:30:00-04:00,2398.5,2397.3589583333332,2400.2115625,2024-07-22 15:55:00-04:00,2400.1115625,target,50000.0,,,14.910416666666606,14.910416666666606,14.910416666666606,23985.0,0.4797,1.6115625000002183,16.115625000002183,16.115625000002183,2.5,13.615625000002183,impc_ef12_es34_sl3_pb3_pm0p5_tr1p5,2024-07-22 15:25:00-04:00,5,25.0,16.115625000002183,15.0,1.4104166666666533,1.400000000000091,1.6090293937945717,3.199999999999818,-0.599999999999909,31.99999999999818,-5.9999999999990905,2.1461506217687845,-0.40240324158160895
