symbol,fold_id,config_id,family,cluster_id,filter_name,stop_multiplier,target_multiplier,entry_delay_minutes,variant_time_stop_bars,stop_zone_fraction,adverse_window_minutes,max_adverse_ticks,train_trades,train_net_pnl,train_gross_profit,train_gross_loss,train_profit_factor,train_win_rate,train_avg_trade,train_median_trade,train_max_drawdown,train_max_daily_drawdown,train_pnl_to_maxdd,train_skip_rate,train_avg_holding_minutes,positive_years_train,years_with_trades_train,max_year_contribution_pct_train,normalized_net_pnl,normalized_profit_factor,normalized_pnl_to_maxdd,trade_count_score,cluster_positive_ratio_train,temporal_stability_train,penalties,train_robust_score,rank_train,selected_in_fold
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d15_ts3_sz1p00,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.0,2.5,15,3,1.0,,,135,-401.31249999988427,2880.687500000043,3281.9999999999277,0.8777231870810807,0.37037037037037035,-2.972685185184328,-13.999999999998636,-1191.874999999933,-236.99999999999932,-0.33670686942834344,0.21694915254237288,103.27407407407408,3,6,0.32700578857160384,0.37368456052267646,0.45294072248718736,0.20687417590904278,1.0,0.046875,0.5864971057141981,0.3,0.11004622687159277,104,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d5_ts4_sz0p75,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,0.75,2.0,5,4,0.75,,,115,-309.02499999990823,1981.1000000000206,2290.124999999929,0.8650619507669153,0.23478260869565218,-2.68717391304268,-16.499999999998636,-785.7249999999306,-94.87499999999955,-0.3932991822837959,0.4101694915254237,78.2695652173913,2,6,0.3090776082793596,0.43505511130320174,0.44547776179594173,0.1887541393083856,1.0,0.046875,0.5121278625269868,0.3,0.11002288046029468,105,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d5_ts3_sz1p00,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,0.75,2.0,5,3,1.0,,,150,-358.5749999998825,2542.5500000000306,2901.124999999913,0.8764013960102053,0.25333333333333335,-2.3904999999992165,-16.31249999999909,-1127.5499999999079,-94.87499999999955,-0.31801250498861405,0.29152542372881357,65.87333333333333,2,6,0.2864658254901109,0.4021047031637003,0.4521616141474318,0.21285983987614607,1.0,0.046875,0.5234337539216112,0.3,0.108433787690075,106,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d5_ts3_sz0p75,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,0.75,2.0,5,3,0.75,,,115,-324.67499999990764,1862.9500000000235,2187.6249999999313,0.8515856236786844,0.24347826086956523,-2.823260869564414,-16.124999999999545,-784.3499999999244,-94.87499999999955,-0.4139414802064626,0.4101694915254237,65.43478260869566,2,6,0.2684650800855902,0.4246479692772997,0.43753435904866694,0.18214477533282664,1.0,0.046875,0.5324341266238716,0.3,0.1078869494225631,107,False
M2K,fold_5,m2k_1h_none_baseline_none_sm0p75_tm2p00_d5_ts3,none_baseline,m2k_1h_none_local,none,0.75,2.0,5,3,,,,236,-441.79999999982215,3513.4500000000376,3955.24999999986,0.8883003602806806,0.2076271186440678,-1.8720338983043312,-11.999999999999318,-895.5249999998591,-94.87499999999955,-0.4933418944193536,0.0,53.440677966101696,3,6,0.3597078514911574,0.3467606523582625,0.45917526592784624,0.15672191595403193,1.0,0.1111111111111111,0.5701460742544213,0.3,0.1042220814730695,108,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p25_tm2p00_d5_ts3_sz0p50,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.25,2.0,5,3,0.5,,,125,-372.8749999998854,2652.250000000033,3025.1249999999186,0.8767406305524911,0.328,-2.982999999999083,-18.624999999999545,-981.5499999999145,-156.12499999999955,-0.3798838571646049,0.376271186440678,93.176,2,6,0.31438213495663603,0.3925953018237364,0.4523615704543336,0.1930495315605161,1.0,0.046875,0.5094755991883486,0.3,0.10103115915913058,109,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d5_ts3_sz0p50,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,0.75,2.0,5,3,0.5,,,75,-326.42499999993674,986.7000000000132,1313.12499999995,0.7514136125654838,0.21333333333333335,-4.35233333333249,-14.249999999999545,-724.3749999999591,-67.12499999999864,-0.4506298533217673,0.5457627118644067,62.29333333333334,2,6,0.2812855743520497,0.4234842313510612,0.37848958942656863,0.17039769114197725,1.0,0.046875,0.5260238794906418,0.3,0.09306346131797189,110,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p00_tm2p50_d15_ts3_sz0p75,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.0,2.5,15,3,0.75,,,94,-395.9374999999136,1781.5625000000284,2177.4999999999422,0.8181687715270153,0.32978723404255317,-4.212101063828868,-15.499999999998977,-924.9999999999375,-105.0,-0.4280405405404761,0.3559322033898305,100.23404255319149,3,6,0.4282246451347357,0.37725889843890137,0.4178373367480833,0.1776304609958295,1.0,0.046875,0.5358876774326322,0.3,0.09194116272361125,111,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p25_tm2p50_d30_ts3_sz0p75,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.25,2.5,30,3,0.75,,,91,-446.56249999990905,2117.687500000036,2564.249999999945,0.8258506385883129,0.3956043956043956,-4.907280219779221,-12.374999999998408,-1442.2499999999502,-243.62499999999955,-0.30962905182868744,0.3288135593220339,135.0879120879121,2,6,0.24359136894952804,0.34359362271613697,0.4223652888762415,0.21554409981239872,1.0,0.046875,0.5448709821919027,0.3,0.09146497575492779,112,False
M2K,fold_5,m2k_1h_delay_stop_zone_filter_require_no_stop_zone_touch_before_entry_sm1p25_tm2p00_d30_ts3_sz0p75,delay_stop_zone_filter,m2k_1h_stop_zone_diag,require_no_stop_zone_touch_before_entry,1.25,2.0,30,3,0.75,,,91,-453.44999999991046,2110.8000000000347,2564.249999999945,0.8231646680316194,0.3956043956043956,-4.982967032966049,-12.374999999998408,-1462.074999999951,-243.62499999999955,-0.3101414086144183,0.3288135593220339,132.7032967032967,2,6,0.24369827332690255,0.3390134827350879,0.42078208703204084,0.21538005061133936,1.0,0.046875,0.5448175300032154,0.3,0.0899706751823634,113,False
