symbol,signal_timeframe,config_id,family,trades,net_pnl,gross_profit,gross_loss,winrate,avg_trade,median_trade,profit_factor,max_drawdown,sharpe_daily,sortino_daily,pnl_to_maxdd,avg_holding_minutes,median_holding_minutes,stop_exit_rate,target_exit_rate,time_stop_exit_rate,eod_exit_rate,skipped_trades,skip_rate,blocked_setups,turnover_proxy,estimated_cost_per_trade,execution_timeframe,base_signal_variant,stop_multiplier,target_multiplier,entry_delay_minutes,filter_name,filter_params_json,stop_zone_fraction,adverse_window_minutes,max_adverse_ticks,trades_per_year,avg_trade_to_cost,normalized_net_pnl,normalized_profit_factor,normalized_pnl_to_maxdd,trade_count_score,simplicity_score,temporal_stability_score,parameter_neighborhood_score,penalties,admissible_is,positive_years_is,years_with_trades_is,max_year_contribution_pct,robust_score_is,rank_is
MES,1H,mes_1h_none_sm1p00_tm1p00_d0,raw_hybrid,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,0,none,{},,,,0.0,0.0,1.0,,,0.0,1.0,0.0,0.0,0.5,False,0,0,1.0,-0.25,1
MES,1H,mes_1h_none_sm1p00_tm1p00_d5,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,5,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,2
MES,1H,mes_1h_none_sm1p00_tm1p00_d15,delay_only,0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.5,1min,dynamic_exit_mixed_ts4_vq0p95_bf0p6_ra1p5,1.0,1.0,15,none,{},,,,0.0,0.0,1.0,,,0.0,0.85,0.0,0.0,0.5,False,0,0,1.0,-0.25749999999999995,3
MNQ,15min,mnq_15min_avoid_immediate_adverse_move_sm1p25_tm3p00_d5_aw5_mt16,delay_adverse_filter,170,374.3999999999978,4784.149999999998,4409.75,0.43529411764705883,2.202352941176458,-9.25,1.084902772266001,-399.625,0.4862312245417965,0.9072945504453829,0.9368783234282085,20.3,30.0,0.9352941176470588,0.058823529411764705,0.5176470588235295,0.0058823529411764705,393,0.4313940724478595,22,36.63274336283186,2.5,1min,dynamic_exit_atr_target_1p0_ts2_vq0p95_bf0p5_ra1p2,1.25,3.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 16}",,5.0,16.0,24.738047808764943,0.8809411764705832,1.0,1.0,1.0,1.0,0.35,0.557091249665506,0.5,0.25,False,3,5,0.4858175006689877,0.5760636874498258,1
M2K,1H,m2k_1h_avoid_immediate_adverse_move_sm0p75_tm2p00_d15_aw5_mt8,delay_adverse_filter,41,176.25000000002842,761.2500000000068,584.9999999999784,0.3170731707317073,4.298780487805571,-8.999999999999773,1.301282051282111,-252.4999999999875,1.5840287326928169,5.042969371142891,0.6980198019803452,99.60975609756098,53.0,0.8780487804878049,0.0975609756097561,0.2682926829268293,0.024390243902439025,121,0.491869918699187,0,8.89795008912656,2.5,1min,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p2,0.75,2.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",,5.0,8.0,5.966235059760956,1.7195121951222283,1.0,1.0,1.0,1.0,0.35,0.429163526752065,0.16666666666666666,0.1,True,2,5,0.5416729464958701,0.6568745290128097,1
M2K,30min,m2k_30min_require_no_stop_zone_touch_before_entry_sm1p25_tm2p00_d30_sz0p50,delay_stop_zone_filter,39,211.05000000003315,685.3000000000156,474.2499999999825,0.5384615384615384,5.411538461539312,4.0000000000009095,1.4450184501845882,-209.37499999998977,2.30630328846401,4.035454091278385,1.0080000000002076,97.05128205128206,120.0,0.8717948717948718,0.1282051282051282,0.717948717948718,0.0,231,0.5076923076923077,1,8.408943329397875,2.5,1min,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p2,1.25,2.0,30,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",0.5,,,5.675199203187251,2.1646153846157246,0.9442611423626054,0.8884302233038782,0.5261516149064284,0.65,0.45,0.7521877526273228,0.625,0.30000000000000004,False,4,5,0.29562449474535446,0.4395391782633593,1
M2K,30min,m2k_30min_require_no_stop_zone_touch_before_entry_sm0p75_tm2p00_d15_sz0p75,delay_stop_zone_filter,49,235.27500000004238,984.9000000000171,749.6249999999748,0.3877551020408163,4.801530612245763,-9.499999999998181,1.3138569284642991,-240.37499999999568,1.6512688423791702,4.347433366085961,0.9787831513262469,55.755102040816325,36.0,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.0,232,0.5098901098901099,2,10.565082644628099,2.5,1min,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p2,0.75,2.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.75}",0.75,,,7.130378486055777,1.9206122448983052,0.9573642362613567,0.7704199526582716,0.5186578681207553,0.8166666666666667,0.45,0.2614275495990477,0.3333333333333333,0.30000000000000004,False,1,5,0.6771449008019046,0.31673631710856276,2
M2K,30min,m2k_30min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d15_sz0p50,delay_stop_zone_filter,40,314.1000000000395,866.1000000000149,551.9999999999754,0.425,7.852500000000987,-9.999999999998295,1.5690217391305317,-109.99999999999318,2.703981252789362,8.33976768626278,2.8554545454550815,66.275,72.5,0.875,0.125,0.375,0.0,241,0.5296703296703297,1,8.624557260920897,2.5,1min,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p2,1.0,2.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",0.5,,,5.820717131474104,3.141000000000395,1.0,1.0,1.0,0.6666666666666666,0.45,0.40658064516129694,0.2777777777777778,0.44999999999999996,False,3,5,0.7868387096774061,0.2918204301075279,3
MGC,15min,mgc_15min_avoid_immediate_adverse_move_sm0p75_tm3p00_d30_aw5_mt8,delay_adverse_filter,131,109.00000000023056,1377.000000000096,1267.9999999998654,0.42748091603053434,0.83206106870405,-4.499999999998181,1.085962145110601,-378.3999999998582,0.4847171680691934,1.0478651990197247,0.2880549682882437,34.69465648854962,45.0,0.9465648854961832,0.03816793893129771,0.549618320610687,0.015267175572519083,86,0.26380368098159507,3,10.035182466442953,2.5,1min,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,0.75,3.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",,5.0,8.0,8.473127324242961,0.33282442748162,0.8203446738190164,0.16662915792460478,0.13688817587334884,1.0,0.35,0.5444990360096904,1.0,0.25,False,6,14,0.3395733565520478,0.31710284813118006,1
M2K,15min,m2k_15min_avoid_immediate_adverse_move_sm1p25_tm3p00_d5_aw5_mt8,delay_adverse_filter,174,673.2250000001625,2976.100000000063,2302.8749999999,0.42528735632183906,3.8691091954032326,-7.437499999998636,1.2923410953700016,-401.549999999977,1.5759953111567986,3.384687114099207,1.6765658074964538,34.04022988505747,34.0,0.8390804597701149,0.14367816091954022,0.40229885057471265,0.017241379310344827,391,0.40476190476190477,25,37.45050088391279,2.5,1min,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p2,1.25,3.0,5,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",,5.0,8.0,25.320119521912353,1.547643678161293,0.9994962247956792,0.8209728274099731,0.99467660396615,1.0,0.35,0.5301444683517332,1.0,0.1,True,3,5,0.5397110632965335,0.760316971288813,1
M2K,15min,m2k_15min_require_no_stop_zone_touch_before_entry_sm1p00_tm2p00_d5_sz1p00,delay_stop_zone_filter,335,437.35000000026673,5363.350000000081,4925.999999999815,0.3880597014925373,1.3055223880604978,-10.0,1.0887840032481289,-724.3499999999392,0.5879157233581744,1.324436093604103,0.6037827017330067,23.4955223880597,14.0,0.7104477611940299,0.28059701492537314,0.19701492537313434,0.008955223880597015,229,0.2370600414078675,27,72.10297583971715,2.5,1min,dynamic_exit_atr_target_1p0_ts4_vq0p95_bf0p5_ra1p2,1.0,2.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 1.0}",1.0,,,48.74850597609562,0.5222089552241991,0.9408157426641733,0.6720396546701252,0.6012860083242072,1.0,0.45,0.5291270995522626,0.25,0.15,False,2,5,0.3417458008954749,0.5021330456483301,2
MGC,1H,mgc_1h_require_no_stop_zone_touch_before_entry_sm1p25_tm3p00_d15_sz0p50,delay_stop_zone_filter,44,436.6000000000713,1248.3500000000413,811.74999999997,0.5681818181818182,9.922727272728894,7.000000000001592,1.5378503233755312,-205.49999999997908,2.4439618886136776,5.4277454883620955,2.124574209246305,135.9318181818182,180.0,0.8863636363636364,0.045454545454545456,0.6136363636363636,0.06818181818181818,41,0.37272727272727274,0,3.3762605042016807,2.5,1min,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,1.25,3.0,15,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",0.5,,,2.8459358951655744,3.9690909090915576,1.0,0.6074350054728959,0.7164754874275154,1.0,0.45,0.703472647748639,1.0,0.1,True,9,14,0.23591184735986495,0.7069792213710023,1
MGC,1H,mgc_1h_none_sm1p50_tm3p00_d15,delay_stop_target,85,419.3500000001586,1861.85000000007,1442.4999999999113,0.4470588235294118,4.933529411766572,-4.999999999997726,1.2907105719238714,-197.99999999993133,1.4372087649685061,3.0797184536510516,2.1179292929308287,121.67058823529412,180.0,0.8823529411764706,0.023529411764705882,0.5764705882352941,0.09411764705882353,0,0.0,0,6.522321428571428,2.5,1min,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,1.5,3.0,15,none,{},,,,5.49783070656986,1.9734117647066287,0.9773933556124563,0.4519354403142749,0.7149706057957023,1.0,0.65,0.6676352603877898,1.0,0.1,True,8,14,0.2361580506529918,0.6757566391128701,2
MGC,1H,mgc_1h_avoid_immediate_adverse_move_sm1p25_tm3p00_d30_aw5_mt12,delay_adverse_filter,53,339.25000000010186,1033.500000000049,694.2499999999472,0.4716981132075472,6.400943396228337,-1.4999999999986358,1.4886568239108788,-287.49999999994543,2.2895951567961434,6.105063519962941,1.1800000000005784,137.73584905660377,180.0,0.7924528301886793,0.03773584905660377,0.5471698113207547,0.16981132075471697,23,0.20909090909090908,0,4.066859243697479,2.5,1min,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,1.25,3.0,30,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 12}",,5.0,12.0,3.428059146449442,2.5603773584913347,0.8724198938470826,0.5764826081735867,0.5025567095389762,1.0,0.35,0.6824117758067512,1.0,0.1,True,8,14,0.20660501981506915,0.635025773205993,3
MGC,30min,mgc_30min_avoid_immediate_adverse_move_sm0p75_tm3p00_d15_aw5_mt8,delay_adverse_filter,91,643.7500000001478,1596.75000000007,952.9999999999222,0.45054945054945056,7.074175824177448,-4.2499999999972715,1.6754984260232952,-113.7499999999909,2.9550372251782573,7.539588892315264,5.659340659342411,65.28571428571429,90.0,0.8901098901098901,0.07692307692307693,0.5164835164835165,0.03296703296703297,57,0.2688679245283019,1,6.99006309148265,2.5,1min,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,0.75,3.0,15,avoid_immediate_adverse_move,"{""adverse_window_minutes"": 5, ""max_adverse_ticks"": 8}",,5.0,8.0,5.885912874092439,2.8296703296709795,1.0,1.0,0.9818497691585236,1.0,0.35,0.7334764081988159,0.8333333333333334,0.1,True,10,14,0.24733289788808255,0.7997989266036009,1
MGC,30min,mgc_30min_require_no_stop_zone_touch_before_entry_sm0p75_tm3p00_d5_sz0p50,delay_stop_zone_filter,70,313.8500000001227,1236.350000000043,922.4999999999204,0.4,4.483571428573181,-7.749999999997499,1.340216802168184,-164.74999999994907,1.5111363920738627,2.719214983346667,1.9050075872547478,56.628571428571426,90.0,0.9428571428571428,0.04285714285714286,0.4857142857142857,0.014285714285714285,93,0.4386792452830189,1,5.3769716088328074,2.5,1min,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,0.75,3.0,5,require_no_stop_zone_touch_before_entry,"{""stop_zone_fraction"": 0.5}",0.5,,,4.527625287763414,1.7934285714292724,0.8002422040568781,0.7686611982598911,0.4633449532174814,1.0,0.45,0.6364604296344811,0.625,0.1,True,7,14,0.22707914073103763,0.5950014878911483,2
MGC,30min,mgc_30min_none_sm0p75_tm3p00_d15,delay_stop_target,148,283.2500000002369,2151.7500000000928,1868.4999999998558,0.38513513513513514,1.9138513513529523,-6.874999999997726,1.15159218624579,-285.2499999999486,0.7906787421776966,1.608737967633446,0.9929886064865485,58.33783783783784,77.0,0.9324324324324325,0.0472972972972973,0.4527027027027027,0.02027027027027027,0,0.0,1,11.36845425867508,2.5,1min,regime_filtered_ema_mild_atr_20_80_compression_off_atr_target_1p0_ts3_vq0p95_bf0p5_ra1p2,0.75,3.0,15,none,{},,,,9.572693465556933,0.7655405405411809,0.7817135937027215,0.638513318025835,0.33738749960908454,1.0,0.65,0.7177456852930704,0.25,0.25,False,8,14,0.1359372008424307,0.3623153600810345,3
