trade_id,session_date,direction,quantity,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,account_size_usd,risk_per_trade_pct,risk_budget_usd,risk_per_contract_usd,actual_risk_usd,trade_risk_usd,notional_usd,leverage_used,pnl_points,pnl_ticks,pnl_usd,fees,net_pnl_usd,variant_name,entry_signal_time,bars_held,holding_minutes,gross_pnl_usd,entry_hour,signal_atr,signal_box_width,mfe_points,mae_points,mfe_usd,mae_usd,mfe_r,mae_r
11,2025-03-10,long,1,2025-03-10 12:35:00-04:00,2051.2999999999997,2043.8749999999998,2067.6349999999993,2025-03-10 12:40:00-04:00,2043.7749999999999,stop,50000.0,,,40.12499999999932,40.12499999999932,40.12499999999932,10256.499999999998,0.20512999999999995,-7.524999999999864,-75.24999999999864,-37.62499999999932,2.5,-40.12499999999932,vceb_n8_ct15_tr2p2,2025-03-10 12:30:00-04:00,1,5.0,-37.62499999999932,12.0,6.164583333333359,9.899999999999864,0.0,-9.199999999999818,0.0,-45.99999999999909,0.0,-1.1464174454828628
12,2025-03-13,long,1,2025-03-13 12:40:00-04:00,2009.3,2003.9,2021.1799999999996,2025-03-13 12:45:00-04:00,2003.8000000000002,stop,50000.0,,,29.999999999998863,29.999999999998863,29.999999999998863,10046.5,0.20093,-5.499999999999773,-54.999999999997726,-27.499999999998863,2.5,-29.999999999998863,vceb_n8_ct15_tr2p2,2025-03-13 12:35:00-04:00,1,5.0,-27.499999999998863,12.0,5.245833333333356,7.199999999999818,0.6000000000001364,-6.0,3.000000000000682,-30.0,0.10000000000002653,-1.000000000000038
13,2025-03-13,short,1,2025-03-13 15:30:00-04:00,1998.4,2004.1000000000001,1985.86,2025-03-13 16:00:00-04:00,1996.8,session_close,50000.0,,,31.499999999999773,31.499999999999773,31.499999999999773,9992.0,0.19984,1.6000000000001364,16.000000000001364,8.000000000000682,2.5,5.500000000000682,vceb_n8_ct15_tr2p2,2025-03-13 15:25:00-04:00,6,30.0,8.000000000000682,15.0,4.608333333333344,7.600000000000136,4.400000000000091,-4.0,22.000000000000455,-20.0,0.6984126984127179,-0.6349206349206395
14,2025-03-14,long,1,2025-03-14 14:35:00-04:00,2040.1,2036.05,2049.0099999999998,2025-03-14 15:35:00-04:00,2041.5,time_stop,50000.0,,,23.249999999999318,23.249999999999318,23.249999999999318,10200.5,0.20401,1.400000000000091,14.00000000000091,7.000000000000455,2.5,4.500000000000455,vceb_n8_ct15_tr2p2,2025-03-14 14:30:00-04:00,12,60.0,7.000000000000455,14.0,3.714583333333342,5.399999999999864,6.400000000000091,-2.5,32.000000000000455,-12.5,1.3763440860215652,-0.5376344086021663
15,2025-03-18,long,1,2025-03-18 14:55:00-04:00,2052.7,2047.7499999999998,2063.59,2025-03-18 15:55:00-04:00,2053.7000000000003,time_stop,50000.0,,,27.749999999999773,27.749999999999773,27.749999999999773,10263.5,0.20527,1.0000000000004547,10.000000000004547,5.000000000002274,2.5,2.5000000000022737,vceb_n8_ct15_tr2p2,2025-03-18 14:50:00-04:00,12,60.0,5.000000000002274,14.0,3.727083333333354,6.600000000000136,3.100000000000364,-3.399999999999636,15.500000000001819,-16.99999999999818,0.5585585585586287,-0.6126126126125521
16,2025-03-20,short,1,2025-03-20 13:30:00-04:00,2071.6,2076.85,2060.0499999999997,2025-03-20 14:30:00-04:00,2068.4,time_stop,50000.0,,,29.249999999999545,29.249999999999545,29.249999999999545,10358.0,0.20716,3.199999999999818,31.99999999999818,15.99999999999909,2.5,13.49999999999909,vceb_n8_ct15_tr2p2,2025-03-20 13:25:00-04:00,12,60.0,15.99999999999909,13.0,4.302083333333353,7.0,3.5,-4.900000000000091,17.5,-24.500000000000455,0.5982905982906076,-0.8376068376068662
17,2025-03-20,short,1,2025-03-20 14:30:00-04:00,2067.8,2071.625,2059.385,2025-03-20 14:40:00-04:00,2071.725,stop,50000.0,,,22.124999999998636,22.124999999998636,22.124999999998636,10339.0,0.20678,-3.924999999999727,-39.24999999999727,-19.624999999998636,2.5,-22.124999999998636,vceb_n8_ct15_tr2p2,2025-03-20 14:25:00-04:00,2,10.0,-19.624999999998636,14.0,3.352083333333345,5.099999999999909,0.40000000000009095,-4.199999999999818,2.0000000000004547,-20.99999999999909,0.09039548022601483,-0.9491525423728988
18,2025-03-25,short,1,2025-03-25 11:50:00-04:00,2115.9,2118.9625,2109.1625,2025-03-25 12:50:00-04:00,2117.6,time_stop,50000.0,,,18.312499999999545,18.312499999999545,18.312499999999545,10579.5,0.21159,-1.699999999999818,-16.99999999999818,-8.49999999999909,2.5,-10.99999999999909,vceb_n8_ct15_tr2p2,2025-03-25 11:45:00-04:00,12,60.0,-8.49999999999909,11.0,3.0624999999999907,3.800000000000182,4.400000000000091,-2.400000000000091,22.000000000000455,-12.000000000000455,1.2013651877133653,-0.6552901023891196
19,2025-03-31,long,1,2025-03-31 14:05:00-04:00,2019.6999999999998,2015.1999999999998,2029.6,2025-03-31 14:40:00-04:00,2029.5,target,50000.0,,,25.499999999999545,25.499999999999545,25.499999999999545,10098.5,0.20197,9.800000000000182,98.00000000000182,49.00000000000091,2.5,46.50000000000091,vceb_n8_ct15_tr2p2,2025-03-31 14:00:00-04:00,7,35.0,49.00000000000091,14.0,3.9458333333333493,6.0,10.000000000000227,-0.599999999999909,50.00000000000114,-2.9999999999995453,1.9607843137255698,-0.11764705882351367
20,2025-04-01,short,1,2025-04-01 12:30:00-04:00,2032.9,2038.525,2020.525,2025-04-01 13:30:00-04:00,2023.1999999999998,time_stop,50000.0,,,31.124999999999545,31.124999999999545,31.124999999999545,10164.5,0.20329,9.700000000000273,97.00000000000273,48.500000000001364,2.5,46.000000000001364,vceb_n8_ct15_tr2p2,2025-04-01 12:25:00-04:00,12,60.0,48.500000000001364,12.0,5.379166666666691,7.5,11.0,-1.8999999999998636,55.0,-9.499999999999318,1.7670682730923952,-0.3052208835341191
